ticker,category,kind,gate_category,extreme_date,extreme_price,transition_date,state,reason,pending_date,sublevel_date,native_date,invalidated_date,invalid_reason
AAPL,vertex,bottom,vertex,2021-03-30,118.86,2021-06-23,pending,,2021-06-23,,2021-06-23,,
AAPL,vertex,bottom,vertex,2021-03-30,118.86,2021-06-23,confirmed_native,,2021-06-23,,2021-06-23,,
AAPL,vertex,top,vertex,2021-04-20,135.53,2021-06-23,pending,,2021-06-23,,2021-06-23,,
AAPL,vertex,top,vertex,2021-04-20,135.53,2021-06-23,confirmed_native,,2021-06-23,,2021-06-23,,
AAPL,vertex,bottom,vertex,2021-05-12,122.25,2021-06-23,pending,,2021-06-23,,2021-06-23,,
AAPL,vertex,bottom,vertex,2021-05-12,122.25,2021-06-23,confirmed_native,,2021-06-23,,2021-06-23,,
AAPL,vertex,top,vertex,2021-05-25,128.32,2021-06-23,pending,,2021-06-23,,2021-06-23,,
AAPL,vertex,top,vertex,2021-05-25,128.32,2021-06-23,confirmed_native,,2021-06-23,,2021-06-23,,
AAPL,vertex,bottom,vertex,2021-06-03,123.13,2021-06-23,pending,,2021-06-23,,2021-06-23,,
AAPL,vertex,bottom,vertex,2021-06-03,123.13,2021-06-23,confirmed_native,,2021-06-23,,2021-06-23,,
AAPL,vertex,top,vertex,2021-06-23,134.32,2021-06-23,pending,,2021-06-23,,,2021-06-24,superseded
AAPL,vertex,top,vertex,2021-06-23,134.32,2021-06-24,invalidated,superseded,2021-06-23,,,2021-06-24,superseded
AAPL,vertex,top,vertex,2021-06-24,134.64,2021-06-24,pending,,2021-06-24,,,2021-06-28,superseded
AAPL,vertex,top,vertex,2021-06-24,134.64,2021-06-28,invalidated,superseded,2021-06-24,,,2021-06-28,superseded
AAPL,vertex,bottom,vertex,2021-06-25,132.81,2021-06-25,pending,,2021-06-25,,,2021-06-28,superseded
AAPL,vertex,bottom,vertex,2021-06-25,132.81,2021-06-28,invalidated,superseded,2021-06-25,,,2021-06-28,superseded
AAPL,point,3B,3B,2021-06-25,132.81,2021-06-25,pending,,2021-06-25,,,2021-06-28,superseded
AAPL,point,3B,3B,2021-06-25,132.81,2021-06-28,invalidated,superseded,2021-06-25,,,2021-06-28,superseded
AAPL,vertex,top,vertex,2021-06-28,135.245,2021-06-28,pending,,2021-06-28,,,2021-06-29,superseded
AAPL,vertex,top,vertex,2021-06-28,135.245,2021-06-29,invalidated,superseded,2021-06-28,,,2021-06-29,superseded
AAPL,vertex,top,vertex,2021-06-29,136.49,2021-06-29,pending,,2021-06-29,2021-06-29,,2021-06-30,superseded
AAPL,vertex,top,vertex,2021-06-29,136.49,2021-06-29,confirmed_sublevel,,2021-06-29,2021-06-29,,2021-06-30,superseded
AAPL,vertex,top,vertex,2021-06-29,136.49,2021-06-30,invalidated,superseded,2021-06-29,2021-06-29,,2021-06-30,superseded
AAPL,vertex,top,vertex,2021-06-30,137.41,2021-06-30,pending,,2021-06-30,,,2021-07-02,superseded
AAPL,vertex,top,vertex,2021-06-30,137.41,2021-07-02,invalidated,superseded,2021-06-30,,,2021-07-02,superseded
AAPL,vertex,bottom,vertex,2021-07-01,135.76,2021-07-01,pending,,2021-07-01,,,2021-07-02,superseded
AAPL,vertex,bottom,vertex,2021-07-01,135.76,2021-07-02,invalidated,superseded,2021-07-01,,,2021-07-02,superseded
AAPL,point,3B,3B,2021-07-01,135.76,2021-07-01,pending,,2021-07-01,,,2021-07-02,superseded
AAPL,point,3B,3B,2021-07-01,135.76,2021-07-02,invalidated,superseded,2021-07-01,,,2021-07-02,superseded
AAPL,vertex,top,vertex,2021-07-02,140.0,2021-07-02,pending,,2021-07-02,,,2021-07-06,superseded
AAPL,vertex,top,vertex,2021-07-02,140.0,2021-07-06,invalidated,superseded,2021-07-02,,,2021-07-06,superseded
AAPL,vertex,top,vertex,2021-07-06,143.15,2021-07-06,pending,,2021-07-06,2021-07-06,,2021-07-07,superseded
AAPL,vertex,top,vertex,2021-07-06,143.15,2021-07-06,confirmed_sublevel,,2021-07-06,2021-07-06,,2021-07-07,superseded
AAPL,vertex,top,vertex,2021-07-06,143.15,2021-07-07,invalidated,superseded,2021-07-06,2021-07-06,,2021-07-07,superseded
AAPL,vertex,top,vertex,2021-07-07,144.89,2021-07-07,pending,,2021-07-07,2021-07-08,,2021-07-09,superseded
AAPL,vertex,top,vertex,2021-07-07,144.89,2021-07-08,confirmed_sublevel,,2021-07-07,2021-07-08,,2021-07-09,superseded
AAPL,vertex,top,vertex,2021-07-07,144.89,2021-07-09,invalidated,superseded,2021-07-07,2021-07-08,,2021-07-09,superseded
AAPL,vertex,bottom,vertex,2021-07-08,140.665,2021-07-08,pending,,2021-07-08,,,2021-07-09,superseded
AAPL,vertex,bottom,vertex,2021-07-08,140.665,2021-07-09,invalidated,superseded,2021-07-08,,,2021-07-09,superseded
AAPL,point,3B,3B,2021-07-08,140.665,2021-07-08,pending,,2021-07-08,,,2021-07-09,superseded
AAPL,point,3B,3B,2021-07-08,140.665,2021-07-09,invalidated,superseded,2021-07-08,,,2021-07-09,superseded
AAPL,vertex,top,vertex,2021-07-09,145.65,2021-07-09,pending,,2021-07-09,2021-07-09,,2021-07-12,superseded
AAPL,vertex,top,vertex,2021-07-09,145.65,2021-07-09,confirmed_sublevel,,2021-07-09,2021-07-09,,2021-07-12,superseded
