ticker,date,net_gamma
NVDA,2023-07-19,307127.2516
NVDA,2023-07-20,272683.00509999995
NVDA,2023-07-21,239859.49000000005
NVDA,2023-07-24,100610.57049999997
NVDA,2023-07-25,158314.73460000003
NVDA,2023-07-26,228280.173
NVDA,2023-07-27,321698.09930000006
NVDA,2023-07-28,315062.44350000005
NVDA,2023-07-31,236038.83869999996
NVDA,2023-08-01,210302.1178
NVDA,2023-08-02,159135.12480000005
NVDA,2023-08-03,25765.08799999999
NVDA,2023-08-04,94905.93020000006
NVDA,2023-08-07,152059.5967
NVDA,2023-08-08,131230.2661
NVDA,2023-08-09,104584.0883
NVDA,2023-08-10,-26427.94319999998
NVDA,2023-08-11,-58091.336899999995
NVDA,2023-08-14,58852.578899999964
NVDA,2023-08-15,236356.11349999992
NVDA,2023-08-16,227690.16630000004
NVDA,2023-08-17,219089.9377
NVDA,2023-08-18,31769.40419999999
NVDA,2023-08-21,156009.50490000003
NVDA,2023-08-22,210150.1259
NVDA,2023-08-23,177802.71750000003
NVDA,2023-08-24,297196.7107
NVDA,2023-08-25,225450.0873
NVDA,2023-08-28,166188.3601
NVDA,2023-08-29,211311.9214
NVDA,2023-08-30,378432.0266
NVDA,2023-08-31,386947.358
NVDA,2023-09-01,412524.7599
NVDA,2023-09-05,184551.13460000005
NVDA,2023-09-06,251860.89889999997
NVDA,2023-09-07,-20149.808899999945
NVDA,2023-09-08,65298.338499999954
NVDA,2023-09-11,68384.67850000004
NVDA,2023-09-12,50479.5111
NVDA,2023-09-13,26084.779899999965
NVDA,2023-09-14,207207.076
NVDA,2023-09-15,90407.79949999996
NVDA,2023-09-18,-60452.56820000004
NVDA,2023-09-19,55383.1777
NVDA,2023-09-20,47287.1789
NVDA,2023-09-21,-200171.65520000004
NVDA,2023-09-22,-58288.64439999999
NVDA,2023-09-25,-68280.34640000004
NVDA,2023-09-26,16085.186199999996
NVDA,2023-09-27,47221.68460000004
NVDA,2023-09-28,112254.50510000007
NVDA,2023-09-29,351569.00260000007
NVDA,2023-10-02,118726.62530000001
NVDA,2023-10-03,148493.90130000003
NVDA,2023-10-04,85246.33570000005
NVDA,2023-10-05,150103.93540000007
NVDA,2023-10-06,102568.55969999998
NVDA,2023-10-09,123151.74849999999
NVDA,2023-10-10,182312.47429999994
NVDA,2023-10-11,310506.86319999996
NVDA,2023-10-12,362615.1754
NVDA,2023-10-13,333880.94849999994
NVDA,2023-10-16,77098.28219999996
NVDA,2023-10-17,821.9810999999754
NVDA,2023-10-18,-63307.85770000005
NVDA,2023-10-19,41190.52250000008
NVDA,2023-10-20,-161367.96439999994
NVDA,2023-10-23,-30731.59619999997
NVDA,2023-10-24,165059.99309999996
NVDA,2023-10-25,157712.44739999995
NVDA,2023-10-26,-36873.38790000009
NVDA,2023-10-27,55915.44310000003
NVDA,2023-10-30,-676.5078999999678
NVDA,2023-10-31,-58513.63439999998
NVDA,2023-11-01,-1853.4964000000618
NVDA,2023-11-02,283666.3765
NVDA,2023-11-03,310600.31659999996
NVDA,2023-11-06,213962.6887
NVDA,2023-11-07,189630.51330000005
NVDA,2023-11-08,243064.12240000005
NVDA,2023-11-09,356749.2539
NVDA,2023-11-10,243159.59949999995
NVDA,2023-11-13,270802.7877
NVDA,2023-11-14,282193.4512
NVDA,2023-11-15,359998.89629999996
NVDA,2023-11-16,263090.9303
NVDA,2023-11-17,467737.5372
NVDA,2023-11-20,192321.9188
NVDA,2023-11-21,227108.4962
NVDA,2023-11-22,233288.3209
NVDA,2023-11-24,78260.57499999995
NVDA,2023-11-27,152007.3532
NVDA,2023-11-28,207089.51589999994
