ticker,as_of
NVDA,2026-07-18
AAPL,2026-07-18
MSFT,2026-07-18
AMZN,2026-07-18
TSM,2026-07-18
GOOGL,2026-07-18
GOOG,2026-07-18
AVGO,2026-07-18
TSLA,2026-07-18
META,2026-07-18
LLY,2026-07-18
MU,2026-07-18
JPM,2026-07-18
WMT,2026-07-18
IVV,2026-07-18
AMD,2026-07-18
ASML,2026-07-18
V,2026-07-18
XOM,2026-07-18
JNJ,2026-07-18
VOO,2026-07-18
INTC,2026-07-18
MA,2026-07-18
QQQ,2026-07-18
ABBV,2026-07-18
AMAT,2026-07-18
BAC,2026-07-18
CSCO,2026-07-18
VTI,2026-07-18
COST,2026-07-18
CAT,2026-07-18
LRCX,2026-07-18
UNH,2026-07-18
CVX,2026-07-18
KO,2026-07-18
GE,2026-07-18
ORCL,2026-07-18
PG,2026-07-18
HD,2026-07-18
HSBC,2026-07-18
MS,2026-07-18
GS,2026-07-18
MRK,2026-07-18
NFLX,2026-07-18
PLTR,2026-07-18
PM,2026-07-18
NVS,2026-07-18
PANW,2026-07-18
KLAC,2026-07-18
ARM,2026-07-18
WFC,2026-07-18
TXN,2026-07-18
MUFG,2026-07-18
RTX,2026-07-18
FMX,2026-07-18
AXP,2026-07-18
SHEL,2026-07-18
LIN,2026-07-18
TM,2026-07-18
C,2026-07-18
ANET,2026-07-18
TMUS,2026-07-18
DEO,2026-07-18
CRWD,2026-07-18
IBM,2026-07-18
BHP,2026-07-18
TMO,2026-07-18
AMGN,2026-07-18
SAN,2026-07-18
SAP,2026-07-18
MCD,2026-07-18
PEP,2026-07-18
CX,2026-07-18
APH,2026-07-18
IEFA,2026-07-18
NEE,2026-07-18
ADI,2026-07-18
VZ,2026-07-18
QCOM,2026-07-18
SCHW,2026-07-18
UBS,2026-07-18
UNP,2026-07-18
DIS,2026-07-18
ABT,2026-07-18
TJX,2026-07-18
WELL,2026-07-18
GILD,2026-07-18
BA,2026-07-18
BLK,2026-07-18
STX,2026-07-18
MRVL,2026-07-18
DE,2026-07-18
WDC,2026-07-18
ETN,2026-07-18
T,2026-07-18
SHOP,2026-07-18
IEMG,2026-07-18
E,2026-07-18
UBER,2026-07-18
BBVA,2026-07-18
SCCO,2026-07-18
BUD,2026-07-18
BTI,2026-07-18
DHR,2026-07-18
PFE,2026-07-18
BKNG,2026-07-18
ISRG,2026-07-18
CRM,2026-07-18
VEA,2026-07-18
PLD,2026-07-18
COP,2026-07-18
UL,2026-07-18
GLW,2026-07-18
CVS,2026-07-18
VUG,2026-07-18
SPGI,2026-07-18
HDB,2026-07-18
CB,2026-07-18
APP,2026-07-18
COF,2026-07-18
AGG,2026-07-18
DELL,2026-07-18
SYK,2026-07-18
SONY,2026-07-18
VTV,2026-07-18
IWF,2026-07-18
BMY,2026-07-18
SBUX,2026-07-18
PDD,2026-07-18
VRTX,2026-07-18
IJH,2026-07-18
MO,2026-07-18
LOW,2026-07-18
PH,2026-07-18
PGR,2026-07-18
LMT,2026-07-18
FTNT,2026-07-18
RIO,2026-07-18
GSK,2026-07-18
VRT,2026-07-18
BND,2026-07-18
HMC,2026-07-18
BNY,2026-07-18
IJR,2026-07-18
HWM,2026-07-18
SO,2026-07-18
NOW,2026-07-18
MDT,2026-07-18
TT,2026-07-18
IBN,2026-07-18
ADP,2026-07-18
PNC,2026-07-18
MCK,2026-07-18
CDNS,2026-07-18
GD,2026-07-18
EQIX,2026-07-18
USB,2026-07-18
SMFG,2026-07-18
SGOV,2026-07-18
DUK,2026-07-18
SPOT,2026-07-18
MAR,2026-07-18
BCS,2026-07-18
MNST,2026-07-18
WM,2026-07-18
NEM,2026-07-18
RSP,2026-07-18
ACN,2026-07-18
BX,2026-07-18
ING,2026-07-18
ITOT,2026-07-18
PWR,2026-07-18
CSX,2026-07-18
FDX,2026-07-18
MELI,2026-07-18
SNOW,2026-07-18
ADBE,2026-07-18
BP,2026-07-18
KKR,2026-07-18
WMB,2026-07-18
CEG,2026-07-18
MCO,2026-07-18
CMI,2026-07-18
MPC,2026-07-18
CME,2026-07-18
EQNR,2026-07-18
TX,2026-07-18
ASX,2026-07-18
MRSH,2026-07-18
UPS,2026-07-18
NET,2026-07-18
DDOG,2026-07-18
LYG,2026-07-18
JCI,2026-07-18
HCA,2026-07-18
VIG,2026-07-18
ATMP,2026-07-18
FCX,2026-07-18
HOOD,2026-07-18
SHW,2026-07-18
NTES,2026-07-18
BN,2026-07-18
CTAS,2026-07-18
IWD,2026-07-18
EPD,2026-07-18
IWM,2026-07-18
ITW,2026-07-18
ELV,2026-07-18
PSX,2026-07-18
INTU,2026-07-18
ICE,2026-07-18
SNPS,2026-07-18
BAM,2026-07-18
VWO,2026-07-18
MDLZ,2026-07-18
AMX,2026-07-18
AON,2026-07-18
AMT,2026-07-18
EDU,2026-07-18
EMR,2026-07-18
EFA,2026-07-18
DASH,2026-07-18
VXUS,2026-07-18
