horizon,band_sigma,nominal_confidence,measured_confidence,ci_lo,ci_hi,n_dates,sigma_for_target_nominal,sigma_for_target_measured
5,0.5,0.38292492254802624,0.4168886686078929,0.383351417019226,0.4526421133192101,149.0,,
5,1.0,0.6826894921370859,0.709063874605043,0.6774948178005282,0.7550666147544511,149.0,,
5,1.28,0.7994548640911159,0.819589864320674,0.7916996917691445,0.8526126065521786,149.0,,
5,1.5,0.8663855974622838,0.8781364227743015,0.8536399301837213,0.9038255234482032,149.0,,
5,1.645,0.9000301889217572,0.9086797596183632,0.8892537271978607,0.9290221000915997,149.0,,
5,1.96,0.950004209703559,0.9509324081531504,0.9388519866097047,0.9632657214456452,149.0,,
5,2.0,0.9544997361036416,0.9544018338392912,0.9414551925883702,0.96657064757461,149.0,,
5,2.5,0.9875806693484477,0.9829626417198438,0.9781740347457427,0.9877335528839198,149.0,,
5,,0.5,,,,,0.6744897501960817,0.6178782388174918
5,,0.6827,,,,,1.0000217133229992,0.9445032533395709
5,,0.8,,,,,1.2815515655446004,1.2215308151276667
5,,0.9,,,,,1.644853626951472,1.5995194248839928
5,,0.95,,,,,1.959963984540054,1.9466491115127602
5,,0.99,,,,,2.5758293035489004,2.768215493998324
10,0.5,0.38292492254802624,0.4155083213862744,0.3775991187284409,0.44816956266674496,144.0,,
10,1.0,0.6826894921370859,0.7117746057470548,0.6657252776769855,0.7579038491619279,144.0,,
10,1.28,0.7994548640911159,0.813999875335037,0.7715859102884577,0.852050687987474,144.0,,
10,1.5,0.8663855974622838,0.8746493797918096,0.8410142988598189,0.9098908540382514,144.0,,
10,1.645,0.9000301889217572,0.9034469862245216,0.8744746200294357,0.93051850914711,144.0,,
10,1.96,0.950004209703559,0.9465810633921337,0.9238209572254743,0.965434616992492,144.0,,
10,2.0,0.9544997361036416,0.9496353549834818,0.9281365946291251,0.9680974668183608,144.0,,
10,2.5,0.9875806693484477,0.9808639281929814,0.9726981736499625,0.9877437077661368,144.0,,
10,,0.5,,,,,0.6744897501960817,0.620390855194368
10,,0.6827,,,,,1.0000217133229992,0.9355454465339819
10,,0.8,,,,,1.2815515655446004,1.2338984615024098
10,,0.9,,,,,1.644853626951472,1.6289344495506302
10,,0.95,,,,,1.959963984540054,2.0053861661914074
10,,0.99,,,,,2.5758293035489004,2.7796331447589977
21,0.5,0.38292492254802624,0.3835016835016835,0.33728928883738274,0.4286381338886315,133.0,,
21,1.0,0.6826894921370859,0.676969696969697,0.6170851815925771,0.7307390875649156,133.0,,
21,1.28,0.7994548640911159,0.787946127946128,0.7393956857767136,0.8375502675147402,133.0,,
21,1.5,0.8663855974622838,0.8507744107744107,0.8025502975632929,0.8992473619525045,133.0,,
21,1.645,0.9000301889217572,0.8840404040404041,0.8425033525926716,0.9223137828641313,133.0,,
21,1.96,0.950004209703559,0.9331313131313131,0.9012373618102362,0.9644498273937641,133.0,,
21,2.0,0.9544997361036416,0.9373063973063973,0.9083330458840125,0.967192746276181,133.0,,
21,2.5,0.9875806693484477,0.972996632996633,0.9581444806190959,0.9871892459187167,133.0,,
21,,0.5,,,,,0.6744897501960817,0.6781613503048823
21,,0.6827,,,,,1.0000217133229992,1.010998788857207
21,,0.8,,,,,1.2815515655446004,1.3153211492612742
21,,0.9,,,,,1.644853626951472,1.7319408101328813
21,,0.95,,,,,1.959963984540054,2.139217326913782
21,,0.99,,,,,2.5758293035489004,3.0054721556562876
