entry_index,entry_date,entry_price,pivot_index,confirm_lag_bars,resistance,support,stretch,down,outcome,ticker,k_atr,null_hit
66,2025-10-07,31.335,59,6,30.54,25.77,33.48786,22.82214,hit,AAOI,2.0,0.71
76,2025-10-21,33.4,69,6,33.79,27.15,37.89352,23.04648,hit,AAOI,2.0,0.715
103,2025-11-28,26.78,98,4,37.22,19.49,48.17714,8.532859999999998,hit,AAOI,2.0,0.1125
120,2025-12-23,40.64,116,3,36.32,27.14,41.99324,21.46676,hit,AAOI,2.0,0.885
144,2026-01-29,39.57,130,13,41.0,33.01,45.93782,28.072179999999996,hit,AAOI,2.0,0.6225
182,2026-03-25,114.41,176,5,127.01,86.33,152.15024,61.18975999999999,stop,AAOI,2.0,0.715
191,2026-04-08,132.7,186,4,114.41,84.59,132.83875999999998,66.16124,hit,AAOI,2.0,0.95
272,2026-08-04,131.63,268,3,223.1,76.52,313.68644,-14.06644,neither,AAOI,2.0,0.23
51,2025-09-16,238.15,47,3,239.78,226.79,247.80782,218.76218,hit,AAPL,2.0,0.66
76,2025-10-21,262.77,69,6,258.06,245.27,265.96422,237.36578000000003,hit,AAPL,2.0,0.885
143,2026-01-28,256.44,137,5,286.19,246.7,310.59482,222.29518,stop,AAPL,2.0,0.1825
162,2026-02-25,274.23,155,6,278.12,255.78,291.92612,241.97388,stop,AAPL,2.0,0.6575
190,2026-04-07,253.5,185,4,274.23,246.63,291.2868,229.57319999999999,stop,AAPL,2.0,0.225
250,2026-07-02,308.63,245,4,315.2,275.15,339.9509,250.39909999999998,hit,AAPL,2.0,0.53
69,2025-10-10,206.21,62,6,251.88,194.5,287.34084,159.03916,stop,ALAB,2.0,0.6075
85,2025-11-03,191.56,77,7,225.43,154.85,269.04844,111.23155999999999,stop,ALAB,2.0,0.6725
110,2025-12-09,167.08,98,11,191.56,139.29,223.86286,106.98713999999998,stop,ALAB,2.0,0.5975
120,2025-12-23,168.83,116,3,175.74,140.24,197.679,118.30100000000002,stop,ALAB,2.0,0.6675
152,2026-02-10,182.86,149,2,183.75,142.82,209.04474,117.52525999999999,stop,ALAB,2.0,0.7275
191,2026-04-08,125.46,185,5,187.67,100.27,241.6832,46.2568,hit,ALAB,2.0,0.1225
211,2026-05-06,213.91,205,5,212.84,183.31,231.08954,165.06046,hit,ALAB,2.0,0.73
273,2026-08-05,318.43,268,4,483.02,249.74,627.18704,105.57296000000002,neither,ALAB,2.0,0.285
28,2025-08-13,190.03,23,4,199.29,178.14,212.3607,165.06929999999997,stop,AMAT,2.0,0.1125
