ticker,sector
AAOI,DC-Connect
AAPL,M7
ALAB,DC-Connect
AMAT,Semi-Cap
AMD,Semi-Logic
AMZN,M7
ANET,DC-Connect
APP,SaaS
ARM,Semi-Logic
ASML,Semi-Cap
ASTS,Space
AVGO,Semi-Logic
BAC,Banks
BE,Power
BKSY,Space
BLK,Banks
CDNS,Semi-Cap
COHR,DC-Connect
COIN,Crypto
COST,Consumer
CRCL,Crypto
CRDO,DC-Connect
CRM,SaaS
CRWD,SaaS
CRWV,NeoCloud
CVX,Energy
DIA,Beta
ELV,Sector-ETF
FLY,Space
FN,DC-Connect
GLD,Macro
GLW,DC-Connect
GOOGL,M7
GS,Banks
HD,Consumer
HIMS,Healthcare
HOOD,Fintech
HUT,NeoCloud
HYG,Credit
IBM,SaaS
IGV,Sector-ETF
INTC,Foundry
IREN,NeoCloud
ISRG,Healthcare
IWM,Beta
JNJ,Healthcare
JNK,Credit
JPM,Banks
KLAC,Semi-Cap
KO,Consumer
KORU,Sector-ETF
LITE,DC-Connect
LLY,Healthcare
LRCX,Semi-Cap
MAGS,Sector-ETF
MARA,Crypto
MCD,Consumer
META,M7
MRVL,DC-Connect
MS,Banks
MSFT,M7
MSTR,Crypto
MU,Memory
NBIS,NeoCloud
NET,SaaS
NKE,Consumer
NOK,DC-Connect
NOV,Healthcare
NVDA,M7
OKLO,Power
ORCL,NeoCloud
OXY,Energy
PANW,SaaS
PFE,Healthcare
PL,Space
PLTR,SaaS
QCOM,Semi-Logic
QQQ,Beta
RIOT,Crypto
RKLB,Space
SBUX,Consumer
SLV,Macro
SMH,Sector-ETF
SNDK,Memory
SNOW,SaaS
SNPS,Semi-Cap
SOFI,Fintech
SOXL,Sector-ETF
SOXX,Sector-ETF
SPCX,M7
SPY,Beta
TER,Semi-Cap
TGT,Consumer
TLT,Macro
TSEM,Foundry
TSLA,M7
TSM,Foundry
TXN,Semi-Logic
UNH,Healthcare
WDC,Memory
WFC,Banks
WMT,Consumer
XLB,Sector-ETF
XLC,Sector-ETF
XLE,Sector-ETF
XLF,Sector-ETF
XLI,Sector-ETF
XLK,Sector-ETF
XLP,Sector-ETF
XLRE,Sector-ETF
XLU,Sector-ETF
XLV,Sector-ETF
XLY,Sector-ETF
XOM,Energy
