ticker,in_taxonomy,activity_per_day,full_name,sector,marketcap,total_open_interest,avg_30_day_call_volume,avg_30_day_put_volume,avg30_volume,close
NFLX,no,433253,NETFLIX INC,Communication Services,308714487579,5587642,294244.7667,139008.9333,46736606.909090909091,74.14
GOOG,no,198502,ALPHABET INC,Communication Services,1879382770000,1880184,134745.9,63756.9667,20769354.045454545455,353.47
ONDS,no,148307,ONDAS HOLDINGS INC,Technology,4516397742,1648876,105447.7,42859.4667,106326521.72727273,9.11
RIVN,no,135477,RIVIAN AUTOMOTIVE INC,Consumer Cyclical,23103170080,2321194,94905.8667,40571.5333,29326399.318181818182,16
BMNR,no,132254,BitMine Immersion Technologies,Financial Services,11352720735,1632581,101425.9333,30828.6,33984926.363636363636,18.82
GME,no,125521,GAMESTOP CORP,Consumer Cyclical,8596924484,1539926,105448.4,20073.0667,5616432.545454545455,19.16
WBD,no,118334,WARNER BROS DISCOVERY INC,Communication Services,67236634749,2792169,43912.0333,74422.1,24794229.818181818182,26.78
AMC,no,103688,AMC ENTERTAINMENT HOLDINGS,Communication Services,2311846012,1057435,84358.2333,19330.4333,46957993.681818181818,2.59
UBER,no,102715,UBER TECHNOLOGIES INC,Technology,153232860277,1355914,66209.7333,36505.4333,19404021.818181818182,75.02
OPEN,no,97427,OPENDOOR TECHNOLOGIES INC,Real Estate,3384252309,1099563,80704.4667,16723.5,67547461.909090909091,3.485
T,no,91454,AT&T INC,Communication Services,163018254614,1211873,57259.4667,34194.9,74285139.136363636364,23.79
PYPL,no,90722,PAYPAL HOLDINGS INC,Financial Services,50532073827,1816413,66849.2333,23873.5333,18058348.181818181818,59.07
F,no,88960,FORD MOTOR CO,Consumer Cyclical,54756075402,1938754,58816.2667,30143.7667,54195242.818181818182,13.98
AAL,no,81820,AMERICAN AIRLINES GROUP INC,Industrials,10551801019,2084005,40642.1667,41178.4,100681311.136363636364,15.94
IONQ,no,79562,IONQ INC,Technology,16584383790,770200,39941.1667,39621.7,21289916.272727272727,44.43
WEN,no,74510,WENDY'S CO,Consumer Cyclical,1466251762,604511,46705.6,27805.3667,7983999.772727272727,7.69
HTZ,no,74316,HERTZ GLOBAL HOLDINGS INC,Industrials,809144662,1142118,48244.4,26071.6667,35875464.5,2.27
FIG,no,73158,"Figma, Inc",Technology,10599596000,484877,59513,13645.5333,25336659.681818181818,23.29
VZ,no,73085,VERIZON COMMUNICATIONS INC,Communication Services,195523721006,1196164,42134.3667,30951.2333,26982743.227272727273,47.06
LCID,no,71546,LUCID GROUP INC,Consumer Cyclical,2774254039,791997,35888.5,35657.9,24943499.681818181818,7.04
BB,no,70866,BLACKBERRY LTD,Technology,5263181870,690835,54005.0333,16861.2333,17549049.045454545455,8.98
BA,no,66598,BOEING CO,Industrials,185278540088,850832,42090,24508.7,6118194.863636363636,234.42
POET,no,58919,POET TECHNOLOGIES INC,Technology,1178710484,1146471,49225.1333,9694.2667,12908784.909090909091,8.91
C,no,58090,CITIGROUP INC,Financial Services,226453965705,1090594,33364.8667,24725.5,12430459.681818181818,135
NU,no,57904,NU HOLDINGS LTD,Financial Services,53049729407,1690351,43568.4,14335.8667,99201308.045454545455,13.84
FRMI,no,57671,Fermi,Real Estate,3940208797,967732,47267.5333,10404,19617298.318181818182,6.18
RGTI,no,56691,RIGETTI COMPUTING INC,Technology,5987811321,705666,36974.8,19716.9,21958391.090909090909,17.94
CMG,no,55035,CHIPOTLE MEXICAN GRILL INC,Consumer Cyclical,41493056220,869827,31127.9,23907.2667,19611520.727272727273,32.79
FCX,no,54527,FREEPORT-MCMORAN INC,Basic Materials,99975539951,1155158,36387.8333,18139.8,14300758.5,69.62
SLS,no,54204,SELLAS LIFE SCIENCES GROUP INC,Healthcare,2234251214,963841,39355.4,14849.0333,6491350.5,12.01
CVNA,no,52505,CARVANA CO,Consumer Cyclical,51006078003,1165366,25749.0333,26756.3,9983522.409090909091,70.85
KEEL,no,51471,Keel Infrastructure,Technology,2342855166,1076388,43303.2333,8168.1667,30121711.954545454545,3.88
