sector,deviation_class,verdict,mean_realized_vrp,mean_holdout,rich_cheap_spread,n,n_holdout,survives_walkforward,survives_window_gate,confidence,as_of,inserted_at
DC-Connect,NORMAL,NONE,-0.0589300674535628,-0.0733131749951047,-0.0217262141520277,863,345,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
DC-Connect,RICH,NONE,-0.0543509162626426,-0.0936947802289842,-0.0217262141520277,459,184,f,t,,2026-09-24,2026-09-24 14:12:56.865823+08
DC-Connect,CHEAP,NONE,-0.0326247021106149,-0.0201672420491658,-0.0217262141520277,625,250,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
M7,NORMAL,NONE,0.0446226899720025,0.00208642922297109,0.0261139587418157,757,303,f,t,,2026-09-24,2026-09-24 14:12:56.865823+08
M7,RICH,NONE,0.0602761215163039,0.0017685994222612,0.0261139587418157,351,140,f,t,,2026-09-24,2026-09-24 14:12:56.865823+08
M7,CHEAP,HARVEST_SELLABLE,0.0341621627744883,0.0182506718613031,0.0261139587418157,462,185,t,t,med,2026-09-24,2026-09-24 14:12:56.865823+08
AI-App/Consumer-Net,RICH,NONE,0.0272861700874716,0.00892252280804451,-0.0117249792226631,437,175,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
AI-App/Consumer-Net,NORMAL,NONE,0.0275532026057936,0.00422768345441948,-0.0117249792226631,627,251,f,t,,2026-09-24,2026-09-24 14:12:56.865823+08
AI-App/Consumer-Net,CHEAP,HARVEST_SELLABLE,0.0390111493101347,0.0342788734087062,-0.0117249792226631,462,185,t,t,med,2026-09-24,2026-09-24 14:12:56.865823+08
IT-Services/Integration,RICH,HARVEST_SELLABLE,0.126147267249053,0.0291757640016796,0.175001025630994,72,29,t,t,med,2026-09-24,2026-09-24 14:12:56.865823+08
IT-Services/Integration,NORMAL,NONE,0.0104049864485319,0.0241152583260566,0.175001025630994,237,95,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
IT-Services/Integration,CHEAP,NONE,-0.0488537583819416,-0.0220012529617231,0.175001025630994,86,34,f,t,,2026-09-24,2026-09-24 14:12:56.865823+08
Software/SaaS,CHEAP,NONE,0.0241012117766416,-0.0100542797428977,-0.0582291349512892,224,90,f,t,,2026-09-24,2026-09-24 14:12:56.865823+08
Software/SaaS,NORMAL,NONE,-0.0161329084626675,-0.0234981655813268,-0.0582291349512892,327,131,f,f,,2026-09-24,2026-09-24 14:12:56.865823+08
