sector,deviation_class,verdict,mean_realized_vrp,mean_holdout,rich_cheap_spread,n,n_holdout,survives_walkforward,survives_window_gate,confidence,as_of,inserted_at
Data-Platform,CHEAP,NONE,-0.193238648825851,-0.219812807039834,0.236315806954511,21,8,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
EPC/Construction,NORMAL,HARVEST_SELLABLE,0.0841911124194553,0.105099380788068,0.165788920444374,95,38,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
EPC/Construction,CHEAP,NONE,0.0114142296003183,-0.00958700280995973,0.165788920444374,46,18,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
EPC/Construction,RICH,HARVEST_SELLABLE,0.177203150044692,0.121184537405396,0.165788920444374,30,12,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Memory,RICH,HARVEST_SELLABLE,0.0694186913619142,0.0460464915055586,0.232288570984348,98,39,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Memory,NORMAL,NONE,-0.0242907568591328,-0.000374113217106483,0.232288570984348,154,62,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
Memory,CHEAP,NONE,-0.162869879622433,-0.188782023072114,0.232288570984348,117,47,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
Analog/Power-Semi,NORMAL,NONE,-0.0459345052602994,-0.106592706850854,0.257794807896799,119,48,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
Analog/Power-Semi,RICH,HARVEST_SELLABLE,0.136166557773633,0.155706670145806,0.257794807896799,65,26,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Analog/Power-Semi,CHEAP,NONE,-0.121628250123166,-0.161561747403443,0.257794807896799,95,38,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
Cybersecurity,RICH,HARVEST_SELLABLE,0.160182811703865,0.19929300784524,0.217547134365856,36,14,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Cybersecurity,CHEAP,NONE,-0.0573643226619903,-0.0241998834243329,0.217547134365856,45,18,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
Cybersecurity,NORMAL,HARVEST_SELLABLE,0.0292106293842038,0.0359574734270595,0.217547134365856,75,30,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
DC-Connect,NORMAL,NONE,-0.0704138383390402,-0.0297971592135208,0.207940494398455,666,266,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
DC-Connect,CHEAP,NONE,-0.152593757231372,-0.143844844882639,0.207940494398455,413,165,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
DC-Connect,RICH,HARVEST_SELLABLE,0.0553467371670832,0.113877764752079,0.207940494398455,261,104,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
M7,RICH,HARVEST_SELLABLE,0.0846385700551775,0.0765116224774649,0.116272974478196,258,103,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
M7,NORMAL,NONE,0.033414812060175,-0.00242456130993601,0.116272974478196,510,204,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
M7,CHEAP,NONE,-0.0316344044230186,-0.0648336180698954,0.116272974478196,295,118,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
unknown,NORMAL,NONE,0.0121550692519001,-0.0274445144306449,0.134215492355933,902,361,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
unknown,CHEAP,NONE,-0.0553515469215012,-0.0981626208501469,0.134215492355933,505,202,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
unknown,RICH,HARVEST_SELLABLE,0.0788639454344315,0.0604428259556517,0.134215492355933,422,169,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
AI-App/Consumer-Net,NORMAL,HARVEST_SELLABLE,0.0394215565809171,0.0231826400627597,0.155639612879002,660,264,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
AI-App/Consumer-Net,CHEAP,NONE,-0.042602791785804,-0.027736825983638,0.155639612879002,425,170,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
AI-App/Consumer-Net,RICH,HARVEST_SELLABLE,0.113036821093198,0.118626751353511,0.155639612879002,306,122,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
IT-Services/Integration,NORMAL,NONE,-0.0035764003677698,0.015746862043219,0.213687075912959,178,71,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
IT-Services/Integration,RICH,HARVEST_SELLABLE,0.144219382004253,0.104233419539306,0.213687075912959,60,24,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
IT-Services/Integration,CHEAP,NONE,-0.0694676939087063,-0.0503232262494625,0.213687075912959,93,37,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
Software/SaaS,NORMAL,NONE,-0.0125917314045211,-0.0241745041615688,0.140901804401772,323,129,f,f,,2026-09-19,2026-09-19 07:10:01.760604+08
Software/SaaS,RICH,HARVEST_SELLABLE,0.0762904229386234,0.075435160533131,0.140901804401772,153,61,t,t,med,2026-09-19,2026-09-19 07:10:01.760604+08
Software/SaaS,CHEAP,NONE,-0.0646113814631483,-0.114063665455363,0.140901804401772,186,74,f,t,,2026-09-19,2026-09-19 07:10:01.760604+08
