asset_class,deviation_class,verdict,mean_realized_vrp,mean_holdout,rich_cheap_spread,n,n_holdout,survives_walkforward,survives_window_gate,confidence,as_of,inserted_at
single_name,NORMAL,NONE,0.0114923784793434,0.00806213760534259,0.187538906971763,10607,4243,f,f,,2026-09-19,2026-09-19 06:50:00.016118+08
single_name,CHEAP,NONE,-0.0785212747025831,-0.077339878336926,0.187538906971763,6426,2570,f,t,,2026-09-19,2026-09-19 06:50:00.016118+08
single_name,RICH,HARVEST_SELLABLE,0.10901763226918,0.104938678429764,0.187538906971763,5172,2069,t,t,med,2026-09-19,2026-09-19 06:50:00.016118+08
index_macro,RICH,HARVEST_SELLABLE,0.0478745440659787,0.0527894546792019,0.0884086608738574,356,142,t,t,med,2026-09-19,2026-09-19 06:50:00.016118+08
index_macro,NORMAL,NONE,0.00862077173527086,0.0209418909739216,0.0884086608738574,782,313,f,f,,2026-09-19,2026-09-19 06:50:00.016118+08
index_macro,CHEAP,NONE,-0.0405341168078787,-0.0259654553521385,0.0884086608738574,363,145,f,t,,2026-09-19,2026-09-19 06:50:00.016118+08
sector_etf,NORMAL,NONE,0.00619609047457653,0.00660459745626904,0.134005222304691,1835,734,f,f,,2026-09-19,2026-09-19 06:50:00.016118+08
sector_etf,RICH,HARVEST_SELLABLE,0.0745614497124141,0.0542654907220736,0.134005222304691,832,333,t,t,med,2026-09-19,2026-09-19 06:50:00.016118+08
sector_etf,CHEAP,NONE,-0.0594437725922769,-0.0756196219467846,0.134005222304691,903,361,f,t,,2026-09-19,2026-09-19 06:50:00.016118+08
credit,RICH,HARVEST_SELLABLE,0.0392406859831262,0.0237825654415012,0.0427290338119448,83,33,t,t,med,2026-09-19,2026-09-19 06:50:00.016118+08
credit,NORMAL,NONE,0.0147320144886398,0.009373050718707,0.0427290338119448,260,104,f,t,,2026-09-19,2026-09-19 06:50:00.016118+08
credit,CHEAP,NONE,-0.00348834782881857,-0.000214798920175187,0.0427290338119448,81,32,f,f,,2026-09-19,2026-09-19 06:50:00.016118+08
