config,strategy,horizon,span,n_rebalances,period_hit_rate,avg_one_way_turnover,cagr,ann_vol,sharpe,sortino,max_drawdown,days
momentum_5d,momentum,5.0,full,1484.0,0.391,0.57,-0.1069,0.0889,-1.226,-1.322,-0.9685,7422
momentum_5d,momentum,5.0,IS_<=2023,1484.0,0.391,0.57,-0.1158,0.0883,-1.347,-1.437,-0.9661,6795
momentum_5d,momentum,5.0,OOS_2024+,1484.0,0.391,0.57,-0.005,0.095,-0.005,-0.006,-0.1466,627
momentum_10d,momentum,10.0,full,742.0,0.38,0.777,-0.0748,0.0877,-0.841,-0.908,-0.9164,7422
momentum_10d,momentum,10.0,IS_<=2023,742.0,0.38,0.777,-0.0833,0.0872,-0.952,-1.019,-0.9127,6795
momentum_10d,momentum,10.0,OOS_2024+,742.0,0.38,0.777,0.0228,0.0928,0.289,0.344,-0.115,627
momentum_15d,momentum,15.0,full,494.0,0.395,0.779,-0.0553,0.0866,-0.612,-0.674,-0.8444,7422
momentum_15d,momentum,15.0,IS_<=2023,494.0,0.395,0.779,-0.0643,0.0865,-0.724,-0.791,-0.8399,6795
momentum_15d,momentum,15.0,OOS_2024+,494.0,0.395,0.779,0.0478,0.0877,0.576,0.686,-0.0998,627
fade_5d,fade,5.0,full,1484.0,0.435,0.58,-0.0416,0.0844,-0.46,-0.521,-0.7481,7422
fade_5d,fade,5.0,IS_<=2023,1484.0,0.435,0.58,-0.047,0.0849,-0.523,-0.584,-0.7438,6795
fade_5d,fade,5.0,OOS_2024+,1484.0,0.435,0.58,0.0184,0.0787,0.271,0.384,-0.0934,627
fade_10d,fade,10.0,full,742.0,0.442,0.773,-0.0336,0.0841,-0.364,-0.413,-0.674,7422
fade_10d,fade,10.0,IS_<=2023,742.0,0.442,0.773,-0.0372,0.0842,-0.407,-0.452,-0.6561,6795
fade_10d,fade,10.0,OOS_2024+,742.0,0.442,0.773,0.006,0.0831,0.114,0.184,-0.1356,627
fade_15d,fade,15.0,full,494.0,0.431,0.808,-0.0431,0.0846,-0.477,-0.509,-0.7717,7422
fade_15d,fade,15.0,IS_<=2023,494.0,0.431,0.808,-0.0494,0.0843,-0.557,-0.583,-0.7694,6795
fade_15d,fade,15.0,OOS_2024+,494.0,0.431,0.808,0.0279,0.088,0.357,0.509,-0.1132,627
baseline_mom10_10d,baseline_mom10,10.0,full,742.0,0.383,0.784,-0.073,0.0902,-0.794,-0.867,-0.9094,7422
baseline_mom10_10d,baseline_mom10,10.0,IS_<=2023,742.0,0.383,0.784,-0.0817,0.0897,-0.904,-0.979,-0.9084,6795
baseline_mom10_10d,baseline_mom10,10.0,OOS_2024+,742.0,0.383,0.784,0.0264,0.0954,0.321,0.378,-0.1304,627
reversal_5_5d,reversal_5,5.0,full,1484.0,0.471,0.784,0.0549,0.093,0.62,0.946,-0.2679,7422
reversal_5_5d,reversal_5,5.0,IS_<=2023,1484.0,0.471,0.784,0.0593,0.0926,0.667,1.032,-0.2679,6795
reversal_5_5d,reversal_5,5.0,OOS_2024+,1484.0,0.471,0.784,0.0082,0.0973,0.133,0.184,-0.1015,627
reversal_5_10d,reversal_5,10.0,full,742.0,0.495,0.779,0.0423,0.0909,0.501,0.773,-0.2559,7422
reversal_5_10d,reversal_5,10.0,IS_<=2023,742.0,0.495,0.779,0.0463,0.0909,0.543,0.837,-0.208,6795
reversal_5_10d,reversal_5,10.0,OOS_2024+,742.0,0.495,0.779,0.0003,0.0907,0.049,0.077,-0.1288,627
reversal_10_10d,reversal_10,10.0,full,742.0,0.491,0.784,0.0286,0.0903,0.356,0.548,-0.2967,7422
reversal_10_10d,reversal_10,10.0,IS_<=2023,742.0,0.491,0.784,0.0383,0.0898,0.463,0.714,-0.2233,6795
reversal_10_10d,reversal_10,10.0,OOS_2024+,742.0,0.491,0.784,-0.0712,0.0955,-0.726,-1.102,-0.1996,627
reversal_10_15d,reversal_10,15.0,full,494.0,0.464,0.779,0.0221,0.0892,0.289,0.415,-0.253,7422
reversal_10_15d,reversal_10,15.0,IS_<=2023,494.0,0.464,0.779,0.0313,0.0891,0.39,0.564,-0.1891,6795
reversal_10_15d,reversal_10,15.0,OOS_2024+,494.0,0.464,0.779,-0.0721,0.0904,-0.782,-1.061,-0.2253,627
lt_mom_3_21d,lt_mom_3,21.0,full,353.0,0.433,0.45,-0.0475,0.0922,-0.482,-0.559,-0.7973,7422
lt_mom_3_21d,lt_mom_3,21.0,IS_<=2023,353.0,0.433,0.45,-0.0556,0.091,-0.582,-0.672,-0.7888,6795
lt_mom_3_21d,lt_mom_3,21.0,OOS_2024+,353.0,0.433,0.45,0.0441,0.1039,0.468,0.576,-0.1329,627
lt_mom_6_21d,lt_mom_6,21.0,full,353.0,0.47,0.321,-0.052,0.1032,-0.465,-0.49,-0.8232,7422
lt_mom_6_21d,lt_mom_6,21.0,IS_<=2023,353.0,0.47,0.321,-0.06,0.1029,-0.548,-0.571,-0.8232,6795
lt_mom_6_21d,lt_mom_6,21.0,OOS_2024+,353.0,0.47,0.321,0.0395,0.1056,0.42,0.549,-0.1216,627
lt_mom_12_1_21d,lt_mom_12_1,21.0,full,353.0,0.524,0.241,-0.0306,0.1039,-0.245,-0.259,-0.7456,7422
lt_mom_12_1_21d,lt_mom_12_1,21.0,IS_<=2023,353.0,0.524,0.241,-0.0445,0.1037,-0.386,-0.401,-0.7456,6795
lt_mom_12_1_21d,lt_mom_12_1,21.0,OOS_2024+,353.0,0.524,0.241,0.1337,0.1066,1.231,1.598,-0.0927,627
buyhold_eqw,baseline,,full,,,,0.1512,0.1972,0.813,1.047,-0.5133,7422
buyhold_eqw,baseline,,IS_<=2023,,,,0.1476,0.2011,0.785,1.011,-0.5133,6795
buyhold_eqw,baseline,,OOS_2024+,,,,0.1913,0.149,1.249,1.713,-0.1826,627
