config,year,total_return,sharpe,days
momentum_5d,1997,-0.2098,-3.93,253
momentum_5d,1998,-0.2171,-2.89,252
momentum_5d,1999,0.0023,0.07,252
momentum_5d,2000,-0.2128,-1.62,252
momentum_5d,2001,-0.1535,-1.34,248
momentum_5d,2002,-0.2106,-2.28,252
momentum_5d,2003,-0.2988,-1.73,252
momentum_5d,2004,-0.1322,-2.85,252
momentum_5d,2005,-0.0707,-1.92,253
momentum_5d,2006,-0.0948,-2.36,251
momentum_5d,2007,-0.0458,-1.17,251
momentum_5d,2008,-0.2145,-1.83,253
momentum_5d,2009,-0.1946,-1.69,252
momentum_5d,2010,-0.0813,-1.73,252
momentum_5d,2011,-0.145,-2.63,252
momentum_5d,2012,0.0237,0.64,250
momentum_5d,2013,-0.0493,-1.73,252
momentum_5d,2014,-0.0434,-1.05,252
momentum_5d,2015,-0.0514,-1.16,252
momentum_5d,2016,-0.1221,-2.16,252
momentum_5d,2017,-0.0895,-2.42,251
momentum_5d,2018,-0.0884,-1.51,251
momentum_5d,2019,-0.0969,-1.72,252
momentum_5d,2020,-0.1161,-0.66,253
momentum_5d,2021,-0.0913,-1.01,252
momentum_5d,2022,-0.0695,-0.69,251
momentum_5d,2023,0.0536,0.84,250
momentum_5d,2024,-0.0708,-1.04,252
momentum_5d,2025,-0.0315,-0.24,250
momentum_5d,2026,0.0975,1.8,125
momentum_10d,1997,-0.1553,-2.74,253
momentum_10d,1998,-0.2032,-3.14,252
momentum_10d,1999,0.0639,0.77,252
momentum_10d,2000,-0.1451,-1.01,252
momentum_10d,2001,-0.022,-0.17,248
momentum_10d,2002,-0.1906,-2.11,252
momentum_10d,2003,-0.2357,-1.26,252
momentum_10d,2004,-0.0743,-1.55,252
momentum_10d,2005,-0.0235,-0.62,253
momentum_10d,2006,-0.05,-1.16,251
momentum_10d,2007,-0.0152,-0.36,251
momentum_10d,2008,-0.0766,-0.55,253
momentum_10d,2009,-0.1773,-1.61,252
momentum_10d,2010,-0.0908,-1.9,252
momentum_10d,2011,-0.1161,-2.21,252
momentum_10d,2012,-0.0035,-0.07,250
momentum_10d,2013,-0.0166,-0.5,252
momentum_10d,2014,-0.0277,-0.66,252
momentum_10d,2015,-0.0526,-1.3,252
momentum_10d,2016,-0.1123,-2.0,252
momentum_10d,2017,-0.0525,-1.44,251
momentum_10d,2018,-0.0789,-1.34,251
momentum_10d,2019,-0.0949,-1.67,252
momentum_10d,2020,-0.1165,-0.63,253
momentum_10d,2021,-0.0814,-1.02,252
momentum_10d,2022,-0.062,-0.6,251
momentum_10d,2023,0.0389,0.68,250
momentum_10d,2024,0.0056,0.12,252
momentum_10d,2025,-0.041,-0.35,250
momentum_10d,2026,0.0966,1.72,125
momentum_15d,1997,-0.0681,-1.17,253
momentum_15d,1998,-0.1265,-1.83,252
momentum_15d,1999,0.0014,0.06,252
momentum_15d,2000,-0.0947,-0.65,252
momentum_15d,2001,-0.2291,-2.03,248
momentum_15d,2002,-0.1094,-0.78,252
momentum_15d,2003,-0.2413,-1.3,252
momentum_15d,2004,-0.055,-1.25,252
momentum_15d,2005,-0.0076,-0.18,253
momentum_15d,2006,-0.0684,-1.62,251
momentum_15d,2007,0.0246,0.63,251
momentum_15d,2008,-0.0306,-0.24,253
momentum_15d,2009,-0.0363,-0.22,252
momentum_15d,2010,-0.0679,-1.75,252
momentum_15d,2011,-0.0529,-0.91,252
momentum_15d,2012,-0.0081,-0.2,250
momentum_15d,2013,-0.0146,-0.48,252
momentum_15d,2014,-0.0109,-0.28,252
momentum_15d,2015,-0.0192,-0.38,252
momentum_15d,2016,-0.1242,-2.64,252
momentum_15d,2017,-0.0114,-0.3,251
momentum_15d,2018,0.0095,0.22,251
momentum_15d,2019,-0.1429,-2.72,252
momentum_15d,2020,-0.0462,-0.25,253
momentum_15d,2021,-0.1102,-1.64,252
momentum_15d,2022,0.0031,0.08,251
momentum_15d,2023,-0.0294,-0.43,250
momentum_15d,2024,0.0436,0.68,252
momentum_15d,2025,-0.0049,0.0,250
momentum_15d,2026,0.0816,1.77,125
fade_5d,1997,-0.0186,-0.31,253
fade_5d,1998,-0.0855,-1.31,252
fade_5d,1999,0.0786,1.01,252
fade_5d,2000,-0.0171,-0.05,252
fade_5d,2001,-0.0866,-0.74,248
fade_5d,2002,-0.0823,-0.63,252
fade_5d,2003,-0.1767,-0.84,252
fade_5d,2004,-0.1041,-2.24,252
fade_5d,2005,0.0093,0.27,253
fade_5d,2006,-0.0413,-0.95,251
fade_5d,2007,0.0415,1.02,251
fade_5d,2008,-0.0862,-0.69,253
fade_5d,2009,-0.0937,-0.92,252
fade_5d,2010,-0.0335,-0.75,252
fade_5d,2011,0.0025,0.07,252
fade_5d,2012,-0.0347,-0.83,250
fade_5d,2013,-0.0232,-0.68,252
fade_5d,2014,-0.0182,-0.44,252
fade_5d,2015,-0.0569,-1.42,252
fade_5d,2016,-0.1055,-1.82,252
fade_5d,2017,-0.0275,-0.79,251
fade_5d,2018,-0.032,-0.52,251
fade_5d,2019,-0.0984,-1.68,252
fade_5d,2020,-0.006,0.02,253
fade_5d,2021,-0.0052,-0.04,252
fade_5d,2022,-0.0842,-0.85,251
fade_5d,2023,-0.0433,-0.71,250
fade_5d,2024,0.0341,0.52,252
fade_5d,2025,-0.0043,-0.01,250
fade_5d,2026,0.0162,0.39,125
fade_10d,1997,-0.1133,-2.07,253
fade_10d,1998,0.0276,0.46,252
fade_10d,1999,0.0105,0.18,252
fade_10d,2000,-0.1817,-1.41,252
fade_10d,2001,-0.1284,-1.04,248
fade_10d,2002,-0.0927,-0.73,252
fade_10d,2003,-0.1261,-0.55,252
fade_10d,2004,-0.0402,-0.81,252
fade_10d,2005,-0.006,-0.13,253
fade_10d,2006,-0.0131,-0.26,251
fade_10d,2007,0.025,0.71,251
fade_10d,2008,-0.0587,-0.48,253
fade_10d,2009,0.0049,0.1,252
fade_10d,2010,-0.0591,-1.52,252
fade_10d,2011,0.0198,0.34,252
fade_10d,2012,-0.0727,-1.87,250
fade_10d,2013,0.0043,0.15,252
fade_10d,2014,-0.0281,-0.74,252
fade_10d,2015,0.0034,0.1,252
fade_10d,2016,-0.0264,-0.4,252
fade_10d,2017,-0.0228,-0.66,251
fade_10d,2018,0.0129,0.26,251
fade_10d,2019,-0.0988,-1.83,252
fade_10d,2020,0.229,1.73,253
fade_10d,2021,-0.0038,-0.02,252
fade_10d,2022,-0.1459,-1.65,251
fade_10d,2023,-0.0432,-0.69,250
fade_10d,2024,-0.0003,0.03,252
fade_10d,2025,-0.0019,0.02,250
fade_10d,2026,0.0174,0.44,125
fade_15d,1997,-0.0009,0.01,253
fade_15d,1998,0.0048,0.1,252
fade_15d,1999,0.0737,1.09,252
fade_15d,2000,-0.0973,-0.61,252
fade_15d,2001,-0.0919,-0.82,248
fade_15d,2002,-0.185,-1.47,252
fade_15d,2003,-0.1545,-0.72,252
fade_15d,2004,-0.1129,-2.31,252
fade_15d,2005,-0.0359,-0.92,253
fade_15d,2006,-0.0084,-0.15,251
fade_15d,2007,0.0283,0.78,251
fade_15d,2008,-0.0864,-0.83,253
fade_15d,2009,-0.1404,-1.39,252
fade_15d,2010,-0.0118,-0.23,252
fade_15d,2011,-0.0262,-0.42,252
fade_15d,2012,-0.0651,-1.53,250
fade_15d,2013,0.0004,0.03,252
fade_15d,2014,-0.0201,-0.63,252
fade_15d,2015,-0.0088,-0.19,252
fade_15d,2016,-0.0965,-1.65,252
fade_15d,2017,-0.0427,-1.1,251
fade_15d,2018,-0.0232,-0.42,251
fade_15d,2019,-0.1479,-2.64,252
fade_15d,2020,0.0104,0.15,253
fade_15d,2021,0.0022,0.07,252
fade_15d,2022,-0.0039,0.02,251
fade_15d,2023,-0.0354,-0.59,250
fade_15d,2024,0.0548,0.8,252
fade_15d,2025,0.0103,0.15,250
fade_15d,2026,0.0051,0.16,125
baseline_mom10_10d,1997,-0.1562,-2.79,253
baseline_mom10_10d,1998,-0.2347,-3.71,252
baseline_mom10_10d,1999,0.0149,0.22,252
baseline_mom10_10d,2000,-0.0924,-0.59,252
baseline_mom10_10d,2001,-0.0214,-0.17,248
baseline_mom10_10d,2002,-0.1907,-1.96,252
baseline_mom10_10d,2003,-0.2268,-1.2,252
baseline_mom10_10d,2004,-0.0744,-1.52,252
baseline_mom10_10d,2005,-0.0472,-1.31,253
baseline_mom10_10d,2006,-0.0411,-0.89,251
baseline_mom10_10d,2007,-0.021,-0.49,251
baseline_mom10_10d,2008,-0.1365,-1.04,253
baseline_mom10_10d,2009,-0.1647,-1.39,252
baseline_mom10_10d,2010,-0.0822,-1.66,252
baseline_mom10_10d,2011,-0.1022,-1.75,252
baseline_mom10_10d,2012,0.0119,0.3,250
baseline_mom10_10d,2013,-0.0217,-0.62,252
baseline_mom10_10d,2014,-0.0102,-0.21,252
baseline_mom10_10d,2015,-0.047,-1.13,252
baseline_mom10_10d,2016,-0.0916,-1.55,252
baseline_mom10_10d,2017,-0.0506,-1.43,251
baseline_mom10_10d,2018,-0.0662,-1.09,251
baseline_mom10_10d,2019,-0.1002,-1.75,252
baseline_mom10_10d,2020,-0.1235,-0.64,253
baseline_mom10_10d,2021,-0.0748,-0.87,252
baseline_mom10_10d,2022,-0.0416,-0.37,251
baseline_mom10_10d,2023,0.0654,1.02,250
baseline_mom10_10d,2024,0.0125,0.22,252
baseline_mom10_10d,2025,-0.0232,-0.16,250
baseline_mom10_10d,2026,0.0787,1.41,125
reversal_5_5d,1997,0.2916,4.5,253
reversal_5_5d,1998,0.1167,1.4,252
reversal_5_5d,1999,0.193,2.14,252
reversal_5_5d,2000,0.3704,2.26,252
reversal_5_5d,2001,0.1042,0.88,248
reversal_5_5d,2002,0.2526,1.72,252
reversal_5_5d,2003,0.1184,0.66,252
reversal_5_5d,2004,0.0225,0.43,252
reversal_5_5d,2005,0.0221,0.53,253
reversal_5_5d,2006,0.0651,1.38,251
reversal_5_5d,2007,0.0409,0.93,251
reversal_5_5d,2008,0.1316,0.94,253
reversal_5_5d,2009,0.0274,0.27,252
reversal_5_5d,2010,-0.0008,0.01,252
reversal_5_5d,2011,0.1138,1.8,252
reversal_5_5d,2012,-0.0395,-0.99,250
reversal_5_5d,2013,0.0571,1.86,252
reversal_5_5d,2014,-0.0147,-0.33,252
reversal_5_5d,2015,-0.0554,-1.25,252
reversal_5_5d,2016,-0.0076,-0.11,252
reversal_5_5d,2017,0.0166,0.44,251
reversal_5_5d,2018,0.002,0.06,251
reversal_5_5d,2019,-0.0168,-0.28,252
reversal_5_5d,2020,0.0799,0.54,253
reversal_5_5d,2021,0.048,0.57,252
reversal_5_5d,2022,-0.0816,-0.77,251
reversal_5_5d,2023,-0.115,-1.86,250
reversal_5_5d,2024,0.0483,0.77,252
reversal_5_5d,2025,-0.0109,-0.04,250
reversal_5_5d,2026,-0.0157,-0.21,125
reversal_5_10d,1997,0.1012,1.66,253
reversal_5_10d,1998,0.1904,2.53,252
reversal_5_10d,1999,-0.0305,-0.36,252
reversal_5_10d,2000,0.0296,0.27,252
reversal_5_10d,2001,-0.0115,-0.02,248
reversal_5_10d,2002,0.1815,1.27,252
reversal_5_10d,2003,0.1441,0.77,252
reversal_5_10d,2004,0.0355,0.66,252
reversal_5_10d,2005,0.0294,0.77,253
reversal_5_10d,2006,0.0418,0.97,251
reversal_5_10d,2007,-0.0075,-0.15,251
reversal_5_10d,2008,0.0436,0.41,253
reversal_5_10d,2009,0.1917,1.42,252
reversal_5_10d,2010,-0.0306,-0.6,252
reversal_5_10d,2011,0.0895,1.67,252
reversal_5_10d,2012,-0.0279,-0.67,250
reversal_5_10d,2013,0.0264,0.84,252
reversal_5_10d,2014,-0.0477,-1.15,252
reversal_5_10d,2015,0.0368,0.96,252
reversal_5_10d,2016,0.0803,1.46,252
reversal_5_10d,2017,0.0347,0.95,251
reversal_5_10d,2018,0.0283,0.48,251
reversal_5_10d,2019,0.0716,1.28,252
reversal_5_10d,2020,0.2057,1.24,253
reversal_5_10d,2021,0.0385,0.52,252
reversal_5_10d,2022,-0.0422,-0.38,251
reversal_5_10d,2023,-0.0795,-1.38,250
reversal_5_10d,2024,-0.0141,-0.19,252
reversal_5_10d,2025,0.0524,0.54,250
reversal_5_10d,2026,-0.0354,-0.65,125
reversal_10_10d,1997,0.1347,2.11,253
reversal_10_10d,1998,0.2489,3.16,252
reversal_10_10d,1999,-0.0586,-0.68,252
reversal_10_10d,2000,0.0375,0.32,252
reversal_10_10d,2001,-0.0266,-0.22,248
reversal_10_10d,2002,0.1747,1.58,252
reversal_10_10d,2003,0.1939,0.99,252
reversal_10_10d,2004,0.0365,0.74,252
reversal_10_10d,2005,0.008,0.24,253
reversal_10_10d,2006,0.0006,0.04,251
reversal_10_10d,2007,-0.0196,-0.44,251
reversal_10_10d,2008,0.093,0.74,253
reversal_10_10d,2009,0.1324,1.07,252
reversal_10_10d,2010,0.0441,0.87,252
reversal_10_10d,2011,0.0665,1.1,252
reversal_10_10d,2012,-0.0504,-1.19,250
reversal_10_10d,2013,-0.0177,-0.51,252
reversal_10_10d,2014,-0.0323,-0.73,252
reversal_10_10d,2015,0.0066,0.18,252
reversal_10_10d,2016,0.054,0.89,252
reversal_10_10d,2017,0.0113,0.33,251
reversal_10_10d,2018,0.0257,0.44,251
reversal_10_10d,2019,0.0637,1.08,252
reversal_10_10d,2020,0.0597,0.41,253
reversal_10_10d,2021,0.0318,0.41,252
reversal_10_10d,2022,-0.007,-0.02,251
reversal_10_10d,2023,-0.1007,-1.63,250
reversal_10_10d,2024,-0.054,-0.82,252
reversal_10_10d,2025,-0.0275,-0.2,250
reversal_10_10d,2026,-0.0955,-1.75,125
reversal_10_15d,1997,0.0559,0.99,253
reversal_10_15d,1998,0.1132,1.45,252
reversal_10_15d,1999,0.0063,0.12,252
reversal_10_15d,2000,0.0098,0.14,252
reversal_10_15d,2001,0.1739,1.27,248
reversal_10_15d,2002,0.122,0.92,252
reversal_10_15d,2003,0.2,1.02,252
reversal_10_15d,2004,0.0117,0.27,252
reversal_10_15d,2005,-0.0235,-0.61,253
reversal_10_15d,2006,0.0194,0.46,251
reversal_10_15d,2007,-0.0348,-0.84,251
reversal_10_15d,2008,0.0496,0.5,253
reversal_10_15d,2009,-0.0303,-0.15,252
reversal_10_15d,2010,0.0141,0.36,252
reversal_10_15d,2011,0.0183,0.33,252
reversal_10_15d,2012,-0.037,-0.89,250
reversal_10_15d,2013,-0.0199,-0.69,252
reversal_10_15d,2014,-0.0293,-0.7,252
reversal_10_15d,2015,-0.0097,-0.18,252
reversal_10_15d,2016,0.1128,2.01,252
reversal_10_15d,2017,-0.0045,-0.1,251
reversal_10_15d,2018,-0.0453,-0.93,251
reversal_10_15d,2019,0.1338,2.26,252
reversal_10_15d,2020,0.0689,0.52,253
reversal_10_15d,2021,0.0612,0.85,252
reversal_10_15d,2022,-0.0206,-0.18,251
reversal_10_15d,2023,-0.0154,-0.21,250
reversal_10_15d,2024,-0.0324,-0.48,252
reversal_10_15d,2025,-0.0728,-0.63,250
reversal_10_15d,2026,-0.0747,-1.67,125
lt_mom_3_21d,1997,-0.157,-3.27,253
lt_mom_3_21d,1998,-0.1594,-2.52,252
lt_mom_3_21d,1999,-0.0021,0.02,252
lt_mom_3_21d,2000,-0.0172,-0.03,252
lt_mom_3_21d,2001,-0.2049,-1.73,248
lt_mom_3_21d,2002,-0.1594,-1.13,252
lt_mom_3_21d,2003,0.0277,0.38,252
lt_mom_3_21d,2004,-0.0772,-1.71,252
lt_mom_3_21d,2005,-0.0302,-0.74,253
lt_mom_3_21d,2006,-0.0281,-0.54,251
lt_mom_3_21d,2007,0.0996,1.86,251
lt_mom_3_21d,2008,-0.1191,-0.82,253
lt_mom_3_21d,2009,-0.2764,-2.11,252
lt_mom_3_21d,2010,0.0145,0.33,252
lt_mom_3_21d,2011,-0.0359,-0.41,252
lt_mom_3_21d,2012,-0.0431,-0.91,250
lt_mom_3_21d,2013,0.0264,0.69,252
lt_mom_3_21d,2014,-0.039,-0.84,252
lt_mom_3_21d,2015,0.0483,0.97,252
lt_mom_3_21d,2016,-0.0607,-0.99,252
lt_mom_3_21d,2017,0.0057,0.14,251
lt_mom_3_21d,2018,0.0269,0.48,251
lt_mom_3_21d,2019,-0.0593,-1.05,252
lt_mom_3_21d,2020,-0.0619,-0.26,253
lt_mom_3_21d,2021,-0.0335,-0.36,252
lt_mom_3_21d,2022,-0.0258,-0.16,251
lt_mom_3_21d,2023,-0.0572,-0.82,250
lt_mom_3_21d,2024,0.0666,0.96,252
lt_mom_3_21d,2025,-0.0138,-0.06,250
lt_mom_3_21d,2026,0.0585,0.96,125
lt_mom_6_21d,1997,-0.1591,-3.23,253
lt_mom_6_21d,1998,-0.1472,-2.4,252
lt_mom_6_21d,1999,0.0102,0.17,252
lt_mom_6_21d,2000,0.0232,0.22,252
lt_mom_6_21d,2001,-0.216,-1.66,248
lt_mom_6_21d,2002,-0.1915,-1.39,252
lt_mom_6_21d,2003,-0.1074,-0.43,252
lt_mom_6_21d,2004,-0.0801,-1.73,252
lt_mom_6_21d,2005,-0.0303,-0.78,253
lt_mom_6_21d,2006,-0.0694,-1.39,251
lt_mom_6_21d,2007,0.1124,1.93,251
lt_mom_6_21d,2008,-0.1563,-1.11,253
lt_mom_6_21d,2009,-0.3238,-2.26,252
lt_mom_6_21d,2010,-0.0056,-0.1,252
lt_mom_6_21d,2011,-0.041,-0.44,252
lt_mom_6_21d,2012,-0.0597,-1.23,250
lt_mom_6_21d,2013,0.0907,2.11,252
lt_mom_6_21d,2014,-0.0384,-0.83,252
lt_mom_6_21d,2015,0.0648,1.09,252
lt_mom_6_21d,2016,-0.0442,-0.58,252
lt_mom_6_21d,2017,0.0231,0.44,251
lt_mom_6_21d,2018,0.0421,0.67,251
lt_mom_6_21d,2019,-0.0814,-1.3,252
lt_mom_6_21d,2020,-0.0209,-0.02,253
lt_mom_6_21d,2021,-0.0587,-0.62,252
