config,strategy,horizon,span,n_rebalances,period_hit_rate,avg_one_way_turnover,cagr,ann_vol,sharpe,sortino,max_drawdown,days
momentum_5d,momentum,5.0,full,1484.0,0.384,0.57,-0.0937,0.0878,-1.076,-1.156,-0.9513,7422
momentum_5d,momentum,5.0,IS_<=2023,1484.0,0.384,0.57,-0.0997,0.0871,-1.16,-1.233,-0.9446,6795
momentum_5d,momentum,5.0,OOS_2024+,1484.0,0.384,0.57,-0.0267,0.0946,-0.239,-0.291,-0.1512,627
momentum_10d,momentum,10.0,full,742.0,0.4,0.777,-0.064,0.0875,-0.711,-0.765,-0.8915,7422
momentum_10d,momentum,10.0,IS_<=2023,742.0,0.4,0.777,-0.0758,0.087,-0.862,-0.92,-0.8912,6795
momentum_10d,momentum,10.0,OOS_2024+,742.0,0.4,0.777,0.0741,0.092,0.823,0.963,-0.1004,627
momentum_15d,momentum,15.0,full,494.0,0.421,0.779,-0.0481,0.0866,-0.525,-0.576,-0.8063,7422
momentum_15d,momentum,15.0,IS_<=2023,494.0,0.421,0.779,-0.057,0.0865,-0.634,-0.69,-0.8031,6795
momentum_15d,momentum,15.0,OOS_2024+,494.0,0.421,0.779,0.0534,0.0869,0.643,0.771,-0.0805,627
fade_5d,fade,5.0,full,1484.0,0.45,0.58,-0.0355,0.0845,-0.384,-0.432,-0.6992,7422
fade_5d,fade,5.0,IS_<=2023,1484.0,0.45,0.58,-0.0403,0.0851,-0.44,-0.488,-0.6992,6795
fade_5d,fade,5.0,OOS_2024+,1484.0,0.45,0.58,0.0186,0.0777,0.276,0.395,-0.1202,627
fade_10d,fade,10.0,full,742.0,0.439,0.773,-0.0366,0.0837,-0.402,-0.456,-0.7076,7422
fade_10d,fade,10.0,IS_<=2023,742.0,0.439,0.773,-0.0397,0.0838,-0.44,-0.488,-0.6846,6795
fade_10d,fade,10.0,OOS_2024+,742.0,0.439,0.773,-0.0026,0.0832,0.011,0.017,-0.1687,627
fade_15d,fade,15.0,full,494.0,0.431,0.808,-0.0407,0.0838,-0.453,-0.481,-0.7776,7422
fade_15d,fade,15.0,IS_<=2023,494.0,0.431,0.808,-0.0464,0.0834,-0.527,-0.548,-0.7776,6795
fade_15d,fade,15.0,OOS_2024+,494.0,0.431,0.808,0.0232,0.0881,0.304,0.43,-0.108,627
baseline_mom10_10d,baseline_mom10,10.0,full,742.0,0.395,0.784,-0.0643,0.09,-0.693,-0.753,-0.8897,7422
baseline_mom10_10d,baseline_mom10,10.0,IS_<=2023,742.0,0.395,0.784,-0.0762,0.0895,-0.839,-0.906,-0.8897,6795
baseline_mom10_10d,baseline_mom10,10.0,OOS_2024+,742.0,0.395,0.784,0.0742,0.0949,0.802,0.936,-0.1178,627
reversal_5_5d,reversal_5,5.0,full,1484.0,0.463,0.784,0.0411,0.091,0.487,0.742,-0.2307,7422
reversal_5_5d,reversal_5,5.0,IS_<=2023,1484.0,0.463,0.784,0.0445,0.0906,0.525,0.809,-0.1969,6795
reversal_5_5d,reversal_5,5.0,OOS_2024+,1484.0,0.463,0.784,0.0051,0.0953,0.101,0.14,-0.1789,627
reversal_5_10d,reversal_5,10.0,full,742.0,0.496,0.779,0.035,0.0899,0.427,0.66,-0.3004,7422
reversal_5_10d,reversal_5,10.0,IS_<=2023,742.0,0.496,0.779,0.0403,0.0899,0.484,0.748,-0.2082,6795
reversal_5_10d,reversal_5,10.0,OOS_2024+,742.0,0.496,0.779,-0.0206,0.0897,-0.187,-0.291,-0.1632,627
reversal_10_10d,reversal_10,10.0,full,742.0,0.488,0.784,0.019,0.09,0.254,0.392,-0.3517,7422
reversal_10_10d,reversal_10,10.0,IS_<=2023,742.0,0.488,0.784,0.0321,0.0895,0.397,0.615,-0.1934,6795
reversal_10_10d,reversal_10,10.0,OOS_2024+,742.0,0.488,0.784,-0.1125,0.0949,-1.209,-1.871,-0.2805,627
reversal_10_15d,reversal_10,15.0,full,494.0,0.478,0.779,0.0145,0.0891,0.206,0.296,-0.2998,7422
reversal_10_15d,reversal_10,15.0,IS_<=2023,494.0,0.478,0.779,0.0237,0.0891,0.307,0.444,-0.2998,6795
reversal_10_15d,reversal_10,15.0,OOS_2024+,494.0,0.478,0.779,-0.0796,0.0894,-0.884,-1.185,-0.2463,627
lt_mom_3_21d,lt_mom_3,21.0,full,353.0,0.448,0.45,-0.0457,0.0921,-0.462,-0.534,-0.7861,7422
lt_mom_3_21d,lt_mom_3,21.0,IS_<=2023,353.0,0.448,0.45,-0.0535,0.0909,-0.56,-0.643,-0.7758,6795
lt_mom_3_21d,lt_mom_3,21.0,OOS_2024+,353.0,0.448,0.45,0.0427,0.1043,0.453,0.555,-0.1351,627
lt_mom_6_21d,lt_mom_6,21.0,full,353.0,0.476,0.321,-0.052,0.1031,-0.465,-0.49,-0.8224,7422
lt_mom_6_21d,lt_mom_6,21.0,IS_<=2023,353.0,0.476,0.321,-0.0602,0.1029,-0.55,-0.572,-0.8224,6795
lt_mom_6_21d,lt_mom_6,21.0,OOS_2024+,353.0,0.476,0.321,0.0411,0.1055,0.435,0.566,-0.1233,627
lt_mom_12_1_21d,lt_mom_12_1,21.0,full,353.0,0.516,0.241,-0.0324,0.1037,-0.265,-0.279,-0.7463,7422
lt_mom_12_1_21d,lt_mom_12_1,21.0,IS_<=2023,353.0,0.516,0.241,-0.0464,0.1034,-0.406,-0.423,-0.7463,6795
lt_mom_12_1_21d,lt_mom_12_1,21.0,OOS_2024+,353.0,0.516,0.241,0.1328,0.1065,1.224,1.597,-0.0933,627
buyhold_eqw,baseline,,full,,,,0.1512,0.1972,0.813,1.047,-0.5133,7422
buyhold_eqw,baseline,,IS_<=2023,,,,0.1476,0.2011,0.785,1.011,-0.5133,6795
buyhold_eqw,baseline,,OOS_2024+,,,,0.1913,0.149,1.249,1.713,-0.1826,627
