config,year,total_return,sharpe,days
momentum_5d,1997,-0.192,-3.42,253
momentum_5d,1998,-0.2096,-2.93,252
momentum_5d,1999,0.005,0.1,252
momentum_5d,2000,-0.1993,-1.51,252
momentum_5d,2001,-0.1546,-1.38,248
momentum_5d,2002,-0.1756,-1.88,252
momentum_5d,2003,-0.2648,-1.48,252
momentum_5d,2004,-0.1329,-2.9,252
momentum_5d,2005,-0.0439,-1.19,253
momentum_5d,2006,-0.0796,-1.95,251
momentum_5d,2007,-0.0485,-1.22,251
momentum_5d,2008,-0.1715,-1.43,253
momentum_5d,2009,-0.1549,-1.32,252
momentum_5d,2010,-0.0877,-1.85,252
momentum_5d,2011,-0.0744,-1.35,252
momentum_5d,2012,0.0088,0.25,250
momentum_5d,2013,-0.046,-1.58,252
momentum_5d,2014,-0.0318,-0.76,252
momentum_5d,2015,-0.0445,-0.99,252
momentum_5d,2016,-0.136,-2.48,252
momentum_5d,2017,-0.0686,-1.74,251
momentum_5d,2018,-0.108,-2.01,251
momentum_5d,2019,-0.0933,-1.66,252
momentum_5d,2020,0.0441,0.35,253
momentum_5d,2021,-0.0744,-0.9,252
momentum_5d,2022,-0.0882,-0.89,251
momentum_5d,2023,0.0208,0.36,250
momentum_5d,2024,-0.0849,-1.25,252
momentum_5d,2025,-0.043,-0.36,250
momentum_5d,2026,0.0675,1.24,125
momentum_10d,1997,-0.1334,-2.42,253
momentum_10d,1998,-0.1921,-3.01,252
momentum_10d,1999,0.0731,0.89,252
momentum_10d,2000,-0.1391,-0.97,252
momentum_10d,2001,-0.1062,-1.02,248
momentum_10d,2002,-0.127,-1.33,252
momentum_10d,2003,-0.2224,-1.17,252
momentum_10d,2004,-0.0892,-1.97,252
momentum_10d,2005,-0.0189,-0.48,253
momentum_10d,2006,-0.0502,-1.13,251
momentum_10d,2007,-0.0141,-0.34,251
momentum_10d,2008,-0.0738,-0.53,253
momentum_10d,2009,-0.1314,-1.14,252
momentum_10d,2010,-0.0908,-1.87,252
momentum_10d,2011,-0.0899,-1.69,252
momentum_10d,2012,-0.0174,-0.42,250
momentum_10d,2013,-0.0182,-0.55,252
momentum_10d,2014,-0.0169,-0.4,252
momentum_10d,2015,-0.0362,-0.85,252
momentum_10d,2016,-0.0941,-1.67,252
momentum_10d,2017,-0.051,-1.4,251
momentum_10d,2018,-0.0998,-1.74,251
momentum_10d,2019,-0.1026,-1.83,252
momentum_10d,2020,-0.0074,0.04,253
momentum_10d,2021,-0.099,-1.3,252
momentum_10d,2022,-0.0661,-0.64,251
momentum_10d,2023,0.0287,0.52,250
momentum_10d,2024,0.0401,0.63,252
momentum_10d,2025,-0.0089,-0.04,250
momentum_10d,2026,0.1589,2.71,125
momentum_15d,1997,-0.0589,-1.02,253
momentum_15d,1998,-0.0902,-1.33,252
momentum_15d,1999,0.0278,0.38,252
momentum_15d,2000,-0.1346,-0.98,252
momentum_15d,2001,-0.2895,-2.66,248
momentum_15d,2002,-0.0677,-0.44,252
momentum_15d,2003,-0.2346,-1.25,252
momentum_15d,2004,-0.0558,-1.29,252
momentum_15d,2005,-0.0124,-0.3,253
momentum_15d,2006,-0.0449,-1.04,251
momentum_15d,2007,0.023,0.59,251
momentum_15d,2008,0.0585,0.59,253
momentum_15d,2009,0.0356,0.33,252
momentum_15d,2010,-0.0718,-1.84,252
momentum_15d,2011,-0.0328,-0.57,252
momentum_15d,2012,-0.0218,-0.57,250
momentum_15d,2013,-0.024,-0.81,252
momentum_15d,2014,-0.016,-0.42,252
momentum_15d,2015,-0.0136,-0.26,252
momentum_15d,2016,-0.1051,-2.22,252
momentum_15d,2017,-0.0229,-0.63,251
momentum_15d,2018,-0.0172,-0.35,251
momentum_15d,2019,-0.1237,-2.31,252
momentum_15d,2020,-0.0269,-0.11,253
momentum_15d,2021,-0.0911,-1.37,252
momentum_15d,2022,-0.0146,-0.11,251
momentum_15d,2023,-0.0232,-0.33,250
momentum_15d,2024,0.0336,0.53,252
momentum_15d,2025,0.0172,0.22,250
momentum_15d,2026,0.0827,1.79,125
fade_5d,1997,-0.0321,-0.6,253
fade_5d,1998,-0.0766,-1.25,252
fade_5d,1999,0.0203,0.3,252
fade_5d,2000,0.04,0.35,252
fade_5d,2001,-0.1641,-1.49,248
fade_5d,2002,0.0017,0.07,252
fade_5d,2003,-0.1679,-0.79,252
fade_5d,2004,-0.0629,-1.34,252
fade_5d,2005,-0.0157,-0.39,253
fade_5d,2006,-0.057,-1.31,251
fade_5d,2007,0.0414,1.01,251
fade_5d,2008,-0.0719,-0.55,253
fade_5d,2009,-0.0799,-0.73,252
fade_5d,2010,-0.0498,-1.11,252
fade_5d,2011,-0.0175,-0.26,252
fade_5d,2012,-0.0359,-0.87,250
fade_5d,2013,-0.0389,-1.16,252
fade_5d,2014,-0.0403,-1.1,252
fade_5d,2015,-0.0322,-0.76,252
fade_5d,2016,-0.074,-1.25,252
fade_5d,2017,-0.0256,-0.77,251
fade_5d,2018,-0.0053,-0.06,251
fade_5d,2019,-0.0774,-1.31,252
fade_5d,2020,0.0368,0.34,253
fade_5d,2021,-0.0247,-0.31,252
fade_5d,2022,-0.017,-0.13,251
fade_5d,2023,-0.0252,-0.39,250
fade_5d,2024,0.0162,0.26,252
fade_5d,2025,-0.0402,-0.48,250
fade_5d,2026,0.0734,1.7,125
fade_10d,1997,-0.1119,-2.19,253
fade_10d,1998,0.0146,0.26,252
fade_10d,1999,0.0083,0.15,252
fade_10d,2000,-0.1243,-0.94,252
fade_10d,2001,-0.2059,-1.75,248
fade_10d,2002,-0.0756,-0.58,252
fade_10d,2003,-0.1623,-0.76,252
fade_10d,2004,-0.0204,-0.4,252
fade_10d,2005,0.0073,0.2,253
fade_10d,2006,-0.0426,-0.92,251
fade_10d,2007,0.0436,1.24,251
fade_10d,2008,-0.0234,-0.15,253
fade_10d,2009,-0.0182,-0.1,252
fade_10d,2010,-0.0527,-1.34,252
fade_10d,2011,-0.0138,-0.19,252
fade_10d,2012,-0.0558,-1.45,250
fade_10d,2013,0.0083,0.27,252
fade_10d,2014,-0.0132,-0.34,252
fade_10d,2015,-0.002,-0.03,252
fade_10d,2016,-0.0223,-0.32,252
fade_10d,2017,-0.0157,-0.47,251
fade_10d,2018,-0.0133,-0.21,251
fade_10d,2019,-0.088,-1.64,252
fade_10d,2020,0.1351,1.09,253
fade_10d,2021,-0.0003,0.03,252
fade_10d,2022,-0.1025,-1.15,251
fade_10d,2023,-0.0603,-0.96,250
fade_10d,2024,-0.0136,-0.15,252
fade_10d,2025,-0.033,-0.33,250
fade_10d,2026,0.0417,0.97,125
fade_15d,1997,0.006,0.14,253
fade_15d,1998,0.0066,0.14,252
fade_15d,1999,0.0893,1.3,252
fade_15d,2000,-0.0969,-0.64,252
fade_15d,2001,-0.1416,-1.39,248
fade_15d,2002,-0.1855,-1.47,252
fade_15d,2003,-0.1406,-0.64,252
fade_15d,2004,-0.1258,-2.65,252
fade_15d,2005,-0.0507,-1.32,253
fade_15d,2006,-0.0083,-0.15,251
fade_15d,2007,0.0139,0.4,251
fade_15d,2008,-0.0225,-0.17,253
fade_15d,2009,-0.1183,-1.14,252
fade_15d,2010,-0.0129,-0.26,252
fade_15d,2011,-0.0496,-0.84,252
fade_15d,2012,-0.0439,-1.01,250
fade_15d,2013,-0.0115,-0.31,252
fade_15d,2014,-0.0152,-0.47,252
fade_15d,2015,-0.0135,-0.29,252
fade_15d,2016,-0.0739,-1.25,252
fade_15d,2017,-0.0489,-1.26,251
fade_15d,2018,-0.0684,-1.3,251
fade_15d,2019,-0.125,-2.2,252
fade_15d,2020,-0.0317,-0.25,253
fade_15d,2021,0.0028,0.07,252
fade_15d,2022,0.0837,0.76,251
fade_15d,2023,-0.0098,-0.14,250
fade_15d,2024,0.06,0.87,252
fade_15d,2025,-0.0287,-0.23,250
fade_15d,2026,0.0283,0.67,125
baseline_mom10_10d,1997,-0.1345,-2.5,253
baseline_mom10_10d,1998,-0.2193,-3.52,252
baseline_mom10_10d,1999,0.0377,0.48,252
baseline_mom10_10d,2000,-0.0762,-0.46,252
baseline_mom10_10d,2001,-0.0926,-0.9,248
baseline_mom10_10d,2002,-0.1326,-1.3,252
baseline_mom10_10d,2003,-0.2082,-1.07,252
baseline_mom10_10d,2004,-0.0893,-1.91,252
baseline_mom10_10d,2005,-0.0418,-1.14,253
baseline_mom10_10d,2006,-0.0433,-0.92,251
baseline_mom10_10d,2007,-0.0263,-0.62,251
baseline_mom10_10d,2008,-0.1517,-1.18,253
