ticker,in_sp500,in_ndx100,found,first_bar,last_bar,bar_count,status,needs_enrichment,error
BNY,True,False,True,2021-06-11,2026-07-02,1198,floor_truncated,True,
CASY,True,False,True,2021-06-11,2026-07-02,1269,floor_truncated,True,
COHR,True,False,True,2021-05-18,2026-07-02,1287,floor_truncated,True,
COO,True,False,True,2021-05-20,2026-07-02,1285,floor_truncated,True,
CRH,True,False,True,2021-05-20,2026-07-02,1285,floor_truncated,True,
FLEX,True,False,True,2021-06-11,2026-07-02,1269,floor_truncated,True,
LITE,True,True,True,2021-05-18,2026-07-02,1287,floor_truncated,True,
NBIS,False,True,True,2021-05-18,2026-07-02,1287,floor_truncated,True,
ODFL,True,True,True,2021-05-20,2026-07-02,1285,floor_truncated,True,
RKLB,False,True,True,2021-05-18,2026-07-02,1287,floor_truncated,True,
VEEV,True,False,True,2021-06-11,2026-07-02,1269,floor_truncated,True,
VRT,True,False,True,2021-06-11,2026-07-02,1269,floor_truncated,True,
BF.B,True,False,True,2026-05-19,2026-07-02,31,thin,True,
BRK.B,True,False,True,2026-05-19,2026-07-02,31,thin,True,
ECHO,True,False,True,2026-06-24,2026-07-02,7,thin,True,
FDXF,True,False,True,2026-06-01,2026-07-02,23,thin,True,
HONA,True,False,True,2026-06-29,2026-07-02,4,thin,True,
Q,True,False,True,2025-10-27,2026-07-02,171,thin,True,
