ticker,sector,setup_type,setup_direction,setup_score,ret_1d,ret_1w,ret_30d,iv_rank,spot,updated_at,section,bias,direction,scanner_score,scored_at,alpha_composite,alpha_direction,alignment_count,liquidity_rank,option_iv_bonus,option_leverage_score,top_factor_signals_json
PANW,SaaS,C,bull,1.7755,-0.004,0.1963,0.1798,54.79,350.62,2026-07-02 04:14:47.192641+08:00,watchlist,bullish,long,6.504,2026-07-02 04:14:47.172391+08:00,0.5387063761898061,long,2.0,0.39215686274509803,0.5684285714285714,71.8591949327262,"{""accumulation_pressure_6"": 0.9803921568627452, ""dollar_volume_rank"": 0.21568627450980393, ""gap_fade"": 0.6666666666666667, ""gap_follow"": 0.7647058823529411, ""mom_10"": 1.0, ""open_vs_vwap_snapback"": 0.8823529411764706, ""pv_corr_fade_6"": -0.2941176470588235, ""slope_12"": 0.9803921568627452, ""slope_6"": 0.9411764705882353, ""slope_acceleration"": -0.11764705882352944}"
WDC,Memory,C,bear,1.8253,-0.0081,-0.1212,0.054,97.67,593.5,2026-07-02 04:06:45.874254+08:00,watchlist,bearish,short,6.594,2026-07-02 04:06:45.859540+08:00,-0.2729831316801899,short,2.0,0.8137254901960784,1.0,57.21239666859368,"{""accumulation_pressure_6"": -0.6666666666666667, ""dollar_volume_rank"": -0.6274509803921569, ""gap_fade"": -0.7843137254901962, ""gap_follow"": -0.607843137254902, ""mom_10"": -0.7254901960784313, ""open_vs_vwap_snapback"": -0.8823529411764706, ""pv_corr_fade_6"": 1.0, ""slope_12"": -0.7058823529411764, ""slope_6"": -0.6862745098039216, ""slope_acceleration"": 0.9803921568627451}"
ORCL,NeoCloud,C,bull,1.6431,0.0062,-0.0595,-0.4137,46.25,143.39,2026-07-02 04:10:45.771048+08:00,,,,,,-0.6895469607305101,short,0.0,0.7352941176470589,0.44642857142857145,56.19512212508529,"{""accumulation_pressure_6"": -0.9411764705882353, ""dollar_volume_rank"": -0.47058823529411775, ""gap_fade"": -0.27450980392156854, ""gap_follow"": -0.3921568627450981, ""mom_10"": -0.9215686274509804, ""open_vs_vwap_snapback"": -0.7450980392156863, ""pv_corr_fade_6"": -0.6470588235294117, ""slope_12"": -0.9215686274509804, ""slope_6"": -0.8235294117647058, ""slope_acceleration"": -0.8627450980392157}"
NBIS,NeoCloud,,,,0.0123,-0.0959,-0.1096,100.0,232.01,2026-07-02 04:10:36.658064+08:00,watchlist,bearish,short,6.706,2026-07-01 03:01:18.671853+08:00,-0.42027804295506205,short,1.0,0.7156862745098039,1.0,52.350894379403364,"{""accumulation_pressure_6"": -0.6862745098039216, ""dollar_volume_rank"": -0.43137254901960786, ""gap_fade"": -0.9803921568627452, ""gap_follow"": -0.9803921568627451, ""mom_10"": -0.7843137254901961, ""open_vs_vwap_snapback"": -0.9019607843137254, ""pv_corr_fade_6"": 0.2549019607843137, ""slope_12"": -0.5686274509803921, ""slope_6"": -0.6274509803921569, ""slope_acceleration"": 0.7254901960784313}"
META,M7,C,bull,2.4059,-0.0064,0.1218,0.019,85.58,609.0,2026-07-02 04:10:37.260740+08:00,watchlist,bullish,long,6.574,2026-07-02 01:10:35.475321+08:00,0.17516156105369038,long,2.0,0.8529411764705882,1.0,51.42186515611127,"{""accumulation_pressure_6"": -0.196078431372549, ""dollar_volume_rank"": -0.7058823529411764, ""gap_fade"": 0.9803921568627451, ""gap_follow"": 1.0, ""mom_10"": 0.392156862745098, ""open_vs_vwap_snapback"": 0.8235294117647058, ""pv_corr_fade_6"": -0.3137254901960784, ""slope_12"": 0.03921568627450989, ""slope_6"": 0.607843137254902, ""slope_acceleration"": -0.6274509803921569}"
HIMS,Healthcare,,,,-0.004,0.144,0.3602,69.6,37.42,2026-07-02 04:19:01.362458+08:00,,,,,,0.6561166650664125,long,0.0,0.12745098039215685,0.7799999999999999,49.68542145660966,"{""accumulation_pressure_6"": 0.7450980392156863, ""dollar_volume_rank"": 0.7450980392156863, ""gap_fade"": 0.6470588235294117, ""gap_follow"": 0.8235294117647058, ""mom_10"": 0.9607843137254901, ""open_vs_vwap_snapback"": 0.607843137254902, ""pv_corr_fade_6"": -0.8431372549019608, ""slope_12"": 0.9215686274509804, ""slope_6"": 0.7647058823529411, ""slope_acceleration"": 0.8235294117647058}"
KORU,Sector-ETF,C,bear,1.8224,-0.0243,-0.2939,-0.522,82.43,585.45,2026-07-02 04:01:20.014853+08:00,,,,,,-0.42804877306519207,short,1.0,0.21568627450980393,0.9632857142857144,49.62858834425533,"{""accumulation_pressure_6"": -0.07843137254901966, ""dollar_volume_rank"": 0.5686274509803921, ""gap_fade"": -1.0, ""gap_follow"": -0.9607843137254902, ""mom_10"": -0.9803921568627451, ""open_vs_vwap_snapback"": -1.0, ""pv_corr_fade_6"": 0.5294117647058822, ""slope_12"": -0.9803921568627451, ""slope_6"": -0.9803921568627451, ""slope_acceleration"": 0.3921568627450981}"
CRWV,NeoCloud,C,bull,1.6321,0.0086,-0.1249,-0.2754,42.54,86.42,2026-07-02 04:12:09.265480+08:00,watchlist,bullish,long,7.5,2026-07-01 23:22:51.758506+08:00,-0.5477648034148402,short,0.0,0.6470588235294118,0.3934285714285714,49.350694642400164,"{""accumulation_pressure_6"": -0.3921568627450981, ""dollar_volume_rank"": -0.2941176470588236, ""gap_fade"": -0.9411764705882353, ""gap_follow"": -0.9411764705882353, ""mom_10"": -0.9411764705882353, ""open_vs_vwap_snapback"": -0.9607843137254901, ""pv_corr_fade_6"": -0.05882352941176472, ""slope_12"": -0.8627450980392157, ""slope_6"": -0.9215686274509804, ""slope_acceleration"": 0.3529411764705882}"
IREN,NeoCloud,,,,0.0007,-0.092,-0.3491,45.35,43.35,2026-07-02 04:11:57.542492+08:00,,,,,,-0.6421257764409153,short,0.0,0.4215686274509804,0.4335714285714286,48.79093320240469,"{""accumulation_pressure_6"": -0.4509803921568627, ""dollar_volume_rank"": 0.1568627450980392, ""gap_fade"": -0.5686274509803921, ""gap_follow"": -0.6274509803921569, ""mom_10"": -0.9607843137254902, ""open_vs_vwap_snapback"": -0.9411764705882353, ""pv_corr_fade_6"": -0.5294117647058824, ""slope_12"": -0.9411764705882353, ""slope_6"": -0.9411764705882353, ""slope_acceleration"": -0.588235294117647}"
COHR,DC-Connect,C,bear,1.8635,-0.0093,-0.1032,-0.1444,93.14,365.23,2026-07-02 03:33:51.156044+08:00,watchlist,bearish,short,7.5,2026-07-02 03:33:51.146321+08:00,-0.16317808066174022,short,2.0,0.45098039215686275,1.0,48.22261760710613,"{""accumulation_pressure_6"": 0.9019607843137254, ""dollar_volume_rank"": 0.0980392156862745, ""gap_fade"": -0.8235294117647058, ""gap_follow"": -0.7450980392156863, ""mom_10"": -0.196078431372549, ""open_vs_vwap_snapback"": -0.803921568627451, ""pv_corr_fade_6"": 0.5686274509803921, ""slope_12"": -0.039215686274509776, ""slope_6"": -0.6666666666666667, ""slope_acceleration"": 0.3137254901960784}"
