strategy,date,horizon_days,longs,shorts,long_return,short_return,long_short_return
momentum_continuation_2w,2025-07-01,5,"HOOD,RKLB,NKE,PL,GS","OKLO,ALAB,HIMS,TSLA,APP",0.052817869124529945,-0.053730121887372764,-0.0004561263814214095
momentum_continuation_2w,2025-07-02,5,"COIN,IREN,RIOT,RKLB,MARA","ALAB,CRWV,OKLO,PANW,NOK",0.07601622149214018,-0.007010229606376495,0.034502995942881844
momentum_continuation_2w,2025-07-03,5,"IREN,SOXL,SOFI,AAOI,ORCL","NOV,OXY,NOK,APP,SNDK",0.020306229635094188,-0.007335408948541078,0.006485410343276555
momentum_continuation_2w,2025-07-07,5,"RKLB,BKSY,NKE,COIN,SOFI","NOV,HIMS,CRWV,TSLA,ALAB",0.07749354566704744,-0.0060511072495885495,0.03572121920872945
momentum_continuation_2w,2025-07-08,5,"SOFI,HOOD,SOXL,IREN,BKSY","CRCL,COST,GLD,CRWV,TLT",0.06503553359370909,0.02796426086933714,0.04649989723152312
momentum_continuation_2w,2025-07-09,5,"IREN,SOFI,HIMS,MARA,HOOD","ASTS,SNDK,TSLA,KORU,ASML",0.0471246256729748,-0.040475920854119087,0.0033243524094278554
momentum_continuation_2w,2025-07-10,5,"SOFI,HOOD,SOXL,ORCL,MARA","PANW,CRWV,NOK,IBM,OKLO",0.0459070285505518,-0.023017514969891528,0.011444756790330137
momentum_continuation_2w,2025-07-11,5,"MARA,IREN,MSTR,RIOT,HUT","ASTS,CRWV,ARM,NOK,ISRG",0.04097474909445984,-0.05805380205628554,-0.00853952648091285
momentum_continuation_2w,2025-07-14,5,"MARA,HOOD,MSTR,SOFI,IREN","SNDK,NET,ISRG,CRWD,PANW",0.002311989348398513,-0.023903100628788265,-0.010795555640194876
momentum_continuation_2w,2025-07-15,5,"AMD,SOXL,NVDA,AAOI,BKSY","UNH,PANW,NOK,ISRG,SNOW",-0.07673879418285387,0.013049053540653999,-0.031844870321099936
momentum_continuation_2w,2025-07-16,5,"CRCL,RKLB,MSTR,MARA,COIN","SNDK,MRVL,NOK,ISRG,ASML",-0.05868289092905503,0.009039395767792401,-0.024821747580631312
momentum_continuation_2w,2025-07-17,5,"RKLB,OKLO,AMD,PLTR,COIN","CRWV,ISRG,QCOM,MU,SNDK",0.006045690177857011,0.02108158897061869,0.01356363957423785
momentum_continuation_2w,2025-07-18,5,"CRCL,COIN,HOOD,SOFI,MARA","SNDK,UNH,NOK,CRWV,NKE",-0.07870512203700822,0.018978009539989692,-0.02986355624850926
momentum_continuation_2w,2025-07-21,5,"COIN,ASTS,ALAB,RIOT,AMD","SNDK,ASML,NOK,ISRG,MU",0.006603066467764584,0.02850891803428155,0.017555992251023066
momentum_continuation_2w,2025-07-22,5,"COIN,RIOT,OKLO,MARA,TSLA","SNDK,NOK,ASML,SNOW,MU",-0.0335719899539497,-0.009875763076901856,-0.021723876515425778
momentum_continuation_2w,2025-07-23,5,"OKLO,RKLB,AMD,ASTS,ALAB","NOK,TXN,SNDK,CRWD,SNOW",0.04113362582874698,0.004846037059427544,0.022989831444087262
momentum_continuation_2w,2025-07-24,5,"GOOGL,AMD,ALAB,NBIS,RKLB","NOK,IBM,BKSY,TER,CRWV",0.041482091639660476,0.004725568993222762,0.023103830316441618
momentum_continuation_2w,2025-07-25,5,"HIMS,AMD,BE,PLTR,NBIS","NOK,ASML,TXN,INTC,BKSY",0.033891437051624805,0.04615641944314708,0.040023928247385945
momentum_continuation_2w,2025-07-28,5,"AMD,OKLO,ALAB,HIMS,BE","NOK,CRWV,BKSY,COST,KORU",0.05188930390613922,0.0006845224069906175,0.026286913156564916
