pricing,delta,dte,fee,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar5,worst_month,win_rate,breach_rate,mean_credit,n_trades
flat,0.05,21,0.0,0.03667273882650868,0.04654556613501538,-0.06226180324697074,-0.1299563312566443,0.28219278331338477,-0.005600601007189029,-0.0697217726378,0.9138099902056807,0.03819784524975514,0.30857489842914637,1021
flat,0.05,21,0.005,0.0315022608047788,0.046544642611877775,-0.169702603523019,-0.13012894355632343,0.2420849654492411,-0.005620331153994393,-0.07014621172567304,0.9138099902056807,0.03819784524975514,0.30857489842914637,1021
flat,0.05,21,0.01,0.026357469079711038,0.04654371908874016,-0.277147667492666,-0.13030152503451842,0.2022805878344757,-0.005640061300799878,-0.07057046557927293,0.9138099902056807,0.03819784524975514,0.30857489842914637,1021
flat,0.05,21,0.015,0.02123823655088497,0.046542795565602584,-0.38459699540854597,-0.13047407569612046,0.1627774440061925,-0.00565979144760526,-0.07099453427576341,0.9138099902056807,0.03819784524975514,0.30857489842914637,1021
flat,0.05,30,0.0,0.036425337507891564,0.049038212844531595,-0.06158811218923759,-0.13973038276186522,0.2606830153036169,-0.005814085054519275,-0.07577626880062338,0.9381746810598626,0.038272816486751716,0.36932917177944236,1019
flat,0.05,30,0.005,0.031256093417597164,0.049037239864118044,-0.16356762132636268,-0.1402593594016487,0.22284497484472157,-0.005833810965530056,-0.07619794552692083,0.9381746810598626,0.038272816486751716,0.36932917177944236,1019
flat,0.05,30,0.01,0.02611252949394549,0.04903626688370441,-0.26555117743056456,-0.14078802126183543,0.1854740855074723,-0.00585353687654094,-0.07661943822450046,0.9381746810598626,0.038272816486751716,0.36932917177944236,1019
flat,0.05,30,0.015,0.02099451866684965,0.04903529390329089,-0.36753878074163043,-0.14144740171551606,0.1484263295912254,-0.005873262787551731,-0.07704074697002095,0.9381746810598626,0.038272816486751716,0.36932917177944236,1019
flat,0.05,42,0.0,0.03701066380003093,0.0563707714847864,-0.036699413463726495,-0.16615408424613531,0.22274904627204062,-0.006858181227207936,-0.08783243329409662,0.9665683382497542,0.03343166175024582,0.43721727487083206,1017
flat,0.05,42,0.005,0.031838500353785326,0.0563696530170982,-0.1254137017930396,-0.16668854368782393,0.19100593027804483,-0.006877886422024818,-0.08824860939992452,0.9665683382497542,0.03343166175024582,0.43721727487083206,1017
flat,0.05,42,0.01,0.026692031577182584,0.05636853454941005,-0.21413151067082759,-0.16726704852359453,0.15957734540534702,-0.006897591616841807,-0.08866460387762076,0.9665683382497542,0.03343166175024582,0.43721727487083206,1017
flat,0.05,42,0.015,0.021571130328372767,0.05636741608172187,-0.3028528403056569,-0.1678785134243218,0.1284925026340363,-0.006917296811658684,-0.08908041680284684,0.9665683382497542,0.03343166175024582,0.43721727487083206,1017
flat,0.05,63,0.0,0.039416039211728204,0.05644153376069103,0.004406178643744319,-0.15825211026887454,0.24907117601629014,-0.006789820799680684,-0.06198043660250929,0.967391304347826,0.03260869565217391,0.5342208351108109,1012
flat,0.05,63,0.005,0.03423187878684719,0.056440413888989405,-0.08419688618527386,-0.15913682517880234,0.2151097255357776,-0.006809527350855243,-0.06240840767200728,0.967391304347826,0.03260869565217391,0.5342208351108109,1012
flat,0.05,63,0.01,0.029073472631117703,0.05643929401728782,-0.17280346714894937,-0.1600535516972874,0.1816484065664782,-0.00682923390202992,-0.06283619196580137,0.967391304347826,0.03260869565217391,0.5342208351108109,1012
flat,0.05,63,0.015,0.023940693307781036,0.05643817414558624,-0.2614135644555894,-0.16103629575889533,0.14866644314537145,-0.006848940453204484,-0.06326378956169465,0.967391304347826,0.03260869565217391,0.5342208351108109,1012
flat,0.1,21,0.0,0.04096423491884882,0.05574027428296579,0.03054983243751451,-0.15439388343410576,0.26532291310835554,-0.007504599090260558,-0.089971140768205,0.9431929480901078,0.06072477962781587,0.7010752761769087,1021
flat,0.1,21,0.005,0.035772352759251724,0.055739168325142745,-0.05916793338222693,-0.15456164744601286,0.2314439147767671,-0.007524291459326183,-0.09038634108955945,0.9431929480901078,0.06072477962781587,0.7010752761769087,1021
flat,0.1,21,0.01,0.03060626322943083,0.055738062367319624,-0.1488892595725667,-0.154729381502142,0.1978051158241535,-0.007543983828391912,-0.09080136020863672,0.9431929480901078,0.06072477962781587,0.7010752761769087,1021
flat,0.1,21,0.015,0.02546583870281305,0.05573695640949653,-0.23861414634441414,-0.15489708560724602,0.16440489246765896,-0.007563676197457533,-0.09121619820091986,0.9431929480901078,0.06072477962781587,0.7010752761769087,1021
flat,0.1,30,0.0,0.040598835858495885,0.057418841155815366,0.025135907805921457,-0.1657140963479251,0.24499325496882643,-0.007648951888879519,-0.08816416196535526,0.9450441609421001,0.05789990186457311,0.8395561847729837,1019
flat,0.1,30,0.005,0.035408776152349164,0.057417701893094,-0.06195907311292349,-0.16640962145171712,0.21278082266789386,-0.007668641393802325,-0.08858018672010204,0.9450441609421001,0.05789990186457311,0.8395561847729837,1019
flat,0.1,30,0.01,0.030244500022256426,0.05741656263037271,-0.1490575103194211,-0.16806198000620776,0.17996039330929742,-0.0076883308987252316,-0.08899602991277145,0.9450441609421001,0.05789990186457311,0.8395561847729837,1019
flat,0.1,30,0.015,0.025105879886440752,0.05741542336765134,-0.23615940401839103,-0.16971109591350808,0.14793304911091826,-0.0077080204036480155,-0.08941169161899587,0.9450441609421001,0.05789990186457311,0.8395561847729837,1019
flat,0.1,42,0.0,0.040655684379450996,0.06523112666292191,0.030323182209312755,-0.19343158134353422,0.21018121289742525,-0.008814526090541175,-0.09968948330418281,0.9390363815142576,0.06686332350049164,0.9944753495616472,1017
flat,0.1,42,0.005,0.03546534113731825,0.06522983239453575,-0.04634102904506321,-0.1943752354170013,0.1824581257032717,-0.008834192468991725,-0.1001002496354465,0.9390363815142576,0.06686332350049164,0.9944753495616472,1017
flat,0.1,42,0.01,0.03030078287980964,0.06522853812614958,-0.12300828265120994,-0.19531780414244881,0.15513579528935686,-0.008853858847442369,-0.10051083669952166,0.9390363815142576,0.06686332350049164,0.9944753495616472,1017
flat,0.1,42,0.015,0.025161882018180703,0.06522724385776336,-0.1996785787893624,-0.19625928874668752,0.1282073433510565,-0.008873525225892902,-0.10092124457108309,0.9390363815142576,0.06686332350049164,0.9944753495616472,1017
flat,0.1,63,0.0,0.042524647260634874,0.06432093140118289,0.05767323669599559,-0.18927619157633213,0.22466981666569166,-0.00852328924804158,-0.07522237955764666,0.9486166007905138,0.05533596837944664,1.2161970021209128,1012
flat,0.1,63,0.005,0.03732498243499771,0.06431965519222654,-0.020075837608541182,-0.19022470729623675,0.196215218125538,-0.008542961405000916,-0.07564430899570085,0.9486166007905138,0.05533596837944664,1.2161970021209128,1012
flat,0.1,63,0.01,0.03215114890246262,0.06431837898327013,-0.09782799731667298,-0.19117213207647976,0.1681790570269956,-0.008562633561960336,-0.07606605429474877,0.9486166007905138,0.05533596837944664,1.2161970021209128,1012
flat,0.1,63,0.015,0.02700301884514089,0.06431710277431381,-0.17558324261118785,-0.19211846715018976,0.14055399902827206,-0.008582305718919657,-0.07648761553149508,0.9486166007905138,0.05533596837944664,1.2161970021209128,1012
flat,0.15,21,0.0,0.045816818551709604,0.06250383002121157,0.10803907968881482,-0.17042690337124267,0.268835598402597,-0.008872432780169796,-0.09974122199909707,0.9177277179236043,0.0930460333006856,1.1528668377590774,1021
flat,0.15,21,0.005,0.04060073379076745,0.06250258986585401,0.028029696693398033,-0.1705914865124173,0.23799976552647098,-0.008892098009678088,-0.10015196472460142,0.9177277179236043,0.0930460333006856,1.1528668377590774,1021
flat,0.15,21,0.01,0.03541056189513925,0.06250134971049642,-0.051982861403968586,-0.1707560402657864,0.20737516424029132,-0.008911763239186476,-0.10056252819321743,0.9177277179236043,0.0930460333006856,1.1528668377590774,1021
flat,0.15,21,0.015,0.030246174643301593,0.06250010955513886,-0.13199859479141612,-0.17184002808909993,0.17601355737452976,-0.008931428468694772,-0.10097291247961893,0.9177277179236043,0.0930460333006856,1.1528668377590774,1021
flat,0.15,30,0.0,0.04494185206514012,0.06352174699926534,0.0940818115045755,-0.18861012495768947,0.23827910657087914,-0.008941867309640387,-0.09598018827474175,0.9254170755642787,0.08341511285574092,1.3811597145782126,1019
flat,0.15,30,0.005,0.039730131260940604,0.06352048664714234,0.015354554917861873,-0.1902184453754111,0.20886581836230475,-0.008961531161479441,-0.09639264697045358,0.9254170755642787,0.08341511285574092,1.3811597145782126,1019
flat,0.15,30,0.01,0.03454430164245581,0.06351922629501937,-0.06337582589075473,-0.19182360963052658,0.18008368056983154,-0.008981195013318597,-0.09680492566039245,0.9254170755642787,0.08341511285574092,1.3811597145782126,1019
flat,0.15,30,0.015,0.029384235095439193,0.06351796594289638,-0.14210933110636073,-0.1934256238542198,0.151914904085228,-0.009000858865157647,-0.09721702441954261,0.9254170755642787,0.08341511285574092,1.3811597145782126,1019
flat,0.15,42,0.0,0.04432166191999087,0.07154598179862319,0.08283257219470017,-0.21777671293331902,0.20351883047092234,-0.010170867866140859,-0.10554966921669051,0.9154375614552606,0.09144542772861357,1.6367787925229789,1017
flat,0.15,42,0.005,0.039113034357655785,0.07154456223549227,0.012934965800487126,-0.21960598462712444,0.17810550301744724,-0.010190507333048228,-0.10595776184035821,0.9154375614552606,0.09144542772861357,1.6367787925229789,1017
flat,0.15,42,0.01,0.03393028261419162,0.07154314267236134,-0.05696541441871487,-0.22143101463850667,0.15323184364929146,-0.01021014679995572,-0.1063656763636992,0.9154375614552606,0.09144542772861357,1.6367787925229789,1017
flat,0.15,42,0.015,0.028773278651388345,0.07154172310923042,-0.1268685686272777,-0.22325181271911332,0.12888262048554902,-0.010229786266863095,-0.10677341286090425,0.9154375614552606,0.09144542772861357,1.6367787925229789,1017
flat,0.15,63,0.0,0.04563536723273587,0.07025762360682462,0.10089750467551004,-0.21382495926881762,0.21342394914413967,-0.009814238080311075,-0.08424455328836011,0.9239130434782609,0.08596837944664032,2.0030856767910574,1012
flat,0.15,63,0.005,0.040420187472979485,0.07025622960635622,0.02971814195136122,-0.2147447538733206,0.18822433025220087,-0.009833884623206255,-0.08466236636307667,0.9239130434782609,0.08596837944664032,2.0030856767910574,1012
flat,0.15,63,0.01,0.035230916082601205,0.07025483560588784,-0.04146404546317479,-0.21566349057188394,0.16336059473570563,-0.009853531166101558,-0.08507999709525638,0.9239130434782609,0.08596837944664032,2.0030856767910574,1012
flat,0.15,63,0.015,0.030067424862327163,0.07025344160541948,-0.11264905773542976,-0.21658117056029436,0.13882751111069763,-0.009873177708996752,-0.08549744556085281,0.9239130434782609,0.08596837944664032,2.0030856767910574,1012
flat,0.2,21,0.0,0.05020199383886115,0.06869282151548095,0.1651317630011015,-0.18571813593800757,0.27031282424468495,-0.010031199037654995,-0.10500485804287851,0.8903036238981391,0.12732615083251714,1.6595130145018955,1021
flat,0.2,21,0.005,0.044964037708495,0.06869145856267309,0.09233095551469106,-0.1871547997055062,0.240250518710967,-0.010050841275769275,-0.10541319923643733,0.8903036238981391,0.12732615083251714,1.6595130145018955,1021
flat,0.2,21,0.01,0.03975210309770505,0.06869009560986522,0.01952725899229006,-0.18858895715144008,0.2107870137156729,-0.01007048351388367,-0.10582136222118765,0.8903036238981391,0.12732615083251714,1.6595130145018955,1021
