pricing,delta,dte,regime,sharpe,ann_return,max_drawdown,worst_month,n_days
flat,0.3,63,full,0.07559823940292629,0.04375312632882933,-0.26750276886229396,-0.09940067140997333,5123
flat,0.3,63,gfc_2008,-0.21411831876603196,-0.04001701632109289,-0.26750276886229396,-0.09940067140997333,377
flat,0.3,63,covid_2020,-0.7588968771430522,-0.1461038109981122,-0.11434285490237261,-0.03693148334935481,52
flat,0.3,63,bear_2022,-0.30295738217336304,0.022527640133884974,-0.033426298736828786,-0.01699662299162641,251
flat,0.3,63,calm,0.20333305415448633,0.050617951031283415,-0.09207471687823099,-0.04739046563580529,4443
skew,0.3,63,full,0.14659643031192296,0.0488898341215207,-0.2197709025958977,-0.08961599428961953,5123
skew,0.3,63,gfc_2008,-0.05565455042880654,0.00981600447846298,-0.2197709025958977,-0.08961599428961953,377
skew,0.3,63,covid_2020,-0.7547892743627865,-0.11158655386749317,-0.09757737101797326,-0.03270572951518025,52
skew,0.3,63,bear_2022,-0.21005910858669785,0.030790621548159702,-0.0247035361046547,-0.012822750655549164,251
skew,0.3,63,calm,0.3753763918450253,0.05658220662865299,-0.0722472459840543,-0.021341956404475337,4443
