ticker,asset_class,market_date,expiry,strike,horizon,gap,d_iv,d_s,pnl_vega,pnl_delta,pnl_theta,gross,vega,harvest_vp,breakeven_spread_vp
MU,single_name,2026-03-30,2027-06-17,430.0,20,0.10724,0.08096,182.49,11.4984,91.1781,-3.179,99.4975,1.420306291123737,8.0957,8.0957
MU,single_name,2026-03-30,2027-06-17,430.0,40,0.10724,0.23156,606.61,32.8885,303.0826,-6.3579,329.6131,1.420306291123737,23.1559,23.1559
MU,single_name,2026-04-01,2027-06-17,500.0,20,0.1099,0.04764,149.31,7.6942,74.1101,-3.7251,78.0792,1.615139461449939,4.7638,4.7638
MU,single_name,2026-04-01,2027-06-17,500.0,40,0.1099,0.23307,603.15,37.6436,299.3736,-7.4501,329.5672,1.615139461449939,23.3067,23.3067
MU,single_name,2026-04-02,2027-06-17,490.0,20,0.1101,0.05946,175.97,9.5527,88.741,-3.7138,94.5798,1.606708062683829,5.9455,5.9455
MU,single_name,2026-04-02,2027-06-17,490.0,40,0.1101,0.2577,669.26,41.405,337.5051,-7.6838,371.2264,1.606708062683829,25.7701,25.7701
MU,single_name,2026-04-08,2027-06-17,540.0,20,0.10326,0.12379,259.86,21.931,130.6384,-3.9643,148.605,1.77167645239124,12.3787,12.3787
MU,single_name,2026-04-08,2027-06-17,540.0,40,0.10326,0.27029,589.27,47.8866,296.2413,-8.0702,336.0577,1.77167645239124,27.029,27.029
MU,single_name,2026-05-26,2027-06-17,1370.0,20,0.14261,0.03197,152.63,11.7782,76.4065,-12.3521,75.8326,3.68411999640755,3.197,3.197
MU,single_name,2026-05-27,2027-06-17,1430.0,20,0.10782,0.02377,285.15,9.055,142.2223,-12.8801,138.3973,3.80929169921029,2.3771,2.3771
MU,single_name,2026-05-28,2027-06-17,1410.0,20,0.12248,0.02825,208.81,10.6841,104.2078,-12.7251,102.1668,3.78188787999905,2.8251,2.8251
MU,single_name,2026-05-29,2027-06-17,1500.0,20,0.10091,0.00957,174.28,3.8072,87.3551,-14.6188,76.5436,3.97800207102088,0.9571,0.9571
SNDK,single_name,2025-12-26,2027-01-15,390.0,20,0.27574,0.06369,231.38,6.5283,115.9953,-3.9196,118.604,1.025029872356241,6.3689,6.3689
