date,score,level,vix_c,vvix_c,corr_c,trend_c,fired,vix,vvix,cor1m,spx_distance_pct
2007-01-03,8.2,LOW,1.0,7.2,0.0,0.0,False,12.04,87.63,24.65,4.24
2007-01-04,8.3,LOW,0.4,7.9,0.0,0.0,False,11.51,88.19,21.5,4.25
2007-01-05,13.0,LOW,2.3,9.1,1.5,0.0,False,12.14,90.17,24.53,3.52
2007-01-08,10.5,LOW,1.5,9.0,0.0,0.0,False,12.0,92.04,21.83,3.65
2007-01-09,10.3,LOW,0.5,9.8,0.0,0.0,False,11.91,92.76,22.68,3.49
2007-01-10,11.0,LOW,0.0,11.0,0.0,0.0,False,11.47,93.78,20.59,3.59
2007-01-11,7.0,LOW,0.0,7.0,0.0,0.0,False,10.87,85.97,18.9,4.13
2007-01-12,7.0,LOW,0.0,7.0,0.0,0.0,False,10.15,85.18,16.16,4.53
2007-01-16,6.9,LOW,0.0,6.9,0.0,0.0,False,10.74,85.3,16.26,4.51
2007-01-17,7.0,LOW,0.0,7.0,0.0,0.0,False,10.59,84.93,16.46,4.32
2007-01-18,6.3,LOW,0.0,6.3,0.0,0.0,False,10.85,83.66,16.79,3.91
2007-01-19,6.8,LOW,0.0,6.8,0.0,0.0,False,10.4,82.49,17.37,4.11
2007-01-22,8.9,LOW,1.0,6.6,1.3,0.0,False,10.77,84.43,19.38,3.46
2007-01-23,7.7,LOW,0.0,6.7,1.0,0.0,False,10.34,81.48,18.78,3.73
2007-01-24,7.0,LOW,0.0,6.6,0.4,0.0,False,9.89,77.51,17.42,4.51
2007-01-25,7.9,LOW,0.6,5.1,2.3,0.0,False,11.22,80.45,22.58,3.24
2007-01-26,8.8,LOW,1.2,5.4,2.3,0.0,False,11.13,81.36,23.06,3.03
2007-01-29,8.1,LOW,1.1,5.0,2.0,0.0,False,11.45,81.68,24.48,2.84
2007-01-30,7.9,LOW,1.0,5.1,1.8,0.0,False,10.96,78.9,23.24,3.34
2007-01-31,8.1,LOW,0.9,5.6,1.6,0.0,False,10.42,77.28,21.3,3.92
2007-02-01,5.0,LOW,0.0,5.0,0.0,0.0,False,10.31,73.5,22.47,4.36
2007-02-02,5.1,LOW,0.0,5.1,0.0,0.0,False,10.08,72.44,21.18,4.43
2007-02-05,3.9,LOW,0.0,3.9,0.0,0.0,False,10.55,70.29,21.95,4.21
2007-02-06,3.4,LOW,0.0,3.4,0.0,0.0,False,10.65,68.55,22.33,4.19
2007-02-07,4.7,LOW,0.0,4.2,0.4,0.0,False,10.32,70.32,22.41,4.23
2007-02-08,5.1,LOW,0.2,4.7,0.2,0.0,False,10.44,73.18,23.0,4.01
2007-02-09,8.9,LOW,1.7,4.6,2.6,0.0,False,11.1,74.39,26.35,3.19
2007-02-12,12.5,LOW,1.7,7.2,3.6,0.0,False,11.61,79.12,28.05,2.77
2007-02-13,8.0,LOW,0.0,7.9,0.0,0.0,False,10.34,75.72,22.4,3.45
2007-02-14,6.8,LOW,0.0,6.5,0.3,0.0,False,10.23,74.0,23.18,4.15
2007-02-15,4.8,LOW,0.0,4.4,0.4,0.0,False,10.22,70.34,23.93,4.15
2007-02-16,4.8,LOW,0.0,4.8,0.0,0.0,False,10.02,70.74,23.36,3.96
2007-02-20,3.4,LOW,0.0,3.3,0.1,0.0,False,10.24,65.87,25.28,4.15
2007-02-21,6.4,LOW,0.0,3.7,2.6,0.0,False,10.2,67.37,27.05,3.92
2007-02-22,6.0,LOW,0.0,3.5,2.5,0.0,False,10.18,66.05,27.26,3.74
2007-02-23,7.8,LOW,0.6,4.1,3.2,0.0,False,10.58,70.71,28.56,3.29
2007-02-26,9.6,LOW,1.9,3.1,4.6,0.0,False,11.15,70.33,30.13,3.08
2007-02-27,48.1,ELEVATED,12.0,15.2,19.6,1.4,False,18.31,110.42,55.64,-0.55
2007-02-28,34.5,ELEVATED,8.8,10.0,15.6,0.1,False,15.42,91.64,46.08,-0.05
2007-03-01,38.6,ELEVATED,9.7,12.9,15.2,0.9,False,15.82,99.47,45.66,-0.35
2007-03-02,48.2,ELEVATED,12.2,12.5,19.7,3.8,False,18.61,104.17,56.1,-1.51
2007-03-05,49.6,ELEVATED,12.8,10.7,20.0,6.1,False,19.63,101.2,56.74,-2.45
2007-03-06,14.1,LOW,0.6,4.3,6.8,2.4,False,15.96,93.65,42.93,-0.97
2007-03-07,15.6,LOW,0.1,6.0,6.3,3.1,False,15.24,94.41,41.68,-1.24
2007-03-08,12.0,LOW,0.0,6.1,4.5,1.4,False,14.29,93.97,36.94,-0.57
2007-03-09,11.3,LOW,0.0,5.4,4.6,1.3,False,14.09,91.82,37.11,-0.54
2007-03-12,8.2,LOW,0.0,4.7,2.8,0.7,False,13.99,90.02,32.38,-0.3
2007-03-13,21.5,LOW,4.1,3.3,8.2,5.8,False,18.13,94.53,44.81,-2.34
2007-03-14,18.8,LOW,3.6,6.0,4.9,4.2,False,17.27,98.08,38.03,-1.7
2007-03-15,18.9,LOW,3.4,7.8,4.4,3.4,False,16.43,99.55,36.55,-1.35
2007-03-16,25.4,ELEVATED,4.3,10.2,6.6,4.4,False,16.79,102.74,39.73,-1.75
2007-03-19,16.4,LOW,0.7,6.8,7.2,1.7,False,14.59,93.9,38.03,-0.7
2007-03-20,8.4,LOW,0.0,5.3,2.9,0.2,False,13.27,89.55,32.58,-0.09
2007-03-21,10.4,LOW,0.0,8.8,1.7,0.0,False,12.19,94.13,29.37,1.57
2007-03-22,10.9,LOW,0.0,8.4,2.6,0.0,False,12.93,95.52,31.78,1.5
2007-03-23,11.6,LOW,0.0,8.7,2.9,0.0,False,12.95,96.37,32.58,1.58
2007-03-26,11.6,LOW,0.0,8.8,2.8,0.0,False,13.16,95.95,32.44,1.63
2007-03-27,17.3,LOW,0.3,13.2,3.9,0.0,False,13.48,101.0,33.85,0.97
2007-03-28,26.2,ELEVATED,3.8,12.7,9.7,0.0,False,14.98,104.79,39.76,0.13
2007-03-29,23.3,LOW,2.9,10.4,10.0,0.0,False,15.14,102.31,41.32,0.47
2007-03-30,18.4,LOW,2.2,9.0,7.2,0.0,False,14.64,99.78,38.13,0.31
2007-04-02,15.9,LOW,1.7,8.7,5.5,0.0,False,14.53,98.92,35.86,0.53
2007-04-03,8.9,LOW,0.0,7.5,1.5,0.0,False,13.46,94.98,28.93,1.42
2007-04-04,9.4,LOW,0.0,8.2,1.2,0.0,False,13.24,96.12,28.14,1.5
2007-04-05,8.0,LOW,0.0,7.1,0.8,0.0,False,13.23,93.6,27.18,1.76
2007-04-09,7.3,LOW,0.0,6.7,0.6,0.0,False,13.14,92.3,26.61,1.78
2007-04-10,5.2,LOW,0.0,5.0,0.2,0.0,False,12.68,87.37,25.53,1.99
2007-04-11,7.8,LOW,0.0,6.8,1.0,0.0,False,13.49,93.47,27.72,1.28
2007-04-12,7.1,LOW,0.0,6.8,0.3,0.0,False,12.71,91.38,25.89,1.87
2007-04-13,6.3,LOW,0.0,6.3,0.0,0.0,False,12.2,88.71,22.86,2.19
2007-04-16,4.7,LOW,0.0,4.7,0.0,0.0,False,11.98,83.98,21.33,3.24
2007-04-17,4.4,LOW,0.0,4.4,0.0,0.0,False,12.14,83.68,21.16,3.4
2007-04-18,3.5,LOW,0.0,3.5,0.0,0.0,False,12.42,80.59,23.95,3.42
2007-04-19,3.1,LOW,0.0,2.8,0.3,0.0,False,12.54,77.91,25.8,3.24
2007-04-20,5.2,LOW,0.0,3.6,1.5,0.0,False,12.07,79.18,25.88,4.14
2007-04-23,9.7,LOW,1.5,2.5,5.7,0.0,False,13.04,79.33,30.5,3.84
2007-04-24,10.3,LOW,1.3,2.2,6.7,0.0,False,13.12,77.83,31.7,3.74
2007-04-25,11.0,LOW,1.1,2.7,7.3,0.0,False,13.21,80.79,33.79,4.71
2007-04-26,8.4,LOW,0.3,4.4,3.7,0.0,False,12.79,81.67,30.15,4.56
2007-04-27,7.9,LOW,0.5,3.9,3.5,0.0,False,12.45,80.66,29.95,4.48
2007-04-30,14.2,LOW,1.5,4.2,8.5,0.0,False,14.22,85.33,38.71,3.6
2007-05-01,8.9,LOW,0.5,3.4,5.0,0.0,False,13.51,81.28,34.81,3.81
