config,index,axis,point,sharpe,ann_return,maxdd_frac,worst_year_sharpe,stress_worst_sharpe,boot_p5,boot_p50,boot_p95,boot_frac_pos
mid,IWM,fvm,1.0,-2.157697050273852,-0.09892580460533074,-1.4934465631596805,-4.216150089031064,-4.216150089031064,-1.7305414443327636,-1.4066287413736558,-1.0708076929648194,0.0
mid,IWM,fvm,1.1,-1.2397231646252143,-0.0584926484126647,-0.8894549334195204,-3.571774129993085,-3.571774129993085,-1.1131517366852484,-0.7662275259129698,-0.40644563957513136,0.001
mid,IWM,fvm,1.2,-0.31090033323114763,-0.015125749157579789,-0.39026734471740526,-2.908363500954935,-2.908363500954935,-0.553759073167286,-0.18532849522752715,0.1965930833610183,0.1975
mid,IWM,fvm,1.3,0.6212211456130723,0.031230251599916374,-0.18677989400062414,-2.214806918618789,-2.214806918618789,-0.0366844324185083,0.34688488544039103,0.7412599506509111,0.9365
mid,IWM,slippage,0.0,1.3805050210887513,0.062211774797055766,-0.06901971457750575,-1.6154669976876923,-0.058212008060207966,,,,
mid,IWM,slippage,0.02,0.47732822561595906,0.02172461206007407,-0.12534529037194064,-1.8406862370947605,-1.4385263470363583,,,,
mid,IWM,slippage,0.05,-0.825749652056419,-0.03900613204539847,-0.6238503505778961,-3.1248047943257515,-3.1248047943257515,,,,
mid,IWM,slippage,0.1,-2.6681972433993897,-0.14022403888785273,-2.1150589511003437,-4.884412809196018,-4.7730538088074335,,,,
mid,IWM,slippage,0.2,-4.939175047799938,-0.34265985257276116,-5.162038876661914,-7.254800276067437,-6.024168335630314,,,,
long,IWM,fvm,1.0,-2.7018741352847324,-0.11848694522829353,-1.8285102210214397,-5.610760466316906,-5.610760466316906,-1.6673646542388758,-1.1781136190678896,-0.9682206246653161,0.0
long,IWM,fvm,1.1,-2.0384025630965485,-0.09154396957963491,-1.4264810558159184,-5.243305166922923,-5.243305166922923,-1.1771039375683934,-0.8853152627648506,-0.6697928253616334,0.0
long,IWM,fvm,1.2,-1.3621254857643055,-0.06272534358066144,-1.0224461565873193,-4.862491348540305,-4.862491348540305,-0.8003065124069183,-0.5726768191810774,-0.2760476590411622,0.004
long,IWM,fvm,1.3,-0.6807079436835259,-0.03218096992280341,-0.6406854966186604,-4.467909924287243,-4.467909924287243,-0.551855283144863,-0.262199775730629,0.16835501326818064,0.1325
long,IWM,slippage,0.0,0.9828441289526502,0.037476465157519075,-0.08152679994748332,-3.0737955650755695,0.006955809391117449,,,,
long,IWM,slippage,0.02,-0.18829873467118774,-0.007430255164509164,-0.24863311941554309,-3.2377732516781954,-2.8920288746066594,,,,
long,IWM,slippage,0.05,-1.6620321197832664,-0.07479033564755153,-1.190602093781942,-5.150310459522616,-5.150310459522616,,,,
long,IWM,slippage,0.1,-3.1005522349508796,-0.18705713645262212,-2.87674806803754,-6.025862264438832,-6.025862264438832,,,,
long,IWM,slippage,0.2,-4.115750920982221,-0.41159073806276336,-6.296052853109283,-8.677349309749365,-8.677349309749365,,,,
winner,IWM,fvm,1.0,-1.0582369401419411,-0.08480672342391685,-1.0062394086785194,-3.2333323033000765,-2.191506076478876,-1.295439642718036,-0.8959774802435234,-0.47129295195618165,0.0005
winner,IWM,fvm,1.1,1.3211009922173824,0.10992971184239617,-0.1361493621652805,-0.9999590512038117,0.08455195043888399,0.6878491357754767,1.1180567810988142,1.5855731055662001,1.0
winner,IWM,fvm,1.2,3.6206346341059183,0.31332205727213,-0.08227015903305035,1.178707273930047,2.298437342030355,2.5172671762105265,2.987410555605255,3.518346451310716,1.0
winner,IWM,fvm,1.3,5.825047875954824,0.5242781277517088,-0.05287207434542074,3.320780607678355,4.4621227287667145,4.198139132828018,4.724827255510087,5.343398842298726,1.0
winner,IWM,slippage,0.0,4.138855364867216,0.3435589868846061,-0.06695778868628155,1.7695091909346685,2.862642130901629,,,,
winner,IWM,slippage,0.02,3.1117913213166974,0.2582128921930709,-0.09186573495305805,0.7962395876760681,1.7791883578445233,,,,
winner,IWM,slippage,0.05,1.5646304995299207,0.1301937501557681,-0.12922765435322314,-0.654982481332496,0.152739250910426,,,,
winner,IWM,slippage,0.1,-0.9863466298788325,-0.08317148657306993,-0.9832589356078191,-3.011987021304473,-2.504369069687372,,,,
winner,IWM,slippage,0.2,-5.7219725266104815,-0.509901960030746,-5.334586858815544,-7.30543417075538,-7.30543417075538,,,,
