front_dte,long_dte,short_delta,front_vol_mult,year,year_sharpe,stress
0,7,0.1,0.85,2010,-7.5101433805204145,0
0,7,0.1,0.85,2011,-8.341575995570029,1
0,7,0.1,0.85,2012,-7.451132543078265,0
0,7,0.1,0.85,2013,-8.573534532685432,0
0,7,0.1,0.85,2014,-6.842231957597651,0
0,7,0.1,0.85,2015,-6.734825565914653,1
0,7,0.1,0.85,2016,-7.2142520347887045,0
0,7,0.1,0.85,2017,-7.8943123712689465,0
0,7,0.1,0.85,2018,-7.179954547558128,1
0,7,0.1,0.85,2019,-8.867493156957233,0
0,7,0.1,0.85,2020,-8.049981604612938,1
0,7,0.1,0.85,2021,-6.141660155805639,0
0,7,0.1,0.85,2022,-8.581795517608287,1
0,7,0.1,0.85,2023,-5.803583654464502,0
0,7,0.1,0.85,2024,-7.1267159899433015,0
0,7,0.1,0.85,2025,-7.439663956239092,0
0,7,0.1,0.85,2026,-9.933288791415466,0
0,7,0.1,1.0,2010,-5.837818351133278,0
0,7,0.1,1.0,2011,-5.926962287628789,1
0,7,0.1,1.0,2012,-5.703674537337664,0
0,7,0.1,1.0,2013,-7.0384106570562,0
0,7,0.1,1.0,2014,-4.7802343931224005,0
0,7,0.1,1.0,2015,-4.735909431979303,1
0,7,0.1,1.0,2016,-5.407203732532446,0
0,7,0.1,1.0,2017,-5.759447969841633,0
0,7,0.1,1.0,2018,-5.192429666228845,1
0,7,0.1,1.0,2019,-7.727908004814221,0
0,7,0.1,1.0,2020,-6.342660488274049,1
0,7,0.1,1.0,2021,-4.175402347954498,0
0,7,0.1,1.0,2022,-6.039298781786009,1
0,7,0.1,1.0,2023,-3.9213875900939406,0
0,7,0.1,1.0,2024,-5.353398756180529,0
0,7,0.1,1.0,2025,-5.740328011012521,0
0,7,0.1,1.0,2026,-7.779575816160183,0
0,7,0.1,1.15,2010,-4.351458948486195,0
0,7,0.1,1.15,2011,-3.7930568376134497,1
0,7,0.1,1.15,2012,-4.200201228549199,0
0,7,0.1,1.15,2013,-5.509044620884582,0
0,7,0.1,1.15,2014,-2.9867922793813815,0
0,7,0.1,1.15,2015,-2.873802713771316,1
0,7,0.1,1.15,2016,-3.8764644404430997,0
0,7,0.1,1.15,2017,-4.040237373848535,0
0,7,0.1,1.15,2018,-3.358980648141684,1
0,7,0.1,1.15,2019,-6.535783297037372,0
0,7,0.1,1.15,2020,-4.874358698652358,1
0,7,0.1,1.15,2021,-2.7533545017878702,0
0,7,0.1,1.15,2022,-3.9357694402204553,1
0,7,0.1,1.15,2023,-2.3545946652424967,0
0,7,0.1,1.15,2024,-3.8345290791758493,0
0,7,0.1,1.15,2025,-4.151755013585255,0
0,7,0.1,1.15,2026,-6.020552641726664,0
0,7,0.1,1.3,2010,-3.5830232168087575,0
0,7,0.1,1.3,2011,-2.041548734744607,1
