asset_class,deviation,drive,n,sep_naive,raw_abs,base_abs,hit_neg,sep_IS,n_IS,sep_OOS,n_OOS,sep_nonoverlap,eff_n,t_stat
credit,CHEAP,CHASE,12,-0.007664308290550634,3.8597677889551374e-05,-0.0013623372179029346,0.5,0.014239771587528307,9,-0.07337654792478746,3,-0.022453593482088613,3,-1.0190812055625988
credit,CHEAP,PANIC,11,-0.02146662568317692,0.0011159081461647507,-0.0013623372179029346,0.7272727272727273,,0,-0.02146662568317692,11,-0.07113302063998961,1,
credit,CHEAP,STRUCTURAL,17,-0.050009663709757735,-0.0053582457999264,-0.0013623372179029346,0.7058823529411765,-0.02620133451474517,1,-0.05149768428444601,16,-0.011208918988693476,5,-0.5320980577043756
credit,NORMAL,CHASE,35,0.0020158473687432953,-0.0011423171730906218,-0.0013623372179029346,0.5142857142857142,0.008657627534764605,28,-0.024551273295341947,7,-0.013382640512940032,4,-1.2042065601311818
credit,NORMAL,PANIC,4,0.01224884731797505,-0.0018332139897512534,-0.0013623372179029346,0.5,,0,0.01224884731797505,4,-0.02124422850095583,1,
credit,NORMAL,STRUCTURAL,69,-0.02011642279292609,-0.001503488297379923,-0.0013623372179029346,0.5362318840579711,-0.002392564323949792,33,-0.036363293056154364,36,-0.01929247012345153,7,-0.8049918753054452
credit,RICH,CHASE,2,-0.015212424142141833,-0.0034322738193706126,-0.0013623372179029346,1.0,-0.015212424142141833,2,,0,-0.015212424142141833,2,-3.7582949071498337
credit,RICH,STRUCTURAL,7,-0.056744597529556885,0.0031977529743762684,-0.0013623372179029346,0.7142857142857143,,0,-0.056744597529556885,7,-0.047888210154879644,2,-0.5863657355100325
index_macro,CHEAP,CHASE,17,-0.0037536095070578672,-0.018032668627131865,0.013234694925720174,0.5882352941176471,-0.0037536095070578672,17,,0,-0.01527095887230051,2,-2.08644895743672
index_macro,CHEAP,PANIC,8,0.005072522173855524,0.022390697082605132,0.013234694925720174,0.25,-0.002997027023312219,3,0.00991425169215617,5,-0.0024893119795987104,4,-0.21153909561331669
index_macro,CHEAP,STRUCTURAL,84,0.004371475618692383,0.01520016213163702,0.013234694925720174,0.47619047619047616,-0.00903675450800509,32,0.012622694158198519,52,-0.003599570433207487,14,-0.19085625428613312
index_macro,NORMAL,CHASE,59,-0.014076828467761206,-0.011682736289211638,0.013234694925720174,0.4406779661016949,0.04222659684809341,40,-0.13261035544850777,19,0.008470522746631966,9,0.2721104160074713
index_macro,NORMAL,PANIC,42,-0.016153267255042375,0.005904639141030048,0.013234694925720174,0.6190476190476191,-0.019355902043485265,20,-0.013241781083730648,22,-0.007994661608698987,17,-0.4886641929076865
index_macro,NORMAL,STRUCTURAL,373,-0.011101551313131439,0.017721785931408943,0.013234694925720174,0.5388739946380697,-0.008147568666533319,256,-0.01756496633474783,117,-0.013105994529489875,39,-1.1346347959723329
index_macro,RICH,CHASE,89,-0.005827028801402105,0.03954562531025625,0.013234694925720174,0.42696629213483145,0.030173017986624664,62,-0.08849380290724138,27,-0.021293110440579584,8,-0.6226693278851654
index_macro,RICH,PANIC,282,-0.03180995637076693,0.016257391326150925,0.013234694925720174,0.6914893617021277,0.0053071946092880145,85,-0.04782497075302414,197,-0.01646066552482876,28,-1.492001617700162
index_macro,RICH,STRUCTURAL,281,-0.010772131072759383,0.003282490542151687,0.013234694925720174,0.4697508896797153,0.011633607510687554,193,-0.05991198955691004,88,-0.01712335808539195,39,-1.86329559373988
sector_etf,CHEAP,CHASE,38,0.007893218437809995,0.058423121417439806,0.03840921008974151,0.34210526315789475,0.07397904224187808,14,-0.030656845447896392,24,-0.06094406677134281,5,-0.814754039212475
sector_etf,CHEAP,PANIC,35,0.024413826264458854,0.021451970209583105,0.03840921008974151,0.37142857142857144,0.020368118692916017,22,0.031260408308608274,13,-0.012929338111779971,7,-0.6617165029531397
sector_etf,CHEAP,STRUCTURAL,82,-0.028102257169255202,0.026196272875823115,0.03840921008974151,0.6219512195121951,0.005969120532206817,40,-0.06055118831350475,42,-0.02500334447922872,18,-1.1640503245956797
sector_etf,NORMAL,CHASE,30,-0.09909309434982015,0.005374804319489294,0.03840921008974151,0.6666666666666666,,0,-0.09909309434982015,30,-0.058160301362199546,3,-0.5428285842576369
sector_etf,NORMAL,PANIC,114,-0.0016156081619613154,0.0134889643770159,0.03840921008974151,0.5350877192982456,0.0022933999431425014,104,-0.042269292455041005,10,-0.0012251097101498602,22,-0.08632431512758965
sector_etf,NORMAL,STRUCTURAL,297,-0.000878839884812948,0.043849721439868296,0.03840921008974151,0.5016835016835017,-0.0040234181340257575,213,0.0070949121042623905,84,-0.002533389448905762,32,-0.2185927972907028
sector_etf,RICH,CHASE,6,-0.07682897203160577,-0.027880886709156043,0.03840921008974151,0.6666666666666666,,0,-0.07682897203160577,6,-0.04485607023430912,2,-0.571155674925969
sector_etf,RICH,PANIC,184,-0.007835934356114327,0.05010932416618832,0.03840921008974151,0.6141304347826086,-0.006884458285883191,64,-0.008343388260237604,120,-0.018503647149725834,23,-1.291206340893884
sector_etf,RICH,STRUCTURAL,218,-0.0017401962180121978,0.04435170330530171,0.03840921008974151,0.555045871559633,-0.012263979425215956,127,0.012946841884349093,91,0.010907891434675762,32,0.8688760297110076
single_name,CHEAP,CHASE,1022,0.0020903164835250577,0.04467872237436754,0.060768428608494345,0.50293542074364,0.0030697172025268937,713,-0.00016959520789341635,309,0.02360250585232232,165,1.3936983762697297
single_name,CHEAP,PANIC,548,-0.007385467928711309,0.010534713455572652,0.060768428608494345,0.5091240875912408,-0.0013320458463737684,362,-0.019166859293260712,186,-0.02071515375476482,126,-1.6629694311595897
single_name,CHEAP,STRUCTURAL,1340,-0.005470242593245877,0.03127787419127206,0.060768428608494345,0.5395522388059701,0.0002331184150794472,981,-0.02105519286947748,359,-0.006541199584055214,292,-0.6703360786049501
single_name,NORMAL,CHASE,1859,0.03595728695963721,0.10339612926863063,0.060768428608494345,0.4566971490048413,0.04008092976089917,1289,0.026632066659941275,570,0.02940672546138555,245,2.2004112203163677
single_name,NORMAL,PANIC,1527,0.008253383331249099,0.039143322112589495,0.060768428608494345,0.5304518664047151,-0.002690382183399203,1019,0.030205542897049534,508,0.009461117746640168,262,0.8724304934086591
single_name,NORMAL,STRUCTURAL,4266,-0.005058284584996893,0.06154921618606771,0.060768428608494345,0.5513361462728551,-0.008255581701775741,2800,0.0010484220500513884,1466,-0.002973752739671542,516,-0.3980950907632886
single_name,RICH,CHASE,794,0.025797207662944077,0.11626014281753719,0.060768428608494345,0.5050377833753149,0.02304499422947721,307,0.027532175884862613,487,0.0037877675443478173,156,0.24798835926194424
single_name,RICH,PANIC,2387,-0.009564145511579315,0.05346308324235319,0.060768428608494345,0.5953079178885631,-0.02375418630527458,700,-0.003676161779755554,1687,0.006032908769135448,295,0.721405279373963
single_name,RICH,STRUCTURAL,2751,-0.005735716976222565,0.0634264944708283,0.060768428608494345,0.5834242093784079,-0.01813562949083861,1132,0.002934265090822127,1619,0.0009171071162209506,426,0.12186869195888755
