bucket,ticker,n,sep_naive,sep_nonoverlap,eff_n,t_stat
index_macro/NORMAL/PANIC,GLD,4,-0.09411390666571395,-0.12612306196541923,1,
index_macro/NORMAL/PANIC,TLT,24,-0.05937644631772925,-0.0489203250890983,6,-1.8403472939340966
index_macro/NORMAL/PANIC,SPY,4,-0.043401934195263836,-0.055097631504280854,3,-2.0063478991523116
index_macro/NORMAL/PANIC,DIA,3,-0.03795931447601844,-0.05596888071924938,2,-0.9973272609388559
index_macro/NORMAL/PANIC,QQQ,4,-0.02133329898338277,-0.009860495907493333,2,-1.495026338052489
index_macro/NORMAL/PANIC,IWM,3,-0.018011807275524552,-0.018011807275524552,3,-0.9425008384626932
single_name/NORMAL/CHASE,OKLO,18,-0.26527125984295924,-0.29772030647587894,3,-10.055640493415106
single_name/NORMAL/CHASE,CRCL,20,-0.2606542215284837,-0.22074668660440958,3,-2.407271208234793
single_name/NORMAL/CHASE,SNOW,2,-0.2487382547032244,-0.28361582585482137,1,
single_name/NORMAL/CHASE,ORCL,5,-0.1584112325947974,-0.1270751939228005,1,
single_name/NORMAL/CHASE,HIMS,35,-0.14085358050384889,-0.10179477559727793,4,-0.7966255819417822
single_name/NORMAL/CHASE,AMZN,12,-0.1216014897866991,-0.10532992180410901,3,-3.0962498305978685
single_name/NORMAL/CHASE,CRWV,44,-0.09686175157134123,-0.0654866058733906,6,-0.9489061492749659
single_name/NORMAL/CHASE,QCOM,30,-0.09322715582732698,-0.052695400887477706,5,-1.430281625503096
single_name/NORMAL/CHASE,CRM,8,-0.09294639985546918,-0.11841684086784945,2,-1.992708418701333
single_name/NORMAL/CHASE,WMT,38,-0.08384847889523803,-0.02953980929575077,4,-0.5351061337341675
single_name/NORMAL/CHASE,CVX,32,-0.07578743677674421,-0.07560519735582735,5,-1.6754660126564593
single_name/NORMAL/CHASE,CDNS,8,-0.07418738188260168,-0.06145386389152456,2,-10.112652874778735
single_name/NORMAL/CHASE,NKE,13,-0.06950521691868437,-0.12111604366197391,3,-2.4324631557239593
single_name/NORMAL/CHASE,XOM,39,-0.06426054528402779,-0.013646230523000638,4,-0.1477680508079139
single_name/NORMAL/CHASE,MSFT,3,-0.06051109359528894,-0.08959434631391103,2,-1.4389932667902399
single_name/NORMAL/CHASE,MRVL,11,-0.06032243296016273,-0.10286188420183252,3,-1.5433042025381036
single_name/NORMAL/CHASE,ANET,14,-0.056175723232350865,-0.05342962548350738,4,-1.2257349027736826
single_name/NORMAL/CHASE,SNPS,14,-0.05073138967019176,-0.08934013560031184,3,-1.4052195322084053
single_name/NORMAL/CHASE,MARA,12,-0.0443527854197186,-0.0784965968080808,2,-0.9077285912013302
single_name/NORMAL/CHASE,SOFI,14,-0.04386536455917809,0.03318931216895577,2,0.4863023811239297
single_name/NORMAL/CHASE,KO,2,-0.04232318171949368,-0.014555163677480786,1,
single_name/NORMAL/CHASE,COIN,15,-0.04088640113602641,-0.02900718688862855,2,-1.1180515316234638
single_name/NORMAL/CHASE,BKSY,98,-0.03861754875544981,-0.01631183344922501,8,-0.17853489036953119
single_name/NORMAL/CHASE,NOV,49,-0.03367005910603232,-0.052297517530773316,5,-0.9762711637885894
single_name/NORMAL/CHASE,WFC,1,-0.032760525510858604,-0.032760525510858604,1,
single_name/NORMAL/CHASE,UNH,31,-0.03247897674250895,-0.048281580948001224,3,-1.3310436560405583
single_name/NORMAL/CHASE,PFE,32,-0.028597395586503704,-0.03308784477520271,4,-0.7555678853250414
