ticker,market_date,expiry,dte,n_strikes,a,b,rho,m,sigma,rmse_volpts,min_butterfly_g,liquid,calendar_viol_on_date
SPY,2025-12-26,2026-01-02,7,43,1.0000000004648673e-08,0.007875712426873946,-0.9066991475303288,-0.01839648681602172,0.02330500385265429,0.2272,0.090312,True,0
SPY,2025-12-26,2026-01-23,28,85,1.0000000089561945e-08,0.0235294258209751,-0.8751363718321664,-0.04127397500703401,0.06301437059528017,0.4711,0.109953,True,0
SPY,2025-12-26,2026-03-31,95,231,1.0000000000000055e-08,0.05667088647641982,-0.9081613647485257,-0.0787971284137448,0.13899028970202004,0.6017,0.119054,True,0
SPY,2026-01-16,2026-01-23,7,52,1.0000000000000002e-08,0.008335879927899576,-0.9989999999999999,-0.026029933707103454,0.03999571242661218,0.2613,0.168433,True,0
SPY,2026-01-16,2026-02-13,28,80,1.0000000033304469e-08,0.0270556642134912,-0.9989999999999999,-0.049429239183159335,0.08265005018524964,0.5056,0.118229,True,0
SPY,2026-01-16,2026-04-17,91,56,1.0000000000093114e-08,0.054743934385689745,-0.9906339145357526,-0.07274636117728901,0.15231985241824228,0.4941,0.138531,True,0
SPY,2026-02-06,2026-02-13,7,66,1.0088535018177469e-08,0.006072434209236054,-0.9989855133677157,0.0224611056262624,0.0349764494859341,0.3249,0.379837,True,0
SPY,2026-02-06,2026-03-06,28,125,1.0000000000666352e-08,0.024534320566955127,-0.9989999999999999,-0.031650095806400325,0.09363951326440687,0.4592,0.18628,True,0
SPY,2026-02-06,2026-04-30,83,166,0.000151538358258564,0.05055916793870736,-0.9989999999904576,-0.056369631706151196,0.1500087460980365,0.5373,0.16669,True,0
SPY,2026-03-02,2026-03-09,7,56,1.0761519085451822e-08,0.007184882923164336,-0.9989171928351718,0.03681160407754584,0.012759994388861053,0.2516,0.409153,True,0
SPY,2026-03-02,2026-03-31,29,119,1.0000000000000002e-08,0.023268563803390336,-0.9989999999999999,0.027875938059157983,0.05738675925204089,0.2342,0.291793,True,0
SPY,2026-03-02,2026-05-29,88,177,1.0000000000000002e-08,0.05781078515154449,-0.9989999999999999,-0.04853982064687344,0.1586284785289847,0.5806,0.174159,True,0
SPY,2026-03-20,2026-03-27,7,80,1.0000000000000002e-08,0.01761202416285133,-0.9989999999999999,-0.06310988493731796,0.10877708192812321,0.6644,0.390356,True,0
SPY,2026-03-20,2026-04-17,28,99,1.0000000004791978e-08,0.03720767399213992,-0.9989999999999999,-0.04880472200502087,0.14283305123634715,0.9504,0.198299,True,0
SPY,2026-03-20,2026-06-18,90,66,1.000000000003992e-08,0.07497030539191189,-0.9989999999999598,-0.0983665019780364,0.22412821941047767,0.8162,0.152195,True,0
SPY,2026-04-10,2026-04-17,7,67,1.0000000063740551e-08,0.008548110637765567,-0.9989999999999999,-0.011504897511495497,0.05824716099181804,0.2057,0.301362,True,0
SPY,2026-04-10,2026-05-08,28,113,1.0000000001324705e-08,0.028282419373845697,-0.9989999999999999,-0.0481436958982539,0.10600902523472579,0.4297,0.165928,True,0
