spread_vp,n_trades,n_months,sharpe,maxdd,annror,mean_ret,hit_rate,mean_net_dollars,median_net_dollars,mean_gross_dollars,mean_ivonly_dollars,mean_capital,mean_holdout_ret,n_holdout,survives_walkforward,survives_quarter_gate,variant,threshold,horizon,breakeven_spread_vp_dollars,breakeven_spread_vp_sharpe0,breakeven_spread_vp_sharpe1
0.0,3374,9,-1.5616558305072956,-0.19983511203857657,-0.2664468160514354,-0.0033058500571781467,0.44427978660343803,-0.8969154576002446,-2.319873441286211,1.703084542399759,-7.19901114537623,453.90634262003556,-0.03055172554911449,1350,True,False,naive,1.0,1,,,
0.02,3374,9,-2.7091420324836775,-0.3230647800459483,-0.43075304006126436,-0.018711579238570444,0.4001185536455246,-4.019383774605114,-6.035709517118044,1.703084542399759,-7.19901114537623,453.90634262003556,-0.04425612141376343,1350,True,True,naive,1.0,1,,,
0.05,3374,9,-4.7659881466918925,-0.5079092820570058,-0.6772123760760077,-0.04182017301065886,0.35951393005334914,-8.70308625011242,-11.138717898489825,1.703084542399759,-7.19901114537623,453.90634262003556,-0.06481271521073685,1350,True,True,naive,1.0,1,,,
0.1,3374,9,-9.381350863997097,-0.8159834520754349,-1.0879779361005797,-0.08033449596413957,0.3224659158269117,-16.509257042624597,-19.550876754948412,1.703084542399759,-7.19901114537623,453.90634262003556,-0.0990737048723592,1350,True,True,naive,1.0,1,,,
0.15,3374,9,-15.897098639227947,-1.124057622093864,-1.4987434961251518,-0.11884881891762022,0.2931238885595732,-24.31542783513677,-26.928878078797666,1.703084542399759,-7.19901114537623,453.90634262003556,-0.13333469453398153,1350,True,True,naive,1.0,1,,,
0.2,3374,9,-23.67278996949125,-1.432131792112293,-1.9095090561497243,-0.15736314187110095,0.27593360995850624,-32.12159862764895,-34.20898541664113,1.703084542399759,-7.19901114537623,453.90634262003556,-0.1675956841956039,1350,True,True,naive,1.0,1,,,
0.3,3374,9,-30.011219779541953,-2.0482801321491513,-2.7310401761988676,-0.23439178777806233,0.24510966212211024,-47.733940212673296,-47.836899106025726,1.703084542399759,-7.19901114537623,453.90634262003556,-0.23611766351884858,1350,True,True,naive,1.0,1,,,
0.4,3374,9,-25.928014185747628,-2.6644284721860094,-3.5525712962480123,-0.3114204336850238,0.2086544161232958,-63.34628179769765,-61.15541062824278,1.703084542399759,-7.19901114537623,453.90634262003556,-0.30463964284209333,1350,True,True,naive,1.0,1,,,
0.5,3374,9,-22.443442428004378,-3.280576812222867,-4.374102416297157,-0.3884490795919851,0.18435091879075283,-78.95862338272201,-74.5411381057869,1.703084542399759,-7.19901114537623,453.90634262003556,-0.373161622165338,1350,True,True,naive,1.0,1,,,
0.0,3350,9,-0.8153876484615861,-0.23065045204888202,-0.17385879311592334,0.00023470536706039853,0.4417910447761194,-6.694302275530368,-3.8082480097006965,-4.094302275530365,-11.857564701314665,454.710447761194,-0.027609279492010776,1340,False,False,naive,1.0,2,,,
0.02,3350,9,-1.6287754140167712,-0.266479466544661,-0.3387634136382337,-0.015227605024004108,0.41402985074626864,-9.825792498800334,-7.67025902859196,-4.094302275530365,-11.857564701314665,454.710447761194,-0.04132778950649088,1340,True,True,naive,1.0,2,,,
0.05,3350,9,-2.9090265447450117,-0.4395902583162743,-0.586120344421699,-0.038421070610600835,0.38119402985074624,-14.523027833705289,-13.118428722427154,-4.094302275530365,-11.857564701314665,454.710447761194,-0.06190555452821104,1340,True,True,naive,1.0,2,,,
0.1,3350,9,-5.12985707235334,-0.7487864217956058,-0.9983818957274744,-0.07707684658826205,0.35313432835820896,-22.35175339188022,-21.99031644848601,-4.094302275530365,-11.857564701314665,454.710447761194,-0.09620182956441131,1340,True,True,naive,1.0,2,,,
0.15,3350,9,-7.303051581794207,-1.0579825852749374,-1.4106434470332498,-0.11573262256592326,0.3295522388059702,-30.180478950055132,-29.813463481101977,-4.094302275530365,-11.857564701314665,454.710447761194,-0.13049810460061156,1340,True,True,naive,1.0,2,,,
0.2,3350,9,-9.243355575405372,-1.3671787487542688,-1.822904998339025,-0.1543883985435845,0.3092537313432836,-38.00920450823006,-37.00226275171525,-4.094302275530365,-11.857564701314665,454.710447761194,-0.16479437963681184,1340,True,True,naive,1.0,2,,,
0.3,3350,9,-12.020224212826353,-1.9855710757129317,-2.6474281009505756,-0.23169995049890688,0.2835820895522388,-53.6666556245799,-50.76780996925843,-4.094302275530365,-11.857564701314665,454.710447761194,-0.23338692970921232,1340,True,True,naive,1.0,2,,,
0.4,3350,9,-13.440763169361265,-2.603963402671595,-3.471951203562127,-0.30901150245422937,0.2507462686567164,-69.32410674092976,-64.5834013161919,-4.094302275530365,-11.857564701314665,454.710447761194,-0.3019794797816129,1340,True,True,naive,1.0,2,,,
0.5,3350,9,-14.04756098062566,-3.2223557296302583,-4.296474306173678,-0.3863230544095518,0.22328358208955223,-84.9815578572796,-78.47102995516047,-4.094302275530365,-11.857564701314665,454.710447761194,-0.3705720298540134,1340,True,True,naive,1.0,2,,,
0.0,3246,8,-0.8446250584867724,-0.4694655680373615,-0.34752675867416516,-0.056744400179934915,0.4494762784966112,-21.45002423391246,-5.952293871107292,-18.850024233912457,-20.84989421637537,457.60320394331484,-0.10630194558950526,1298,True,True,naive,1.0,5,,,
0.02,3246,8,-1.2505955603536114,-0.566821081485041,-0.5240857603269641,-0.07243002996045968,0.418052988293284,-24.62566300070045,-9.801635000319937,-18.850024233912457,-20.84989421637537,457.60320394331484,-0.12050657618797474,1298,True,True,naive,1.0,5,,,
0.05,3246,8,-1.8312653652182587,-0.71285435165656,-0.7889242628061621,-0.09595847463124683,0.38755391250770177,-29.389121150882442,-14.882651014375199,-18.850024233912457,-20.84989421637537,457.60320394331484,-0.14181352208567896,1298,True,True,naive,1.0,5,,,
0.1,3246,8,-2.7270466271817884,-0.9562431352757583,-1.2303217669381588,-0.13517254908255874,0.35489833641404805,-37.328218067852426,-24.986866491513865,-18.850024233912457,-20.84989421637537,457.60320394331484,-0.1773250985818527,1298,True,True,naive,1.0,5,,,
0.15,3246,8,-3.5390073817981165,-1.2264111994356242,-1.6717192710701554,-0.17438662353387063,0.3364140480591497,-45.2673149848224,-34.14985668099945,-18.850024233912457,-20.84989421637537,457.60320394331484,-0.2128366750780264,1298,True,True,naive,1.0,5,,,
0.2,3246,8,-4.2746299556393845,-1.497238854642122,-2.1131167752021525,-0.21360069798518252,0.32162661737523107,-53.20641190179237,-43.048289852362345,-18.850024233912457,-20.84989421637537,457.60320394331484,-0.24834825157420007,1298,True,True,naive,1.0,5,,,
0.3,3246,8,-5.546209898783482,-2.0388941650551167,-2.9959117834661457,-0.29202884688780634,0.29852125693160814,-69.08460573573234,-60.44292553182767,-18.850024233912457,-20.84989421637537,457.60320394331484,-0.3193714045665475,1298,True,True,naive,1.0,5,,,
0.4,3246,8,-6.596023280961308,-2.585804527820093,-3.8787067917301394,-0.3704569957904302,0.26124460874922983,-84.9627995696723,-77.18309805470429,-18.850024233912457,-20.84989421637537,457.60320394331484,-0.3903945575588949,1298,True,True,naive,1.0,5,,,
0.5,3246,8,-7.469316349785666,-3.174334533329422,-4.761501799994133,-0.4488851446930539,0.2335181762168823,-100.84099340361226,-93.2251099030853,-18.850024233912457,-20.84989421637537,457.60320394331484,-0.4614177105512423,1298,True,True,naive,1.0,5,,,
0.0,2589,9,-1.7862745668661566,-0.22785865552540813,-0.30381154070054417,-0.009354667729954521,0.4410969486288142,-3.48990231099973,-2.3629661940266034,-0.8899023109997234,-10.982472106875825,494.0054074932406,-0.028850564244522172,1036,True,False,naive,1.5,1,,,
0.02,2589,9,-2.9140912274369164,-0.34795363310704847,-0.4639381774760647,-0.024834965016727113,0.3978370027037466,-6.8790005943352375,-6.433186688743696,-0.8899023109997234,-10.982472106875825,494.0054074932406,-0.04099693369690853,1036,True,True,naive,1.5,1,,,
0.05,2589,9,-4.855794736779501,-0.528096099479509,-0.7041281326393454,-0.04805541094688599,0.3538045577443028,-11.962648019338506,-11.912551728097284,-0.8899023109997234,-10.982472106875825,494.0054074932406,-0.059216487875488076,1036,True,True,naive,1.5,1,,,
0.1,2589,9,-8.562650617490858,-0.8283335434336098,-1.1044447245781464,-0.08675615416381746,0.3128621089223638,-20.435393727677276,-20.914084099130243,-0.8899023109997234,-10.982472106875825,494.0054074932406,-0.08958241150645396,1036,True,True,naive,1.5,1,,,
0.15,2589,9,-11.987794114339582,-1.1285709873877106,-1.5047613165169473,-0.1254568973807489,0.28234839706450365,-28.908139436016047,-29.344015462122233,-0.8899023109997234,-10.982472106875825,494.0054074932406,-0.11994833513741986,1036,True,True,naive,1.5,1,,,
0.2,2589,9,-14.049831337695462,-1.4288084313418112,-1.9050779084557483,-0.16415764059768037,0.2657396678254152,-37.38088514435483,-37.244918480454544,-0.8899023109997234,-10.982472106875825,494.0054074932406,-0.15031425876838578,1036,True,True,naive,1.5,1,,,
0.3,2589,9,-14.636272997752819,-2.0292833192500126,-2.7057110923333503,-0.24155912703154325,0.23213595983005023,-54.32637656103237,-52.96753971322331,-0.8899023109997234,-10.982472106875825,494.0054074932406,-0.21104610603031757,1036,True,True,naive,1.5,1,,,
0.4,2589,9,-13.859739950443347,-2.6297582071582144,-3.506344276210952,-0.3189606134654062,0.19544225569718038,-71.27186797770992,-68.54339227600133,-0.8899023109997234,-10.982472106875825,494.0054074932406,-0.27177795329224935,1036,True,True,naive,1.5,1,,,
0.5,2589,9,-13.113561445130298,-3.230233095066416,-4.306977460088554,-0.39636209989926907,0.17342603321745848,-88.21735939438747,-83.70822114658357,-0.8899023109997234,-10.982472106875825,494.0054074932406,-0.3325098005541811,1036,True,True,naive,1.5,1,,,
0.0,2581,9,-1.1999421381498274,-0.20588251008790187,-0.22650106383844376,-0.0104879775685107,0.43355288647810925,-14.198240174746367,-4.227913282558779,-11.598240174746362,-16.82154786607121,493.5993800852383,-0.037285991359485536,1032,True,True,naive,1.5,2,,,
0.02,2581,9,-2.119294672508035,-0.2910602349037611,-0.3880803132050147,-0.02600265784710814,0.4037194885703216,-17.588902439766347,-8.189364502441531,-11.598240174746362,-16.82154786607121,493.5993800852383,-0.04945976890512417,1032,True,True,naive,1.5,2,,,
0.05,2581,9,-3.5608413281021165,-0.4728368904411532,-0.630449187254871,-0.04927467826500425,0.3692367299496319,-22.674895837296322,-14.07502504443108,-11.598240174746362,-16.82154786607121,493.5993800852383,-0.0677204352235821,1032,True,True,naive,1.5,2,,,
0.1,2581,9,-5.945312469535326,-0.7757979830034735,-1.034397310671298,-0.08806137896149777,0.3390158853157691,-31.151551499846278,-23.588069716446178,-11.598240174746362,-16.82154786607121,493.5993800852383,-0.09815487908767868,1032,True,True,naive,1.5,2,,,
0.15,2581,9,-7.9905276414223305,-1.0787590755657939,-1.4383454340877253,-0.1268480796579913,0.31421929484695854,-39.62820716239623,-32.47681214324361,-11.598240174746362,-16.82154786607121,493.5993800852383,-0.12858932295177525,1032,True,True,naive,1.5,2,,,
0.2,2581,9,-9.483135399141771,-1.3817201681281142,-1.8422935575041521,-0.16563478035448484,0.2905850445563735,-48.10486282494619,-40.861143988338384,-11.598240174746362,-16.82154786607121,493.5993800852383,-0.15902376681587183,1032,True,True,naive,1.5,2,,,
0.3,2581,9,-11.000453893244927,-1.9876423532527545,-2.650189804337006,-0.24320818174747189,0.2638512204571871,-65.0581741500461,-55.680802919161195,-11.598240174746362,-16.82154786607121,493.5993800852383,-0.21989265454406495,1032,True,True,naive,1.5,2,,,
0.4,2581,9,-11.452753968526535,-2.5935645383773953,-3.4580860511698606,-0.32078158314045896,0.2324680356450988,-82.01148547514602,-71.8489417613952,-11.598240174746362,-16.82154786607121,493.5993800852383,-0.2807615422722581,1032,True,True,naive,1.5,2,,,
0.5,2581,9,-11.520061427272204,-3.199486723502036,-4.265982298002713,-0.398354984533446,0.20457187136768695,-98.9647968002459,-87.10080101327976,-11.598240174746362,-16.82154786607121,493.5993800852383,-0.34163043000045124,1032,True,True,naive,1.5,2,,,
0.0,2544,8,-0.5550208597901745,-0.5758069478572222,-0.3080046807359251,-0.06994803663875045,0.4378930817610063,-31.573988541291918,-6.806214856841228,-28.973988541291913,-25.866482906637618,491.8946540880503,-0.10485669963806567,1018,True,True,naive,1.5,5,,,
0.02,2544,8,-0.8632124622590588,-0.6721561939474151,-0.48506569754870144,-0.08562864282484292,0.4044811320754717,-34.98030889678963,-10.661652962165558,-28.973988541291913,-25.866482906637618,491.8946540880503,-0.11742237450712624,1018,True,True,naive,1.5,5,,,
0.05,2544,8,-1.3105414284559316,-0.8166800630827046,-0.7506572227678661,-0.10914955210398158,0.3738207547169811,-40.0897894300362,-16.53082310197956,-28.973988541291913,-25.866482906637618,491.8946540880503,-0.1362708868107171,1018,True,True,naive,1.5,5,,,
0.1,2544,8,-2.016405879994753,-1.0778732573428256,-1.1933097647998068,-0.14835106756921268,0.34158805031446543,-48.605590318780486,-27.031719528858545,-28.973988541291913,-25.866482906637618,491.8946540880503,-0.16768507398336854,1018,True,True,naive,1.5,5,,,
0.15,2544,8,-2.6736565133219785,-1.3491729451952372,-1.6359623068317477,-0.1875525830344438,0.3211477987421384,-57.12139120752476,-36.746766393140774,-28.973988541291913,-25.866482906637618,491.8946540880503,-0.19909926115601997,1018,True,True,naive,1.5,5,,,
0.2,2544,8,-3.284127719496101,-1.620472633047649,-2.0786148488636886,-0.2267540984996749,0.3062106918238994,-65.63719209626905,-46.44295611717796,-28.973988541291913,-25.866482906637618,491.8946540880503,-0.2305134483286714,1018,True,True,naive,1.5,5,,,
0.3,2544,8,-4.374486162000691,-2.163072008752472,-2.9639199329275696,-0.3051571294301371,0.28223270440251574,-82.66879387375761,-65.35225683380392,-28.973988541291913,-25.866482906637618,491.8946540880503,-0.2933418226739743,1018,True,True,naive,1.5,5,,,
0.4,2544,8,-5.309171431973236,-2.7056713844572964,-3.8492250169914515,-0.38356016036059937,0.24331761006289307,-99.70039565124617,-83.52221737082905,-28.973988541291913,-25.866482906637618,491.8946540880503,-0.35617019701927716,1018,True,True,naive,1.5,5,,,
