ticker,market_date,expiry,strike,k,iv_marked,iv_fit,resid_volpts
SPY,2025-12-26,2026-01-23,580.0,-0.17437,0.28686,0.28442,0.2441
SPY,2025-12-26,2026-01-23,585.0,-0.16578,0.2773,0.27609,0.1218
SPY,2025-12-26,2026-01-23,590.0,-0.15727,0.26774,0.26763,0.0111
SPY,2025-12-26,2026-01-23,595.0,-0.14883,0.25878,0.25905,-0.0273
SPY,2025-12-26,2026-01-23,600.0,-0.14047,0.24959,0.25034,-0.0745
SPY,2025-12-26,2026-01-23,605.0,-0.13217,0.24014,0.2415,-0.1356
SPY,2025-12-26,2026-01-23,610.0,-0.12394,0.23082,0.23253,-0.1714
SPY,2025-12-26,2026-01-23,615.0,-0.11577,0.22131,0.22344,-0.2132
SPY,2025-12-26,2026-01-23,620.0,-0.10768,0.21193,0.21425,-0.2317
SPY,2025-12-26,2026-01-23,625.0,-0.09964,0.20259,0.20497,-0.2383
SPY,2025-12-26,2026-01-23,630.0,-0.09168,0.19405,0.19565,-0.1602
SPY,2025-12-26,2026-01-23,635.0,-0.08377,0.1855,0.18633,-0.0832
SPY,2025-12-26,2026-01-23,640.0,-0.07593,0.17681,0.17709,-0.0275
SPY,2025-12-26,2026-01-23,645.0,-0.06814,0.16888,0.168,0.0881
SPY,2025-12-26,2026-01-23,650.0,-0.06042,0.16092,0.15919,0.1734
SPY,2025-12-26,2026-01-23,651.0,-0.05889,0.1593,0.15747,0.1829
SPY,2025-12-26,2026-01-23,652.0,-0.05735,0.15772,0.15576,0.1952
SPY,2025-12-26,2026-01-23,653.0,-0.05582,0.15611,0.15408,0.2036
SPY,2025-12-26,2026-01-23,654.0,-0.05429,0.15456,0.15241,0.2151
SPY,2025-12-26,2026-01-23,655.0,-0.05276,0.15306,0.15076,0.2292
SPY,2025-12-26,2026-01-23,656.0,-0.05123,0.15155,0.14914,0.2415
SPY,2025-12-26,2026-01-23,657.0,-0.04971,0.14986,0.14753,0.2333
SPY,2025-12-26,2026-01-23,658.0,-0.04819,0.14831,0.14595,0.2364
SPY,2025-12-26,2026-01-23,659.0,-0.04667,0.14676,0.14439,0.2375
SPY,2025-12-26,2026-01-23,660.0,-0.04516,0.14516,0.14285,0.2311
SPY,2025-12-26,2026-01-23,661.0,-0.04364,0.14363,0.14134,0.2292
SPY,2025-12-26,2026-01-23,662.0,-0.04213,0.14198,0.13986,0.2123
SPY,2025-12-26,2026-01-23,663.0,-0.04062,0.14042,0.1384,0.2021
SPY,2025-12-26,2026-01-23,664.0,-0.03911,0.13889,0.13696,0.1922
SPY,2025-12-26,2026-01-23,665.0,-0.03761,0.13728,0.13556,0.1718
SPY,2025-12-26,2026-01-23,666.0,-0.03611,0.13563,0.13419,0.1448
SPY,2025-12-26,2026-01-23,667.0,-0.03461,0.13414,0.13284,0.1299
SPY,2025-12-26,2026-01-23,668.0,-0.03311,0.13259,0.13152,0.1067
SPY,2025-12-26,2026-01-23,669.0,-0.03161,0.13094,0.13023,0.071
SPY,2025-12-26,2026-01-23,670.0,-0.03012,0.1293,0.12897,0.0328
SPY,2025-12-26,2026-01-23,671.0,-0.02863,0.12772,0.12774,-0.0027
SPY,2025-12-26,2026-01-23,672.0,-0.02714,0.12606,0.12655,-0.0484
SPY,2025-12-26,2026-01-23,673.0,-0.02565,0.12441,0.12538,-0.0967
SPY,2025-12-26,2026-01-23,674.0,-0.02417,0.12289,0.12424,-0.1351
SPY,2025-12-26,2026-01-23,675.0,-0.02268,0.12128,0.12313,-0.1851
SPY,2025-12-26,2026-01-23,676.0,-0.0212,0.11959,0.12205,-0.2462
SPY,2025-12-26,2026-01-23,677.0,-0.01972,0.118,0.12101,-0.3003
SPY,2025-12-26,2026-01-23,678.0,-0.01825,0.11637,0.11999,-0.3622
