base_risk_pct,overlay_mult,rich_threshold,overlay_enabled,n_rungs,n_skipped_rungs,skip_rate,contracts_desired_total,contracts_filled_total,fill_rate,total_return_excess,years,ann_return_excess,ann_return_gross,cagr_excess,cagr_gross,sharpe,maxdd_dollars,maxdd_pct,util_mean,util_peak,win_rate,breach_rate
0.03,0.0,99.0,0,1110,0,0.0,3503,3503,1.0,1.9354027293637235,17.333333333333332,0.11165784977098404,0.15165784977098404,0.0640960436795539,0.08182553311408403,0.8629121676800718,-20018.41020779728,-0.4003682041559456,0.16893306195841495,0.5007822340512916,0.881981981981982,0.13513513513513514
0.05,0.0,99.0,0,1227,0,0.0,6245,6245,1.0,3.839895563937848,17.333333333333332,0.22153243638102965,0.26153243638102963,0.0952411905894841,0.10688338588940383,0.949849344170822,-35745.433677319284,-0.7149086735463857,0.31374419027206246,0.867436234971355,0.882640586797066,0.13691931540342298
0.08,0.0,99.0,0,1237,40,0.031323414252153486,10387,9697,0.9335708096659285,6.668749589974351,17.333333333333332,0.384735553267751,0.424735553267751,0.1247132237332822,0.13249491201307917,1.072925380159209,-43061.03647385548,-0.8612207294771096,0.5001013407371144,0.9999632158074548,0.8827809215844786,0.13662085691188358
0.1,0.0,99.0,0,1182,107,0.08301008533747091,13166,11052,0.8394349080966125,7.528808672333247,17.333333333333332,0.43435434648076426,0.47435434648076424,0.1316316835525475,0.13871045505024493,1.0566892960077696,-42191.05576068064,-0.8438211152136128,0.571097702379075,0.9999644858995291,0.8807106598984772,0.13959390862944163
0.03,1.0,0.5,1,1110,0,0.0,6132,6131,0.9998369210697978,3.6690762297710156,17.333333333333332,0.21167747479448168,0.25167747479448166,0.09297311357787574,0.10498050797297775,0.908471154186226,-39060.83332351103,-0.7812166664702207,0.29954653308431445,0.995597537463586,0.881981981981982,0.13513513513513514
0.03,1.0,1.0,1,1110,0,0.0,4504,4504,1.0,2.6414916909125634,17.333333333333332,0.15239375139880174,0.19239375139880174,0.07741123367218661,0.09223914250555443,0.8863985524653808,-25128.423722860425,-0.5025684744572085,0.22009266418974222,0.8592466384858979,0.881981981981982,0.13513513513513514
0.03,1.0,1.5,1,1110,0,0.0,3798,3798,1.0,2.320634273692704,17.333333333333332,0.13388274655919447,0.17388274655919447,0.07169312569738162,0.08770782201336624,0.9813459320736221,-19826.613173327365,-0.3965322634665473,0.18510318562839168,0.6993147590231479,0.881981981981982,0.13513513513513514
0.03,2.0,0.5,1,1065,45,0.04054054054054054,9117,8464,0.9283755621366677,5.787641356975673,17.333333333333332,0.3339023859793657,0.3739023859793657,0.1168215410461495,0.12549085348142253,1.0794705122887336,-42509.987370546645,-0.850199747410933,0.42143217578350134,0.9999641846047889,0.8835680751173709,0.13427230046948357
0.03,2.0,1.0,1,1106,4,0.0036036036036036037,5651,5562,0.9842505751194479,3.4768174829791048,17.333333333333332,0.2005856240180253,0.2405856240180253,0.09032488995011256,0.1027727553539568,0.8902665143686846,-31977.01126651121,-0.6395402253302243,0.27764612169688146,0.9995570434825332,0.8815551537070524,0.13562386980108498
0.03,2.0,1.5,1,1110,0,0.0,4136,4135,0.9997582205029013,2.7956472186665047,17.333333333333332,0.1612873395384522,0.2012873395384522,0.07999149887888346,0.09431156338151236,1.0993274371431523,-19443.019104387546,-0.3888603820877509,0.20407470468648764,0.9947303582743559,0.881981981981982,0.13513513513513514
0.05,1.0,0.5,1,1167,60,0.0488997555012225,10865,9627,0.8860561435803037,6.8175812280432515,17.333333333333332,0.3933219939255722,0.4333219939255722,0.12596115490858395,0.13361106018808822,1.1193474608217806,-41515.94017375339,-0.8303188034750678,0.4911575990108006,0.9999693641414956,0.882604970008569,0.1379605826906598
0.05,1.0,1.0,1,1214,13,0.010594947025264874,8008,7709,0.9626623376623377,5.074721849177212,17.333333333333332,0.2927724143756084,0.3327724143756084,0.10969453181384803,0.11925176277553806,0.996025131142316,-41647.988108045014,-0.8329597621609003,0.3937721054082649,0.9997584950129739,0.8822075782537068,0.13756177924217464
0.05,1.0,1.5,1,1227,0,0.0,6762,6762,1.0,4.568829151452328,17.333333333333332,0.26358629719917276,0.30358629719917274,0.10414177094946098,0.11445262917962062,1.0865529495692179,-35170.04257390955,-0.703400851478191,0.3428191344189474,0.9922353858525517,0.882640586797066,0.13691931540342298
0.05,2.0,0.5,1,1025,202,0.16462917685411574,15892,11218,0.705889755852001,8.033529013822042,17.333333333333332,0.46347282772050236,0.5034728277205024,0.13539145596931612,0.14211542607142502,1.0556862565136071,-42801.71057259309,-0.8560342114518618,0.5814676150579878,0.9999967753142459,0.88,0.1424390243902439
0.05,2.0,1.0,1,1172,55,0.04482477587612062,9947,8589,0.8634764250527798,6.2874763305562364,17.333333333333332,0.3627390190705521,0.4027390190705521,0.12140907618195707,0.12955077696548356,1.0697049086632653,-38236.191803868816,-0.7647238360773764,0.44847194907909244,0.9999947103382422,0.8805460750853242,0.13993174061433447
0.05,2.0,1.5,1,1219,8,0.006519967400162999,7337,7209,0.9825541774567261,5.2022480353200455,17.333333333333332,0.3001296943453873,0.34012969434538726,0.11102540125074545,0.12041024261661049,1.1771988881775057,-34594.65147049981,-0.6918930294099962,0.36936203333110357,0.9999947103382422,0.881870385561936,0.13781788351107466
0.08,1.0,0.5,1,1036,241,0.18872357086922475,18016,12009,0.6665741563055062,8.101603774301282,17.333333333333332,0.4674002177481508,0.5074002177481508,0.13588333125975716,0.14256223241824495,0.9856050348862027,-47774.30907060631,-0.9554861814121262,0.6210975940153953,0.9999956303204456,0.8754826254826255,0.14285714285714285
0.08,1.0,1.0,1,1150,127,0.09945184025058731,13307,10513,0.7900353197565191,7.564585600700771,17.333333333333332,0.4364184000404291,0.47641840004042907,0.13190500947563533,0.13895736260739833,1.104923030575211,-39651.57744404214,-0.7930315488808427,0.5504449566302297,0.9999776689182965,0.8782608695652174,0.1426086956521739
0.08,1.0,1.5,1,1215,62,0.0485512920908379,11244,10071,0.8956776947705443,7.26216161990286,17.333333333333332,0.41897086268670347,0.45897086268670345,0.12955986056197744,0.13684215472046746,1.1317756489261481,-43061.03647385548,-0.8612207294771096,0.5251565275373158,0.9999638248549667,0.8806584362139918,0.1390946502057613
0.08,2.0,0.5,1,902,375,0.2936570086139389,26058,13099,0.5026863151431422,8.953379303693813,17.333333333333332,0.5165411136746431,0.5565411136746431,0.14176105231976033,0.14792447727626645,1.0089152062553437,-49963.07521950122,-0.9992615043900244,0.6758951442659812,0.9999901051380242,0.8747228381374723,0.14412416851441243
0.08,2.0,1.0,1,1095,182,0.14252153484729835,16398,10928,0.6664227344798146,8.147736630897791,17.333333333333332,0.4700617287056418,0.5100617287056418,0.13621469812047193,0.14286340953787224,1.0745661597584126,-46442.717676789034,-0.9288543535357807,0.5755902500874086,0.9999694797835254,0.8748858447488584,0.14520547945205478
0.08,2.0,1.5,1,1189,88,0.06891151135473766,12161,10310,0.8477921223583587,7.623032248096931,17.333333333333332,0.43979032200559215,0.47979032200559213,0.13234921983500691,0.13935884965504441,1.1498924006856563,-43061.03647385548,-0.8612207294771096,0.5414989667005715,0.9999632158074548,0.87973086627418,0.1404541631623213
0.1,1.0,0.5,1,967,322,0.24980605120248253,22814,12903,0.5655737704918032,8.924444113066329,17.333333333333332,0.5148717757538267,0.5548717757538267,0.14156929829602438,0.14774888616482573,1.0476986764204188,-49582.91839653021,-0.9916583679306041,0.6680548148149097,0.9999852310761213,0.8717683557394003,0.14581178903826267
0.1,1.0,1.0,1,1094,195,0.15128006206361522,16869,11623,0.6890153536072084,8.165163302349479,17.333333333333332,0.4710671135970853,0.5110671135970853,0.1363394622110028,0.14297684258441845,1.0280418951920827,-47908.67296486808,-0.9581734592973615,0.6086025778146147,0.9999644858995291,0.876599634369287,0.1425959780621572
