year,month,spy020_noncomp,spy020_comp,spx020_noncomp,spx032_noncomp,spx032_comp,buyhold_spy
2009,2,35942.04,35942.04,34767.48,27151.22,27151.22,50000.0
2009,3,29479.29,31296.35,25085.38,10709.31,18222.86,53726.5
2009,4,37749.16,36472.69,29517.7,18476.64,21053.72,59211.42
2009,5,37749.16,36472.69,29517.7,19493.61,21481.94,62498.31
2009,6,43944.42,40991.84,37046.2,30927.26,26394.28,62166.91
2009,7,50289.72,46193.95,46988.97,42420.77,32461.54,66826.73
2009,8,56464.6,51898.8,52217.66,44655.93,33912.68,69356.15
2009,9,63298.05,58991.76,59619.83,56489.59,41938.89,71391.86
2009,10,68910.19,65613.16,67218.23,61762.51,46361.71,70039.23
2009,11,75183.77,73845.74,75776.48,68697.59,52792.15,74313.54
2009,12,79480.51,80191.66,80678.72,76952.33,61507.86,75368.59
2010,1,81362.47,83210.01,85838.16,85792.24,72382.34,72615.99
2010,2,80737.42,82169.8,86875.59,84745.96,70867.69,74908.7
2010,3,83683.74,87011.78,93065.01,94948.75,85328.65,79122.14
2010,4,86740.76,92331.71,95489.53,99202.11,92587.32,80386.85
2010,5,78594.41,77288.38,79846.7,106305.83,105741.61,74015.96
2010,6,74009.62,70201.35,69783.49,92888.22,77365.61,69809.28
2010,7,73811.36,69923.0,69783.49,92888.22,77365.61,74577.3
2010,8,75951.46,72915.84,71956.37,96147.53,82408.79,71330.99
2010,9,77900.84,75758.65,71956.37,96147.53,82408.79,77181.12
2010,10,80594.23,79839.61,75386.82,103008.44,93716.77,80163.67
2010,11,84125.98,85479.08,79121.11,109709.31,106276.45,80129.85
2010,12,91076.34,97361.28,86846.66,118320.46,124579.71,85066.96
2011,1,92964.31,101037.58,86846.66,119080.2,126472.67,87021.51
2011,2,97758.74,110725.94,92642.32,128739.64,150905.76,90051.4
2011,3,101000.6,117905.1,96503.76,131356.3,158803.16,89618.56
2011,4,101325.94,118672.29,100174.7,137689.89,178919.03,92344.11
2011,5,102616.98,121736.49,102058.17,140829.01,190151.98,91228.19
2011,6,97793.99,109993.81,99923.86,137271.82,176623.87,89253.35
2011,7,99211.0,113111.08,101977.74,140694.96,188716.01,87278.51
2011,8,99211.0,113111.08,101977.74,140694.96,188716.01,82551.06
2011,9,96868.83,107812.56,102822.32,142384.12,195091.45,76538.62
2011,10,96868.83,107812.56,102822.32,142384.12,195091.45,84843.77
2011,11,101770.07,118380.87,108280.85,153308.71,237717.35,84613.82
2011,12,103472.21,122410.89,109642.24,154670.1,244189.86,84877.59
2012,1,106151.86,128971.25,109642.24,154670.1,244189.86,88739.35
2012,2,106151.86,128971.25,111351.6,158088.83,260886.26,92567.29
2012,3,114913.63,151571.57,120265.69,166237.42,303403.37,95171.11
2012,4,118508.67,162469.7,124768.81,172260.76,339953.39,94528.61
2012,5,113090.71,144864.61,121836.34,167017.4,304303.41,88928.72
2012,6,114876.64,150038.97,125258.89,173862.5,345963.18,92161.5
2012,7,121437.57,169726.86,128996.75,178267.82,376444.72,93135.4
2012,8,121437.57,169726.86,128996.75,178267.82,376444.72,95522.79
2012,9,122863.08,174565.83,128996.75,178267.82,376444.72,97342.08
2012,10,127416.41,190462.92,135341.26,188150.31,450848.93,95482.21
2012,11,128708.02,195383.0,138720.84,193566.56,499687.15,96077.37
2012,12,130704.0,203182.6,141080.17,196712.33,531125.18,96388.48
2013,1,131996.81,208436.15,143202.52,200249.58,568699.61,101244.42
2013,2,133744.04,215719.88,146976.61,206286.97,637368.82,102482.08
2013,3,136031.61,225589.34,147567.84,208043.98,659766.14,105877.18
2013,4,136325.73,226916.37,148909.26,210056.12,686316.94,107994.05
2013,5,139226.46,240080.84,151333.1,214903.8,752857.92,110401.73
2013,6,139226.46,240080.84,151333.1,214903.8,752857.92,108217.23
2013,7,140077.89,244169.05,154254.48,220071.25,830664.96,114067.36
2013,8,140077.89,244169.05,154254.48,220071.25,830664.96,110679.02
2013,9,146451.35,275293.12,161816.56,231460.5,1019877.98,113688.62
2013,10,150072.63,295231.37,167136.32,234545.91,1082812.76,118889.49
2013,11,153576.57,315920.81,172796.79,242288.08,1250479.19,122413.09
2013,12,155365.87,327226.4,172796.79,242288.08,1250479.19,124908.7
2014,1,160951.91,363784.36,178077.69,252152.1,1497174.36,120505.88
2014,2,159488.57,353137.53,178203.86,253110.52,1525872.87,125990.8
2014,3,164309.14,387184.06,180421.99,257846.43,1670400.7,126477.75
2014,4,167881.7,414848.77,182768.21,262538.88,1827166.06,127356.96
2014,5,171893.8,448137.09,186765.45,268998.8,2063232.9,130312.46
2014,6,174483.05,471343.84,188925.47,272598.83,2211787.14,132368.46
2014,7,176571.54,491031.85,190988.54,276037.28,2363889.26,130589.75
2014,8,182618.75,550419.29,198769.26,283644.42,2723538.21,135743.27
2014,9,186224.0,590107.22,198769.26,285230.38,2809926.84,133247.67
2014,10,171281.95,413758.98,196206.01,278617.74,2438306.19,136385.77
2014,11,176983.55,460940.74,203075.05,284183.64,2709733.43,140132.56
2014,12,176983.55,460940.74,203075.05,284183.64,2709733.43,139009.87
2015,1,180423.82,492655.99,209320.16,291770.4,3120895.14,134891.11
2015,2,180423.82,492655.99,211638.44,291770.4,3120895.14,142472.61
2015,3,182481.44,512929.92,212895.61,293027.57,3199365.05,139611.79
2015,4,186238.88,551476.01,216615.98,299562.81,3617537.26,140984.72
2015,5,186238.88,551476.01,216615.98,299562.81,3617537.26,142797.24
2015,6,189745.62,590153.65,220116.62,305638.87,4057144.83,139219.53
2015,7,192535.04,623077.39,221925.18,309255.99,4350648.4,142364.4
2015,8,194825.23,651616.79,225704.94,314925.63,4843980.78,133687.27
2015,9,194825.23,651616.79,225704.94,311334.61,4496084.47,129602.33
2015,10,197340.42,684395.6,227370.49,314665.72,4795623.48,140626.27
2015,11,199534.71,714430.74,228936.64,317798.02,5096050.12,141140.27
2015,12,203061.61,764825.24,233161.96,324135.99,5742022.38,137880.43
2016,1,182517.98,450579.61,232400.29,321850.99,5479612.18,131015.83
2016,2,184782.45,470986.1,235231.24,327512.9,6100113.44,130907.62
2016,3,190687.4,526609.09,236651.47,330353.35,6446653.89,138996.35
2016,4,190853.54,528358.87,236651.47,330353.35,6446653.89,139544.16
2016,5,196038.87,583153.16,240300.68,337651.77,7387661.75,141918.03
2016,6,203734.01,672902.05,248251.79,344653.33,8422165.05,141667.79
2016,7,208719.67,739999.34,252110.95,352371.64,9722263.93,146841.61
2016,8,210617.16,768082.14,253423.54,352371.64,9722263.93,147017.45
2016,9,214879.18,833553.79,261021.22,363166.87,11821344.04,146287.03
2016,10,219548.91,911403.19,265565.41,366463.04,12600647.0,143750.85
2016,11,221483.7,946670.68,267588.61,369497.84,13365457.99,149046.4
2016,12,227484.67,1060289.46,272684.71,377841.66,15595836.75,151176.79
2017,1,230717.58,1128845.87,274351.1,381174.45,16635389.93,153882.05
2017,2,232088.47,1159796.39,275144.5,384279.46,17668450.91,159928.31
2017,3,235798.87,1245862.47,280761.91,394709.55,21354122.14,159434.6
2017,4,239496.78,1338004.41,283150.51,396307.04,22036378.39,161017.18
2017,5,244005.58,1458660.29,287796.23,405476.15,26077460.54,163289.6
2017,6,244284.66,1466801.69,287796.23,405476.15,26077460.54,163533.07
2017,7,244284.66,1466801.69,287796.23,405476.15,26077460.54,166894.36
2017,8,245479.27,1501847.08,289345.3,408574.29,27693293.24,167381.31
2017,9,251032.34,1668644.27,290945.89,412620.3,29934237.54,169910.73
2017,10,251032.34,1668644.27,290945.89,412620.3,29934237.54,173914.51
2017,11,252866.55,1729857.1,293148.26,415556.78,31692267.94,179230.35
2017,12,256829.87,1866976.59,300144.37,423408.21,36668857.29,180481.54
2018,1,260199.62,1992801.64,301917.84,424288.33,37314320.93,190653.32
2018,2,260199.62,1992801.64,301917.84,424288.33,37314320.93,183721.09
2018,3,258583.13,1928374.58,299824.87,411180.53,27532141.82,177972.41
2018,4,258583.13,1928374.58,299824.87,411180.53,27532141.82,178892.2
2018,5,260739.96,2011557.92,301668.28,414867.35,29562265.0,183240.9
2018,6,260739.96,2011557.92,301668.28,414867.35,29562265.0,183470.85
2018,7,262855.8,2096680.74,302720.88,416972.54,30806947.7,190267.82
2018,8,269377.23,2370147.8,305361.29,422253.36,34060665.5,196341.13
2018,9,274958.62,2634722.54,309652.64,429583.09,39053773.92,196618.42
2018,10,254803.05,1572635.47,291488.55,425030.28,35497687.41,183031.25
2018,11,234931.11,947609.27,281087.81,408328.09,23639910.0,186426.35
2018,12,234931.11,947609.27,283097.57,410337.85,24590119.0,169024.75
2019,1,235240.79,953478.42,283097.57,410337.85,24590119.0,182557.82
2019,2,237739.41,1001125.9,285301.23,412541.51,25673886.08,188475.59
2019,3,241647.58,1079377.35,287803.16,418780.2,28877313.05,191045.58
2019,4,247705.95,1210162.73,293755.81,423523.16,31616591.95,198850.26
2019,5,249748.26,1259593.19,296035.05,426942.02,33778445.59,186169.35
2019,6,251111.83,1293944.18,301800.73,436270.78,40080661.82,198160.42
2019,7,251111.83,1293944.18,303333.09,437803.13,41309021.27,201156.5
2019,8,247540.58,1201524.21,299548.16,426458.4,31936226.07,197788.45
2019,9,252867.39,1329530.04,303612.51,429904.88,34137575.41,200710.13
2019,10,252867.39,1329530.04,303612.51,429904.88,34137575.41,205146.76
2019,11,259042.65,1493733.89,308389.0,439457.86,40659885.08,212572.7
2019,12,263550.77,1628412.39,311835.53,446392.63,46299222.59,217678.89
2020,1,269528.55,1823098.19,317782.57,449877.4,49526069.98,217590.96
2020,2,265429.06,1673622.86,316294.34,441649.82,41376471.8,200365.21
2020,3,252840.03,1252237.27,303973.33,441649.82,41376471.8,174320.3
2020,4,259494.53,1418897.51,303973.33,431186.84,32718051.46,196456.11
2020,5,259494.53,1418897.51,303973.33,431186.84,32718051.46,205816.31
2020,6,261917.73,1487662.74,303973.33,434018.8,34571176.02,208548.63
2020,7,270242.15,1735341.54,303973.33,442542.36,40464565.93,220830.52
2020,8,274202.42,1872789.82,303973.33,451209.89,47479125.27,236243.74
2020,9,283817.82,2232942.42,313136.18,457977.72,53905732.43,226491.28
2020,10,290972.75,2552473.18,315425.59,463047.0,59370999.25,220844.04
2020,11,295634.02,2790428.44,315425.59,468796.22,66197737.14,244866.77
2020,12,302444.14,3170491.53,315425.59,475301.42,74810333.23,252860.81
2021,1,306562.55,3431639.06,315425.59,477740.72,78460028.74,250284.05
2021,2,314579.19,3981843.37,315425.59,485346.86,90395581.42,257243.34
2021,3,320576.22,4459428.4,315425.59,491476.84,101478049.93,268044.1
