variant,basis,sharpe,ann_return,ann_return_excess,ann_return_gross,cagr,cagr_excess,cagr_gross,maxdd_pct,maxdd_dollars,util_mean,util_peak,skip_rate,fill_rate,win_rate,breach_rate,n_rungs,n_skipped_rungs,contracts_desired_total,contracts_filled_total,total_return_excess,years
weekday_0_uncapped,uncapped,1.4041600680093558,,0.13752204908725052,0.17752204908725053,,0.06953086104813555,0.08460327322946148,-0.2020216513619206,-202021651.3619206,0.11779896300216963,0.34997298753746914,0.0,1.0,0.8931297709923665,0.1297709923664122,524,0,4254680,4254680,2.6472994449295726,19.25
weekday_1_uncapped,uncapped,1.5266682425131248,,0.16099619201893936,0.20099619201893937,,0.0760399530014988,0.08970988978546024,-0.28326524278947185,-283265242.78947186,0.12741095323764937,0.3499898296634746,0.0,1.0,0.8960573476702509,0.12186379928315412,558,0,4606425,4606425,3.099176696364583,19.25
weekday_2_uncapped,uncapped,1.3530910024037774,,0.1471640471218744,0.1871640471218744,,0.07258522010837076,0.08710130376716196,-0.2916708030520945,-291670803.05209446,0.12701767429587976,0.3499934653183729,0.0,1.0,0.8798521256931608,0.1478743068391867,541,0,4638901,4638901,2.808380565909103,19.083333333333332
weekday_3_uncapped,uncapped,1.4155634665342742,,0.15501775718743108,0.19501775718743108,,0.07475690555167525,0.08881133419383769,-0.24963622104538566,-249636221.04538566,0.12531050626237047,0.34999227306738384,0.0,1.0,0.8922495274102079,0.1323251417769376,529,0,4549807,4549807,2.9582555329934763,19.083333333333332
weekday_4_uncapped,uncapped,1.3312540532548351,,0.14088131883860938,0.1808813188386094,,0.07050774551341132,0.08536146344429119,-0.3065130433199361,-306513043.3199361,0.11938202344355664,0.3499915033718853,0.0,1.0,0.8771929824561403,0.1364522417153996,513,0,4309452,4309452,2.71196538764323,19.25
weekday_stride_uncapped,uncapped,1.6523542871576975,,0.1589737344094978,0.1989737344094978,,0.07598005098540339,0.0898401117824017,-0.23879058713058168,-238790587.13058168,0.12004844655892598,0.2999921668758316,0.0,1.0,0.8946360153256705,0.13026819923371646,522,0,4313709,4313709,3.020500953780458,19.0
weekday_0_floor,floor,1.4290683632639591,,0.4627212852604792,0.5027212852604792,,0.12651798934771152,0.1328436598252738,-0.6883397864607523,-98432.58946388759,0.38851760900294874,0.9997631595421345,0.012738853503184714,0.9568609453877925,0.8946236559139785,0.12688172043010754,465,6,2179,2085,8.907384741264224,19.25
weekday_1_floor,floor,1.587131130833619,,0.5269514420769489,0.5669514420769489,,0.13380506157174277,0.1395091413275289,-0.8695282575699248,-124342.54083249925,0.40805097284738473,0.9998363121549259,0.020080321285140562,0.9301439458086368,0.8995901639344263,0.11885245901639344,488,10,2362,2197,10.099902639808187,19.166666666666668
weekday_2_floor,floor,1.268719738691583,,0.46347235378278373,0.5034723537827838,,0.1273150577672184,0.13366424678813305,-1.123298106192396,-160631.6291855126,0.4109771460512635,0.9992624122753857,0.021956087824351298,0.93498322147651,0.8714285714285714,0.15714285714285714,490,11,2384,2229,8.844597418021456,19.083333333333332
weekday_3_floor,floor,1.4816569754295215,,0.514032552004136,0.554032552004136,,0.13285186455908482,0.1386883209019174,-0.9502947960652299,-135892.15583732788,0.40618665418840744,0.9997758764509665,0.02263374485596708,0.9286934244235696,0.8989473684210526,0.12842105263157894,475,11,2342,2175,9.809454534078927,19.083333333333332
weekday_4_floor,floor,1.2860006434514355,,0.4583335576570413,0.4983335576570413,,0.12601705588289835,0.13239157670768198,-1.203314323459001,-172073.94825463713,0.3911598799643066,0.9995316174169363,0.01694915254237288,0.9546896239238786,0.8857758620689655,0.1271551724137931,464,8,2207,2107,8.822920984898046,19.25
weekday_stride_floor,floor,1.6799501117798388,,0.5408754144892349,0.580875414489235,,0.1359987810048131,0.1416107272161462,-0.8986421501951686,-128505.8274779091,0.4034508491314938,0.9999275739955928,0.0,0.9723981900452489,0.9106382978723404,0.1127659574468085,470,0,2210,2149,10.276632875295464,19.0
baseline_iter3_spx,floor,1.6799501117798388,,0.5408754144892349,0.580875414489235,,0.1359987810048131,0.1416107272161462,-0.8986421501951686,-128505.8274779091,0.4034508491314938,0.9999275739955928,0.0,0.9723981900452489,0.9106382978723404,0.1127659574468085,470,0,2210,2149,10.276632875295464,19.0
baseline_spy_buyhold,floor,0.6202475749011619,0.09677490510257467,,,0.08777321146931127,,,-0.8153307759606974,-116592.30096237973,,,,,,,,,,,,19.069130732375086
