entry_date,spot,vix,rv,vrp_z,w,short_put,long_put,width,credit_pts,credit_usd,max_loss_usd,contracts,margin_usd,exit_date,exit_spot,breached,net_pnl_usd,ror
2007-04-20,1484.35,12.07,0.077,0.584,1.0,1451.4,1422.9,28.5,5.51,6612.0,2297.0,12,27564.0,2007-06-04,1539.18,False,6234.0,0.226
2007-04-27,1494.07,12.45,0.0708,0.984,1.0,1459.7,1430.1,29.5,5.724,6869.0,2381.0,12,28572.0,2007-06-11,1509.12,False,6483.0,0.227
2007-05-04,1505.62,12.91,0.0761,0.921,1.0,1469.5,1438.7,30.8,5.987,6586.0,2483.0,11,27316.0,2007-06-18,1531.05,False,6222.0,0.228
2007-05-11,1505.85,12.95,0.0933,0.19,0.38,1469.6,1438.7,30.9,6.007,2403.0,2491.0,4,9964.0,2007-06-25,1497.74,False,2270.0,0.228
2007-05-18,1522.75,12.76,0.0898,0.257,0.513,1486.7,1455.9,30.8,5.983,2992.0,2484.0,5,12420.0,2007-07-02,1519.43,False,2826.0,0.228
2007-05-25,1515.73,13.34,0.0928,0.41,0.82,1478.0,1446.0,32.0,6.233,5610.0,2579.0,9,23208.0,2007-07-10,1510.12,False,5305.0,0.229
2007-06-04,1539.18,13.29,0.0883,0.582,1.0,1501.0,1468.6,32.4,6.305,6305.0,2609.0,10,26092.0,2007-07-17,1549.37,False,5964.0,0.229
2007-06-11,1509.12,14.71,0.1056,0.428,0.857,1467.2,1432.2,35.0,6.862,5489.0,2815.0,8,22519.0,2007-07-24,1511.04,False,5201.0,0.231
2007-07-10,1510.12,17.57,0.1256,0.847,1.0,1459.2,1417.7,41.5,8.247,6597.0,3325.0,8,26597.0,2007-08-21,1447.12,True,-3419.0,-0.129
2007-07-24,1511.04,18.55,0.1344,0.889,1.0,1457.1,1413.4,43.7,8.729,6983.0,3498.0,8,27984.0,2007-09-05,1472.29,False,6625.0,0.237
2007-07-31,1455.27,23.52,0.1681,1.625,1.0,1388.9,1336.3,52.6,10.763,6458.0,4185.0,6,25110.0,2007-09-12,1471.56,False,6131.0,0.244
2007-08-14,1426.54,27.68,0.2302,0.581,1.0,1350.1,1290.1,60.0,12.518,7511.0,4747.0,6,28479.0,2007-09-26,1525.42,False,7133.0,0.25
2007-09-12,1471.56,24.96,0.1945,0.988,1.0,1400.3,1344.1,56.2,11.582,6949.0,4464.0,6,26787.0,2007-10-24,1515.88,False,6599.0,0.246
2007-10-03,1539.59,18.8,0.1463,0.421,0.843,1483.8,1438.7,45.1,9.018,5411.0,3608.0,6,21651.0,2007-11-14,1470.58,True,-2819.0,-0.13
2007-10-10,1562.47,16.67,0.1279,0.299,0.598,1512.7,1471.8,40.8,8.081,4041.0,3276.0,5,16380.0,2007-11-21,1416.77,True,-16588.0,-1.013
2007-10-17,1541.24,18.54,0.0926,2.53,1.0,1486.2,1441.7,44.6,8.898,7119.0,3566.0,8,28529.0,2007-11-29,1469.72,True,-6461.0,-0.226
